national_park,review_body,review_date,review_title,helpful_vote,user_location,user_rating
Arches National Park,Breathtaking - we hiked Delicate Arch and it was well worth the 1.5 miles up and 1.5 miles down. Did it in Oct mid day and was fine - wouldn't want to hike here in the summer,"October 18, 2019",Beautiful Area,9,"Sedona, Arizona",5
Arches National Park,"Arches Natioanal Park is amazing! You can see the sites from your vehicle, or hike (short to long hikes). We hiked to Delicate Arch for the sunset. Beautiful! There are several shorted hikes to arches too.","October 18, 2019",Amazing Scenery,0,,5
Arches National Park,"the challenge trail, in my mind makes this park worth visiting. it is a 7ish mile hike on a little rough ground. Key is taking water with you. wow it is dry, even when it is not hot. There are a lot of arches. It is a little easy to get lost on the trail. leave in time not to hike after the sun goes down","October 18, 2019",lots of arches,18,"Chesterfield, Virginia",5
Arches National Park,Our experience was beyond words! Cannot visit Utah without significant time spent in this remarkable national park. Definitely look forward to our return...,"October 17, 2019",Remarkable!,1,"Buffalo Grove, Illinois",5
Arches National Park,"Beautiful Park and Arches. We did the flight tour over Arches and Canyonlands first, then spent a day in each park. Having both perspectives is amazing.","October 17, 2019",Beautiful Park,1,,5
Arches National Park,We chose to visit Arches National Park since this was the only remaining park in southern Utah that remained on our list. Arches National Park was more than worth the long drive.I am not sure what would be the best time of the day to see Arches National Park. We were there from early afternoon to early evening. I would have liked to see many of the rock formations in either early morning or late evening sunlight. Everything was spectacular even in the harsh light of early afternoon. Definitely stop and take the hiking trails to the different formations. None of the trails were more than a half mile and provided exceptional views of the formations. traffic an be heavy and parking at some of the more popular spots is crowded. We drove through stopping at the view points on the right as we went to the end of the road and then stopped at the other viewpoints on the right when we returned. Total time was just over 2.5 hours including a stop at the visitors center.,"October 17, 2019",Well worth the trip,32,"Sparks, Nevada",5
Arches National Park,The natural arches are breath taking. There are a lot to do and many scenic areas are easily accessible. The hiking trails are a little more challenging that other nearby national parks but are well established and highly hikable.,"October 17, 2019",Amazing work by mother nature and good hiking trails,18,"Boston, Massachusetts",5
Arches National Park,"Drove from Bryce to Aches during the night. It was raining and so dark that I would not advice anyone to drive by themselves. But I enjoyed every bit of the trip there. It was a 4hr drive about 244 miles. To enter the park it’s $30 but I got the $80 card. Best places to see are Park Avenue, Court House, balanced Rock, North & South Windows, delicate Arch and devils arch. ","October 17, 2019",Amazing rock forms/colors ,4,"Las Vegas, Nevada",5
Arches National Park,Very beautiful. A must see in Utah. Go early before 10am to avoid vehicle lineups to get into this national park. There is a 30 dollar entrance fee to get in.,"October 17, 2019",American wonder,3,"Manitoba, Canada",5
Arches National Park,"Hiked the Devil’s Garden Trail, primitive loop. Rolling hike, about 8 miles. Some scrambling over slick rock. Hard to follow in some places, but not impossible. Incredibly, loop takes you by seven arches. Deep sand in some spots. About 4 hiking hours to complete the full loop. Great day","October 16, 2019",7 arches in one hike,45,"Silver Lake, New Hampshire",5
Arches National Park,"The formations blew us away just like everyone else has said. Even in October, our was pretty crowded...I can only imagine what it might be like in summer. Get there early to avoid some of the wait. ","October 16, 2019",What an adventure,38,Windham,4
