national_park,review_body,review_date,review_title,helpful_vote,user_location,user_rating
Big Room,"Most people think about bringing water and cameras, but, a very important item is a good flashlight. One of the new style LED lights is very important to be able to see many of the beautiful structures. I used a 1000 lumen light and it was very adequate. The Big Room is an incredible natural structure to behold.","October 15, 2019",Minimum item to bring-a good LED flashlight,14,"Fort Myers, Florida",5
Big Room,"I have dreamed about seeing Carlsbad Caverns since I was a child. The National Park Service has done a fantastic job of making this national treasure easily accessible to most visitors, some parts wheelchair accessible, too. We walked both the long path and the next day the shorter path. Definitely much more to see on the longer route. Most of the walk is easy to do (I have some ankle instability issues); good footwear is a must, but hiking boots not necessary. There was one small section that was uphill and a bit slippery, but good handrails helped me to get through safely. We also did the King's Palace tour which was excellent (book ahead, it fills up). You can buy postcards either at the visitor center or below at the snack area and have them rubber stamped at the snack area downstairs ""mailed from 750 ft. below the surface. They also sell postcard stamps.","October 14, 2019",Go! You will love it!,111,"Denver, Colorado",5
Big Room,"Around 2 hours from El Paso. In New Mexico. There is an immigration checkpoint on the way so will be a good idea to keep documents.Going down the caverns is about 10-12K steps atleast. There are a no. of benches on the way for resting. For people who could not continue half way, there was help. The structures formed by dripping water, acid were very beautiful.Inside can become cold. Is best to have a light jacket.there are elevators for return trip ( or even coming down)","October 13, 2019",Caverns,15,"Halifax, Canada",4
Big Room,"I had been looking forward to this visit for years. Half of the lights were not working (a recent lightning strike according to a ranger). The other lights were very dim, which made it extremely difficult to see the beauty of the big room. I was glad I had my flashlight with me to be able to see what I could.","October 7, 2019",Disappointed,109,"Cumming, Georgia",3
Big Room,"Really hard to describe, underground 750ft.. limited lights.. big space.. unworldly - yet... magnificent!! R'member, the area around is open, sky above and see for miles and miles. Pls, enjoy! ","October 1, 2019",Awesome!,46,"Utica, Michigan",5
Big Room,"If there is one place you want to go it is the “big room”. I have never been in a cavern before and I was very,very impressed! You can shorten your tour by just doing the big room or go thru the entire system for the same price. National Park pass gets you and a guest in for free","September 27, 2019",Don’t miss it,18,"Webster, New York",5
Big Room,Clearly marked signs told the length of path options and what parts were accessible for people in wheelchairs. I ended up taking the full path rather than shortcut. It took me less than an hour. Very cool views. A little spooky with lighting effects so hard to get full effects with photos. At end of day snack bar is limited.,"September 22, 2019",Stunning views,70,"Albuquerque, New Mexico",5
Big Room,"We got there after 8 am and tours begin at 8:30 am. was not crowded. I like this cave because it offers the self guided tour of the Big room and you can stroll at your leisure and take time looking at everything. We did not take the Natural Cave Entrance because they said it was very steep and took 1 hour to walk down to the Big Room. We chose the elevator to go down 750 feet to the Big Room. I love this cave better than Mammoth. It is cool in the 50's down there and is an easy walk. Wheelchairs only allowed at certain points. Trails are well marked and low light. As we got to the end before taking the elevator back up, we partially walked up the Natural Cave Trail which was getting steep but was not as beautiful as walking through the big room. I am glad we took the elevator. Not recommended for people scared of the dark or have a difficult time walking.I would recommend you take a flash light with you so you can see everything better. We spent 2 hours on the self guided tour and did not rush.","September 19, 2019",Always the best - Don't forget your flash light,39,"Leesburg, Florida",5
Big Room,"So awesome! See our review under Giant Dome.This was very frightening for our disabled son. We had to wait 15 minutes to enter the Caverns so his eyes could adjust to the dark. He really didn’t completely get comfortable, but was able to walk through the Big Room.","September 13, 2019",Family With Physical Disabilities ,30,"Valdosta, Georgia",5
Big Room,The size and beauty of the Big Room is awesome. Allow enough time to really enjoy the view and take in all that natural beauty. You may want to bring a jacket.,"September 11, 2019",Awesome,10,"Jacksonville, United States",5
Big Room,After I did the Natural entrance and the Kings Palace tour I did the Big Room self guided tour. If you bring your camera you'll be stopping constantly. It is absolutely amazing.,"September 7, 2019",The main reason to come here,97,"Gilroy, California",5
Big Room,"We took the elevator down to tour the Big Room. There was a shortcut available but we didn’t take it. Spent about 1.5 hours down in the cavern. It was cool and damp. There was illumination and hand rails all the way through. I had no trouble in Crocs flips flops. There were some steep inclines in places, and we encountered a few people who were struggling a bit. But overall a fairly easy walk. Benches are placed sporadically along the path. ","September 5, 2019",Wonderful stop for a few hours!,20,"Winston Salem, North Carolina",5
Big Room,"The Big Room is so nicely trailed. It's very easy to walk around and admire all the amazing formations. It's a room unlike anything else you'll ever see. The vastness of it will blow you away. You can choose to hike down into it (easy, we did) or ride the elevator down. Then can you choose to hike up out of it or ride the elevator to the top (which what we did). There is a small snack bar and rest area down there, but don't expect much in the way of snacks. Plenty of places to sit and rest though. A great place to visit, and you can see it all in a couple hours.","September 3, 2019",Stunning,153,"Dallas, Texas",5
Big Room,"You'll never see as grand a cavern in the Americas! Very well developed and accessible pathways, and the visitor's center is great, too! There is a sandwich shop down in the entrance to the cavern for those who get hungry during their visit.","August 25, 2019",You'll never see anything like it!,12,"Dallas, Texas",4
Big Room,We have toured caverns in the past but this is my favorite for sure. It’s self guided so you go at your own pace. Very well laid out with easy walking and hand rails. I only wish my camera could capture the enormity of the caverns. It’s so hard to properly describe the shapes and forms and caves. It took us close to two hours to walk through and this was the short version. We are both 60+ so it was plenty for us. But I was so tempted to take the long route. Lol. Wear comfortable shoes and a light jacket. It is cold and damp 750ft under the surface. I was in awe at natural beauty that lies beneath. ,"August 12, 2019",Very cool. Literally ,18,"Emory, Texas",5
Big Room,"We are from Iowa so of course this came up when looking for something to do on our trip here. At first I wasn’t sure about all the walking for my 2 year old. I knew my 9 and 10 year olds would be fine. I had to carry my 2 year old through the whole thing, she was scared of the cave, but I’m still glad we came. Just the drive there up the mountain was amazing. Prices are affordable, only $15. My pictures on my phone and camera didn’t turn out. But definitely a must see if you’re visiting or live here. We took water with and it was a great way to beat the heat. ","August 8, 2019",Amazing experience!,7,"Mason City, Iowa",5
Big Room,"The big room at Carlsbad is like no other cave I have ever seen and is truly spectacular. The room itself is huge but, despite the incredibly humid air, has very little water which is unusual for a cave with so many water-based formations. The number of huge stalactites, stalagmites and columns that tower over you as you go around is almost unbelievable. I have never seen a cave as impressive as this - if you are visiting New Mexico this is a ""must see"" and well worth the long drive from Albuquerque or Santa Fe.The path around the cave is rough concrete so it is not at all slippery when wet and most of it, except for a section at the end of the cave with steep slopes, is wheelchair accessible and we met several people in wheelchairs taking full advantage of this! I would also recommend the walk down from the natural entrance. The path is similarly well maintained, not slippery when wet although it is quite steep in places and there is nothing quite like the sense of descending into the depths of the earth inside a massive cavern.","August 7, 2019",Spectacular,20,"Edmonton, Canada",5
Big Room,"Difficult to put a scale on its size , football field maybe. Just go and see magnificent it really is.","July 23, 2019",It’s Big.,225,"Nottingham, United Kingdom",5
