national_park,review_body,review_date,review_title,helpful_vote,user_location,user_rating
Brooks Falls,Best viewing site Must get lucky Stood hours before one showed up somedays several viewing site limited for duration to allow others to come to area Approx allow maybe 30-50 at a time ,"October 8, 2019",Bear viewing site,85,Florida,5
Brooks Falls,We took the walk to Brooks Falls to see the Bears from above on a platform overlooking the falls and this was perfect,"September 25, 2019",Bear Viewing at Brooks Falls-Perfect!,10,"Teaneck, New Jersey",5
Brooks Falls,This was a bucket list place for me and it didn't disappoint...the opportunity to photography these animals were just unbelievable...a dream come true...if your into national parks then this is a must see...I might have to go again because it's just that good...just be careful and follow the rules as you might walk up on a big bear...,"September 23, 2019","Bears, Bears Bears Everywhere...",2,"Atlanta, Georgia",5
Brooks Falls,"We wavered back and forth about paying for this excursion because it is SO expensive. We are sooo glad we did it. We went in September and were told there wouldn't be as many bears as in July, we saw four bears at the falls and one in a lake on the walk back to our plane. I wasn't expecting to see any salmon either, but we were pleasantly surprised that occasionally, one would jump. The ultimate event happened and we saw a bear grab a salmon out of the air with her mouth. It was an amazing moment.Having said all that: I'd like to give one caveat to potential visitors coming with a float plane service (we used and were happy with Steller). After the walk to the viewing area, you put your name on a list and have to wait down stream for your turn to get to the main viewing platform. This is also a good view and we found it amazing to watch fly fishermen and how they didn't even move when a bear came near them. We only waited maybe 15 minutes for our turn because it was after Labor Day and there weren't many tourists at this time. The more tourists, the longer you're going to wait. Once on the platform, you are given an hour to view the bears. You can put your name on the list again and wait, if you have time. Here's the caveat. We JUST had enough time for one one-hour visit on the main platform before we had to be back on the plane, which was fine with us. But make sure you ask a lot of questions about timing and crowds and how much time you'll actually get at the main platform. Once you know what to expect, enjoy, because this was amazing.","September 22, 2019",Bucket list item: CHECK,26,Illinois,5
Brooks Falls,Make this trip - Make the effort! Well worth the journey and experience is once in a lifetime. Katmai Air and travel services - great group and very professional and communicative. Lodge employees extremely customer service focused and very accommodating.NP Rangers at Brooks Falls - Top notch and open the sharing information as well as safety training while on site in park. An experience we will never forget. ,"September 15, 2019",Once in a Lifetime!,7,"Atlanta, Georgia",5
Brooks Falls,No trip to Alaska is complete without a visit to Katmai and Brooks Falls.You do not just watch the bears - you are living amongst them!The journey by seaplane is expensive but worth it.,"September 10, 2019",Amazing experience,1,"The Villages, Florida",5
Brooks Falls,"The volunteer guides and NP staff are more than helpful. Please keep in mind that during busy periods, numbers are restricted on the platforms. Plan accordingly. We were lucky to have great weather and very few on the platforms after the daytrippers departed. A fantastic experience to be among the bears. Don't forget to do the heritage walk and the auditorium talks at night. There is so much to learn. And the bears speak for themselves. ","September 7, 2019",Awesome.,34,"Woongarrah, Australia",5
Brooks Falls,"we probably saw 16 different bears waiting for the salmon to swim up stream a true nature retreat, amazing place a must see for your bucket list ","September 5, 2019",Great bear watching,1,,5
Brooks Falls,"What a great couple of days we spent photographing these lovely bears. This is an excellent way to view these Brown Bears in their natural environment, very ""in close and personal"" but also safe. Thoroughly recommend this activity.","August 14, 2019",BEARS? YES HUNDREDS OF BEARS!,38,"Coolangatta, Australia",5
Brooks Falls,"You arrive by floatplane and are given a briefing as to how to react if you do come across a bear. One is encouraged to walk in a group of six people towards the boardwalk area which is a safe way for visitors to get close to the bears without compromising their safety. There are several viewing points along the boardwalk and from these viewing points one can take great photos of the bears safely. The rangers are knowledgeable, helpful and considerate.","August 12, 2019",A wonderful way to get up close to the bears safely,2,,5
