national_park,review_body,review_date,review_title,helpful_vote,user_location,user_rating
Canyonlands National Park,"We did this part of the park on our own - did Mesa Arch, Upheaval Dome (we hiked all the way to the 2nd overlook) and Grand View Point trail. We did Needles with a 4 wheel drive tour - it was awesome as well ","October 18, 2019",Islands in the Sky,9,"Sedona, Arizona",5
Canyonlands National Park,"Great park with lots to see, so many great views and a contrast to Arches in many ways. Favourite was Upheaval Dome, well worth the walk up to see and not difficult but the Dome is unique and still a bit of a mystery.","October 18, 2019",Another spectacular park,10,"Eastbourne, United Kingdom",5
Canyonlands National Park,"We travelled to both Island in the Sky and the Needles sections and did short hikes in both. It's a long way between the two sections, but there is wonderful scenery in both.","October 18, 2019",A wide-spread park,0,,4
Canyonlands National Park,"Canyonlands was beautiful and I’m so glad we went. We spent 4-5 hours in the park. It was a pretty low key place; not a ton of visitors on the day we went and friendly park rangers. We stopped at the info center and borrowed a junior ranger backpack with supplies and it made the trip a little more interesting for our almost 4yo. We highly recommend doing the jr ranger activities. After they finish the required activities, the kids take an oath to protect the park and get a little wooden badge that’s pretty neat. We did a couple short kid-friendly hikes recommended by the ranger. One was to the end of the Grand View scenic area. Our daughter did get tired and we had to carry her a bit, but depending on your little one’s ability to walk a couple miles it could be fun. It’s an easy hike. Definitely family friendly. And has spectacular views at the end. Canyonlands made for a fun day. A lot less crowded than Arches and beautiful in its own way.","October 18, 2019",Beautiful place,2,,5
Canyonlands National Park,"we enjoyed canyonlands the best out of all we visited. we went to the grand staircase, Arches, Bryce, Zion, and others. this is almost as good as the grand canyon","October 18, 2019",the best,18,"Chesterfield, Virginia",5
Canyonlands National Park,"We did the flight tour over Arches and Canyonlands first, then spend a day hiking/sight-seeing in each park. Mesa Arch was our favorite spot.","October 17, 2019",Amazing Park,1,,5
Canyonlands National Park,"Canyonlands National Park is developed for the hikers with its many trails. Even if you are not into hiking the trails, stopping at the viewpoints is worth the time of a side trip.Our primary reason for being in the area was to visit Arches National Park but we saw the side trip to Canyonlands National Par as an opportunity that we didn't want to miss We only drove part way into the park to enjoy the view of the canyon. That much was well worth the time. Hiking the trails is definitely the best way to see the sites in the park.","October 17, 2019",Worth the stop for the view even if you are not into hiking the trails,32,"Sparks, Nevada",4
Canyonlands National Park,Canyonlands National Park is fairly big and we only got to the northern portion of the park. There are a few easy hiking trails and the vista are just amazing. We are planning to head back to visit the rest of the park.,"October 17, 2019",Wonderful vista of canyons,18,"Boston, Massachusetts",5
Canyonlands National Park,"Drove from Aches to Canyonlands about 30 minutes. Places to see Green River overlook, Mesa Arch & Shafer Trail. It was a beautiful experience and the best view was from the Mesa Arch.","October 17, 2019",Close to Arches ,4,"Las Vegas, Nevada",5
Canyonlands National Park,"We were at Canyonlands National Park on this late September Wednesday and just like yesterday it was a sunny and hot day.We arrived around 8:45 at the Island in the Sky visitor centre and the parking lot (25+ parking spots) was quite busy. This is a smaller visitor centre in comparison to Arches National Park.We did 3 hikes including Mesa Arch, Upheaval Dome (overlooks 1 and 2) and Grand View Point plus 2 stops at viewpoints.The Mesa Arch hike is rated easy and there is about parking for about 25+ vehicles at the trailhead. There are also 2 washrooms here.The trail for the most part is compact dirt, gravel and sand with some exposed rock. The out and back trail mildly undulates and is about .8 kilometer in length (1/2 mile each way) and took less than 25 minutes to get to Mesa Arch from the parking lot. You can can get some nice views at the arch as well as some nice photos of the Arch and the background view of the canyon below.The Upheaval Dome trail is rated moderate and we found it fairly easy to hike. At this location there are 30+ parking spots, washrooms and a picnic table.For the first part of the hike up from the trailhead, there is a set of man-made stairs that is mostly compact dirt, gravel and exposed rock as is the rest of the trail up to the first lookout. The hike down and then up to the 2nd overlook is mostly over exposed rock. For this part of the hike you will need to follow the cairn trail markers (piled up rocks) over the large exposed rock face. At the first destination there are views of the upheaval dome. At the 2nd trail end you will also get views of the upheaval dome and views of the surrounding valley.The round trip was about 1.5 miles (2.4 kilometers). In total we spent about 70 minutes with rest stops. When we got down to the parking lot by noon time, vehicles were looking for spots and also parking on the shoulder of the road.Green River viewpoint has about 15 or more parking spots and 1 washroom. There is no hiking involved here, just a short walk on a paved path to the lookout. Buck Canyon viewpoint is worth a 5 minute visit. Again this is on a short paved path that is 200 feet in length.At Grand View viewpoint there is a lookout and also the trailhead for the hike that is rated easy. In my opinion, this trail was harder than Mesa Arch relatively speaking. It was a nice short hike in sunny hot weather. There are nice views of the canyons below throughout the 1.5 kilometer (1 mile) hike. As for the trail itself it is mostly exposed rock with some compact dirt and gravel. At the start of the trail there some man-made steps heading down.At the end of the trail there are more sweeping views of the valley. This part is a little more difficult to get to the top, maybe about 20-30 yards in length at most. We were able to get to the viewpoint with very little difficulty even though we are older hikers.We spent about 70 minutes in total during the 3 kilometer (2 mile) hike.There are washroom facilities near the parking lot.I would rate the overall park experience as good at 3.75 out of 5.Notes &Tips: • Depending on your approach you can end up at the Needles Visitor Center where there are more sites and trails to explore. From Moab you would need to drive 75 miles away from Arches National Park on route 191 to 211 to get to the visitor centre. • If I were to compare Canyonlands to Arches, in my opinion, I like Arches better but each of the parks have their own unique characteristics; Arches with their arch formations and Canyonlands with the valley views. Go to both and decide for yourself! • We used a National Parks Pass that allowed us to enter Arches National Park for free. The regular price is $30 per vehicle. • At the interpretive centre there are washrooms and a small gift shop. You can also buy bottled water here or fill your water bottles here. There is no cafe or restaurants in this park. It would be a good idea to pack a lunch as there are picnic tables at some locations in the park. I have never seen this before but there are regular western toilets and squat toilets at this visitors centre. • Pick up your park map and information pamphlet here. Plan your visit on the internet before you get here so you’ll know in advance what you want to see. • At the centre there is a short 15 minute orientation movie every 20 minutes and also scheduled ranger talks • Go early to avoid the crowds  • In total we spent about 6 hours in the park • If you plan to spend more than 1/2 day at the park, take lunch and lots of water • Bring suntan lotion and wear a hat as there is no shade. During the last week of September it was still hot and sunny. • I would recommend a good pair of trail runners or day hikers and definitely no flip-flops! • Canyonlands National Park is about a 25 mile (40 kilometers) drive to Arches National Park. • Dead Horse Point State Park is about 22 miles (35 kilometers) from the Island in the Sky visitor centre at Canyonlands National Park • This was our third day in Moab and we visited Arches National Park yesterday. See my review. • We stayed at the Hyatt Place in Moab. See my review. • We were on our 4th day of our 13 day Nevada-Arizona-Utah trip. Other national parks we visited on this trip included Bryce Canyon and Zion. See my reviews. • State and private parks we visited included Goblin Valley, Monument Valley, Lower and Upper Antelope and Glen Canyon National Recreation Area. See my reviews. • Buy an annual pass if you plan to visit more than 3 national parks in the next 12 months as it is cheaper in the long run","October 16, 2019",Another amazing national park – 3.75 out of 5 rating,781,"Richmond, Canada",4
Canyonlands National Park,Our first visit to Canyonlands was incredibly awe inspiring. We spent our first day in the Needles district on the south end of the park. We took several short hikes and enjoyed every one. The views are almost as grand as the Grand Canyon. We did a jeep tour our 2nd day and had a great time! The tour included a couple of short hikes that provided incredible views. Our tour guide was very knowledgeable about the geology and even taught us how to look for fossils. We had a wonderful day. Kudos to Phil at Navtec Tours.If you’re in the Moab area make sure to spend some time in Canyonlands. It’s an incredible park.,"October 15, 2019",Awesome,44,"Loveland, Colorado",4
Canyonlands National Park,"I've visited many state and national parks, and this one is either first or second in my book (along with Grand Canyon). Don't miss going to the Island in the Sky portion of the park, and especially the Grand View Point. Seems like one can see the incredible, varied red rock formations for a hundred miles. While my mobility doesn't allow me to hike or bike any more, I know from the reports of members of my family that there also are incredible trails for four-wheeling, biking, and hiking. ","October 14, 2019","Fantastic place, both for the incredible views and the feeling of the places we visited",18,"Hayward, California",5
Canyonlands National Park,"I just got a new camera so this trip has been an awesome one....learning a lot about my camera with amazing scenery to shoot. Stopped at most of the viewing areas...got lots of great pics. Not quite as picturesque as some of the other parks, but still a good take. Lots of hikers and mountain bikers using the many trails.","October 14, 2019",#4 of 5 on Mighty Five trip,98,"Fort Myers, Florida",4
Canyonlands National Park,We only had half a day to spend and are so happy we decided to come. We went on two hikes that were breathtaking. We had just enough time left to drive through the park and stop at the overlooks. This park is a must-see!!!!,"October 13, 2019",INCREDIBLE!!!,31,"Saint Louis, Missouri",5
Canyonlands National Park,"There are 3 districts to Canyonlands. Island of the Sky, the most visited and easiest to drive. Needles, down south, and The Maze a very remote area and pretty much 4-wheel drive accessible. We have enjoyed the first two","October 11, 2019",Day trip,59,"Temecula, California",5
Canyonlands National Park,A very nice area with plenty of subjects to take pictures of and the drive is well worth it. Plenty to see without leaving the car as well as short walks!,"October 11, 2019",So very different from New England!,2,"Windsor Locks, Connecticut",4
Canyonlands National Park,This park is amazing. Cannot begin to describe the beauty. Something new around every turn. A must see when in the Moab area.,"October 11, 2019",Breathtaking!,0,,5
Canyonlands National Park,"During our 2nd day of our visit in Utah and after our 1st day at Arches, we went to Canyonlands. We had such a great time in Arches, we weren't quite sure what to expect out of CNP. We surely were not disappointed - from its vast and canyon filled views as far as your eyes can see, to wonderful mesa topped viewing areas to one of the most magnificent locations I have ever seen (Mesa Arch) to a very scenic and amazing drive, we thoroughly enjoyed this unique and much different national park than its local sister, Arches.","October 10, 2019",An exceptional National Park and a must do while in Utah,199,New Jersey,5
Canyonlands National Park,Maybe not as long and wide but just as beautiful is the canyon where the Colorado River runs through this park. The Green River runs through here too! This area is full of history and beauty along with a lot of salt! There are even some sights you might remember from the movies. ,"October 10, 2019",Another “Grand “ Canyon,38,"Forks, Washington",5
Canyonlands National Park,This was yet another awe-inspiring stop on our bus tour of Utah's five national parks. You honestly need to take the time to take in these parks. It's actually difficult to explain how wonderful these sights are.,"October 9, 2019",Well worth the trip...,119,"Bangor, Maine",4
Canyonlands National Park,Another place you have to really see in person to appreciate its beauty. We went to Island in the Sky and Needles. The first gives you the perspective looking down on the canyons. The second lets you drive through one. Be sure to stop at Newspaper Rock on the way to Needles if you go there.,"October 9, 2019",Great vistas,27,"Denver, Colorado",5
Canyonlands National Park,"Canyonlands is a huge park with Island in the Sky the closest to Moab and the most visited and the Needles part of the park further away and vastly different. A mini Grand Canyon is the best way to describe the Island in the Sky park, the views from the mesa rim are breathtaking. Needles further south is very different and after Island in the Sky somewhat disappointing. Not because it is not special but that the particular needles part of the part requires a 4x4 and a permit to access it properly, particularly Chesler Park. Needles is less frequented because of it's location but it is special in it's on way.","October 8, 2019","Vastly different to Arches, do not miss it when in Moab.",27,"Sydney, Australia",5
Canyonlands National Park,Just a beautiful drive out of Moab and past Arches in Canyonlands. What a drive out and UP!! The sights are incredible with great facilities and very well marked trails and overlooks.,"October 8, 2019",Utah’s Big Five...do it!,2,,5
Canyonlands National Park,"I still liked the Grand Canyon’s colors more, but I’m glad we went to Zion, Bryce, Arches, and Canyonlands. Each is very different in hiking, topography, rock formation, plants! We couldn’t find the White Rim Overlook Trail when we got to Grand View Point/ poor signage. ","October 7, 2019",Huge canyon area; not crowded in early October ,29,"Bethesda, MD",5
Canyonlands National Park,"You definitely need more than one day to see even half of Canyonlands. If staying in Moab, your best bet is to hit the Island in the Sky section of the park. If you like to hike, take the trail to the lower viewpoint at Upheaval Dome and make your own guess as how it was formed. Or hike to Mesa Arch and frame your best shot. Now we just need to figure out when we can come back and see the other two-thirds of the park!","October 7, 2019",Wish we had more time!,0,,5
Canyonlands National Park,"Awesome views of the canyons and lands. A good drive from Moab and plenty to see on the way. We loved our visit. Visitor center was less advanced than Arches, but that was ok. We loved hiking around grand point, the upheaval as well. Plenty to see.","October 6, 2019",Awesome national park! Easy to hike in.,41,"Finksburg, Maryland",5
