national_park,review_body,review_date,review_title,helpful_vote,user_location,user_rating
Capitol Reef National Park,"Drove from Canyon lands to Capital Reef, my last National Park in Utah, having seen 4 National Park in less than 34 hrs excluding Zion (been to it before). It took 2hr 30 minutes to get there about 145miles. Driving past farms and green lands was so breakthrough taking, especially after having experienced the desert side of Utah. It’s free to enter capital Reef, drove till where the dirt road starts and decided to head back out since it was getting dark, scenic drive is 25 miles round trips. Places to see the twin rocks & Grand wash","October 17, 2019",Free to enter ,4,"Las Vegas, Nevada",5
Capitol Reef National Park,After Zion and Byrce I was afraid I would be let down with other parks but each one was uniquely spectacular. Capital Reef was let crowded which made the hiking even more fun.,"October 17, 2019",Big 5 Utah Parks are a must,0,,5
Capitol Reef National Park,"We were only here for a day trip, but we felt like it was the perfect amount of time. Upon arrival, we stopped by Panoramic Point, which was an awesome intro to the park. We then went to the Visitors Center to get a map, advice from the park rangers, and free water refills. We did Hickman Bridge (which was SO gorgeous and would be a great hike for the whole family) and Cassidy Arch (which was also SO gorgeous, but more strenuous than Hickman Bridge!), both of which we would definitely recommend for first-timers! We probably spent about 5.5 hours in the park before needing to drive back home. Even though Capitol Reef NP is out of the way, it's well worth the drive! FYI: If you have Verizon, you won't have service for most of the drive from SLC - Capitol Reef. If you have AT&T, you'll have more service than Verizon, but it's still really spotty for most of the drive.","October 15, 2019",Hickman Bridge & Cassidy Arch,60,"Virginia Beach, Virginia",5
Capitol Reef National Park,Third national park on our road trip thru southern Utah to do the Mighty Five. Not one of the better ones in my opinion. Highlight was the drive through the gorge on a very bumpy dirt road. Quite amazing to experience the magnitude and height of the rocks as you drive through the gorge. I would say if u go it is worth checking out.,"October 14, 2019",3rd of the Mighty Five,98,"Fort Myers, Florida",4
Capitol Reef National Park,"Stopped here for a full day between Bryce and Zion. We were not disappointed. We hiked near Chimney rock and Hickman Bridge. Petroglyphs are OK here but you will find better ones at Valley of Fire. Nice visitors Center and we went to the ranger talk in the evening. Stayed in Torrey at the Noor Hotel which was nice,","October 13, 2019","Less crowded, stunning views",52,Florida,5
Capitol Reef National Park,We drove the capitol gorge drive and the visitor center clerk told us it is like driving through a slot Canyon for your car. It was very scenic. We also stopped at Jackson Orchard to pick apples. We bought homemade pies as Gifford House. We drove the scenic drive and I highly recommend that.,"October 13, 2019",Beautiful National Park,207,"Eldridge, Iowa",5
Capitol Reef National Park,Capitol Reef is unique place and it makes sense to stay there at least 2 full days. Definitely hiking is the best way to see main Capitol's reef attractions. But there are several good scenic driving tours as well. ,"October 12, 2019",Unique place for hiking and/or driving tours,49,"South San Francisco, California",5
Capitol Reef National Park,"This was our 5th of the Big Five National Parks (Bryce & Zion in August 2001, and Arches and Canyonlands October 2019). What my wife and I enjoy about Utah's National Parks are their uniqueness among each other. CRNP is different while providing more than enough areas that are pleasing to the eyes, plenty of options to hike and traverse the various areas of the park, or simply just take the drive and see out your car window. Regardless, it is a beautiful National Park and is worthy of your visit to see in-person.","October 10, 2019",Our final of the Big 5 Utah National Parks,199,New Jersey,5
Capitol Reef National Park,"A trip through Capitol Reef National Park will afford you stunning vistas of beautifully multicolored roach formations, multiple hiking opportunities and a beautiful shady picnic area. Even the if you only drive through you’ll see many beautiful parts from the car. It’ll be a wonderful experience.","October 10, 2019",Just gorgeous!,489,"Kansas City, Missouri",5
Capitol Reef National Park,"We knew absolutely nothing about Capitol Reef so a trip to the Visitor Centre was key. We learned a great deal about the area and found this park to have more of a personal touch. Not as huge and magnificent as Bryce or Arches, but smaller and more “manageable”, especially if you’re not a hiker (which I’m not), with equally as stunning views. The roads weren’t as “manicured” as in other parks, nor were there great, wide pull-offs, but we enjoyed it very much. We ","October 9, 2019",Beautiful views,179,"Waverley, Canada",4
Capitol Reef National Park,"We did Utah's Mighty 5, Mesa Verde, Monument Valley, and Grand Canyon.This was by far my favorite park. I think it has something to do with the orchards and the stargazing night. We went on the full moon hike as well.Zion and Mesa Verde would come in a close second and would love to explore those more. CRNP has a lot of different hikes to go on plus fruit picking for the families. The Gifford House was really small but very cute. Great homemade ice cream.Torrey and CRNP are Dark Skies status so plan to visit during the full moon for hiking or new moon for photography or star gazing. We can't wait to go back and explore many other options we missed out on.","October 9, 2019",I wasn't expecting it to be my favorite,32,"Murrieta, California",5
