national_park,review_body,review_date,review_title,helpful_vote,user_location,user_rating
Chisos Mountains,You probably won't regret going there because the drive is wonderful and the view from the restaurant is like no other. ,"October 14, 2019","Beautiful view, especially at sunset.",188,"Honey Grove, Texas",5
Chisos Mountains,"We have traveled in Big Bend many times. Once we brought our horses and rode here. Although much more crowded than it once was, there are still many places that are wild and desolate. The combination of mountains and desert is so different.s","October 13, 2019",Still wild and beautiful,11,"Alice, Texas",5
Chisos Mountains,"Walk the trail to the two viewing points and take your time - lots to see. Worth walking at different times of day. Beautiful views at sunset, although can be crowded at that time.","October 12, 2019",Take Your Time,4,"Minneapolis, Minnesota",5
Chisos Mountains,This was well worth the trouble getting to. Big Bend Nationa Park is near NOTHING but oh so worth the drive.,"October 4, 2019","Gorgeous view through ""the window""",29,Kentucky,5
Chisos Mountains,If you ever have doubts that the earth was a hot volcanic cesspool at one time visit here and all your doubts will be set aside. This vast area of obviously volcanic formed peaks will allow you to lay all that doubt aside. outstanding views up to and in the Chisos Basin. A must see.,"August 27, 2019",Awesome,170,"Round Rock, Texas",5
Chisos Mountains,We have been to Big Bend National Park a half dozen times or more....and never miss driving up to the Chisos Mountains. It truly is like nothing else in Texas. Beautiful drive up into the mountains and several great hiking trails once you arrive. There is a lodge there but with limited availability so we like to camp and the facilities are excellent. Would highly recommend to anyone making the trek to Big Bend NP.,"August 7, 2019",Best Mountains in Texas,3,"Fort Worth, Texas",5
Chisos Mountains,"What's not to like about this National Park. Hats off to the PArk Rangers; very helpful and informative. Everything else needs to be seen...the river, the mountains and the desert. 1200 square miles of park; lose yourself in it, but you will need several days.Take a side trip to Terlingua; see the Chisos Mountains, Boquillas Canyon, the Fossil and Bone Exhibit and don't miss the film at the Ranger Station at Panther Gap. We will return again and again.","July 22, 2019",Amazing Scenery and Exhibits,16,"Kerrville, Texas",5
Chisos Mountains,"Yes I know it’s a review but all I can say is go and see it for yourselves, and prepare to be overwhelmed.","July 13, 2019",Beautiful,225,"Nottingham, United Kingdom",5
Chisos Mountains,"Simply put, one of the most beautiful places in America. Great family place and outdoor activity. Wish I would have been here earlier in my life. I see where they ask if this a risky visit. I would just be aware of the heat in the summer.","May 10, 2019",Beautiful,516,"Slidell, LA",5
Chisos Mountains,recommended for families and couples who like nature and outdoor activities. ideal to geat away form daily hustle and bustle,"May 7, 2019",breathtaking,2,"Monterrey, Mexico",5
Chisos Mountains,"hike to the top if you can, there is nothing like it in Texas, beautiful view, TREES! canyons and good birds like Colima Warbler but bring lots of water and wear a sun hat for the trip back down.","May 7, 2019",Boot Canyon is a must,4,,5
Chisos Mountains,"If you go to Big Bend, you must visit the Chisos Mountain Basin area. Nice views of the mountains. Gift shop, basin store, lodging and restaurant are here. ","April 24, 2019",Beautiful scenery,42,,5
Chisos Mountains,"One would never know such a beautiful place was just up the road and into the Chisos Mountains. We stayed in two different rooms since we were lucky enough to get them at the last minute probably due to cancellations by others. hiking trails lead out into the mountains. there are lodge rooms, a store, restrooms, a restaraunt and a camp ground located up in the Chisos Mountains. ","April 23, 2019",Beautiful and cooler than the lower elevations!,2,,5
Chisos Mountains,"At 7,825 feet the Chisos Mountains are a world away from the rest of Big Bend National Park. While it was 100 degrees plus down on the River Road it was a comfortable 70 degrees on top of the mountains...","April 20, 2019",Above it all!,7,"Sanibel Island, Florida",5
Chisos Mountains,One of the nicer sections of the park. Very scenic and peaceful feeling. Would recommend as part of your park visit. Took way too many pictures. Would come back again.,"April 5, 2019",Very beautiful ,48,"Springfield, Missouri",5
Chisos Mountains,"The Chisos mountains and Santa Elena canyon were the two highlights of Big Bend for us. We stayed in the Chisos basin campground and it was fantastic, the twisty mountain drive was a great adventure with stunning views along the way. Surrounded by the mountains and with night sky's to die for, I would recommend it to anyone. Some great hiking trails nearby, with the the Window Trail being one of the best in the park ! Don't miss out on this area of the park but carry water and snacks as even in early March it was hot !","March 27, 2019",Stunning !,254,"West Sussex, United Kingdom",5
Chisos Mountains,"When we reached the top, we thought we had entered heaven. The beauty is indescribable. Worth the drive. The fee to enter the park is $35, but Texans can get a free pass if you have a 4th grader. Every kid in a park is the website to print a free pass. The pass is good for an entire school year. ","March 20, 2019","When we reached the top, we though we may have entered heaven. ",20,,5
Chisos Mountains,"The Chisos Mountain drive is sensational! This part of Big Bend NP is far different from the rest of the desert scenery. If you go to Big Bend NP you must include at least part of a day for this area. The temperature here is at least several degrees cooler because of the higher elevation.The privately owned hotel in the Chico’s Mountains books full months in advance. We stopped at the Visitor Center which is small but interesting. Here you will have clean bathrooms. We obtained excellent recommendations from J. DUKE. J. DUKE is one of the best NP staff we have ever received recommendations from! Additionally, this location includes a Gift Shop, Restaurant & Campsites. There are many trails to choose from however other than the Paved, Short Nature Trail, all others are either Moderate or Strenuous. This is the busiest area of the Park so come prepared including more hikers on the trails.","February 7, 2019",All Park Visitors Must Include This Area!,405,"Janesville, Wisconsin",5
Chisos Mountains,I was able to stay at the lodge during my stay at Big Bend National Park. Waking up to the view of the Chisos Mountains is just breathtaking. There are many trails throughout the Chisos Mountains to enjoy.,"February 2, 2019",Beautiful!,30,"Alamo, Texas",5
Chisos Mountains,"This is a beautiful National Park, great hiking, beautiful scenery and wide open spaces as far as the eye can see.","January 20, 2019",Do the Window Hike!,53,"West Des Moines, Iowa",5
Chisos Mountains,The Chisos are a wonderful gem in the West Texas desert. We were amazed by the views and wildlife that exist in our very own state. We hope to return soon to hike some more.,"January 6, 2019",Beautiful!,63,"Sugar Land, Texas",5
Chisos Mountains,"If possible, stay overnight or until full dark at least. The skies are mind boggling at night. During the day, the hikes range from easy 10 minute loops for a view of the window or leaks to whole day treks. Plenty of wildlife is around and it is truly remote, so you need to plan for your visit. Yes, there are services but they are limited due to location. I occasionally had phone service, but it was rare and unreliable.","January 4, 2019","Remote, beautiful and a range of hikes and views",36,,5
Chisos Mountains,"The Chisos Mountain area offers lots of hiking spots, has a campground and lodge, a general store, and also a visitor center. There are plenty of places to get picturesque photos and probably the most likely spot to see a bear or mountain lion. We hiked the Chisos Basin Loop trail, which was fairly easy and offers a lot of good photo views of the surrounding mountains and ""window"" (which also has it's own trail). There was a little incline but not enough to consider a moderate hike. A truly beautiful location in Big Bend National Park!","January 4, 2019",Another Beautiful Area in Big Bend National Park,79,"West Grove, Pennsylvania",5
Chisos Mountains,"This area is wonderful for exploring, stargazing, and hiking! We stayed for three nights and 4 days. We visited Big Bend National And Big Bend State Parks. Every hike is something totally different from the last! Well worth the visit! ","January 1, 2019",Views are amazing!,6,"Ellisville, Mississippi",5
Chisos Mountains,There are great views at Chisos Mountains. Unless you are hiking long distances this is not a very fun drive. There is not much there.,"December 11, 2018",Great views but nothing else,149,"Reykjavik, Iceland",3
Chisos Mountains,Had a wonderful drive up the Chisos Mountains to the Basin. Unfortunately the Lost Mine Trail was closed due to bear activity! We arrived at the Basin and took in the view!The Visitor Centre was ok and the shop was well stocked.The rest rooms were clean.We hiked the Window Trail which was superb!Would definitely recommend a visit.,"November 27, 2018",Magnificent Chisos Mountains,68,"The Royal Town of Sutton Coldfield, United Kingdom",5
Chisos Mountains,Great hike. Not for little kids.... have to cross water on rocks and climb lots of steps. Take water and snack! We loved it. Took our 9 yr old and 11 yr old. ,"November 25, 2018",Window Trail Hike ,12,"Hereford, Texas",5
Chisos Mountains,Going from the desert floor to these scenic mountain vistas is an intriguing drive. Take your time to enjoy this centerpiece of Big Bend NP once you get to the basin. A short and easy mountain road to navigate.,"November 17, 2018",This is a gorgeous drive...,15,"Yucca Valley, California",5
Chisos Mountains,"My son and I visited Big Bend for some hiking. Im really expected a dry brown desert. Due to the rains, it was green and very beautiful ","November 5, 2018",Not What You'd Expect from a Desert,71,"Adolphus, Kentucky",5
Chisos Mountains,"The drive to and up through the Chisos Mountains to the top where the lodge is located is quite spectacular. You don't have to be a hiker to enjoy the mountains. At the end of the road is the Chisos Lodge with an excellent restaurant, gift shop and mountain views.","November 1, 2018",Exciting Mountain Road,102,"Pittsburgh, Pennsylvania",5
Chisos Mountains,"Excellent trails. As an avid hiker I was so impressed with the quality of the trails, signage, and maintenance of the trails. Large variety of terrains, trails to choose from, and beautiful scenery. Hiked to Emory Peak and the views were stunning. Lots of friendly hikers along the way and we saw a bear in a tree eating. So much fun! Easy to access from the Chisos Campground. Was significantly cooler than other lower areas in the park in October.","October 11, 2018",Excellent hiking! We saw a BEAR!,28,"Dallas, Texas",5
Chisos Mountains,"Stunning sunsets from here: to avoid a long drive after the sunset, I recommend staying in The Chisos Mountain Lodge. Every night the sunset looked completely different as that night's cloud formations change the light. We were fortunate to see three magnificent sunsets. There is patio next to the restaurant, which, should you not want to walk a trail to the viewing area, offers a great view and the opportunity to drink an alcoholic beverage in comfort too. Ample parking. We stayed in early June, during a severe drought, so The Chisos Mountains stood out as a green oasis in a sun-baked desert. There are numerous hiking trails that originate here.The wi-fi gets severely overloaded. Be patient. Wait until most of the day trippers have left and it will work well.","October 9, 2018",The best location to view the sunset in the park,7,,5
Chisos Mountains,"it's a beautiful drive towards chisos mountains. If it's your first time, definitely do the drive around the park. Pick one trail a day or two if you are up to it. Go to the little mexican town and have a beer. ","October 2, 2018",beautiful,5,,5
Chisos Mountains,This was our favorite part of the park. Everything was beautiful but I loved the mountain and woodsy experience. We even saw a bear that I got out to get a video of. ,"September 23, 2018",The wildlife here is amazing!,4,"Brownwood, Texas",5
Chisos Mountains,The uniqueness and isolation of the Chisos Mountains make this a place to visit and stay in. It can't be appreciated completely in just a day. The nights are just as amazing!,"July 21, 2018",An Oasis in a Desert Setting,191,"Curtice, Ohio",5
Chisos Mountains,The Chisos Mountain views are definitely worth the drive to see. Every Texan should experience this at least once in their life. ,"June 10, 2018",Unique,19,,5
Chisos Mountains,The Chisos Mountains were beautiful. We were pleasantly surprised and how different it was here from the rest of flat Texas. ,"May 27, 2018",Surprising Texas mountains.,52,"Marina, California",5
Chisos Mountains,"We visited this area on our adventure in Big Bend Park, This was a narrow mountain pass with beautiful views, a lodge, restaurant, store and picnic area. We decided to get out our food and enjoy a covered picnic area. Wonderful.","May 18, 2018",Beautiful mountains and lodge,267,"Ruskin, Florida",5
Chisos Mountains,"6 miles takes you from the desert to the mountains in 2000 feet. Many great hikes, a visitor center, campground, restaurant & lodge are what you find at the top. Since it's such a winding, twisty road no trailers over 20' or RVs over 24'. Take your time & watch your speed! Above all - STAY ON YOUR SIDE OF THE ROAD!!","May 2, 2018",Mountain oasis in the desert,456,"Westville, Indiana",4
Chisos Mountains,The chisos mountains are a stunning area ....a real oasis in the desert. Lots of great and stunning vistas. Some great wildlife too. ,"May 2, 2018",Beautiful area ,34,"San Antonio, Texas",5
Chisos Mountains,"Here I write about the Basin Loop Trail in the basin area of the Chisos Mountains in Big bend National Park. This trail provides an all around view of the basin mountains as you complete hiking the loop inside the basin. The trail has pretty good elevation changes as it goes up and down next to the lodge, the campground and the Window area. The trail is pretty rocky at some places, so start with good shoes and be sure-footed. We saw several deer, and a couple of them stood around right next to the trail pretty close to us. This trail intersects with several other trails that start from the basin. I found some of the trail markers to be not clear with directions at some crossings, especially where more than two trails intersected. I would not call this a must-do trail in the park, but it could be a good choice if you have extra time and need to burn off some calories.","April 28, 2018",Chisos Basin Loop Trail - GO,157,"Kansas City, Missouri",5
Chisos Mountains,"Wonderful views from the restaurant and area. Oasis in the sky, but be advised if you have breathing problems this is almost 7,000 ft. The restaurant is great with a diverse menu. It worked for my daughter and her husband, both vegetarians. Kid's menu is great, with mac and cheese and grilled cheese. I have stayed at the lodge and it is wonderful, but I understand you need a whole year's advance reservation!","April 17, 2018",This place in gorgeous,16,"Corpus Christi, Texas",5
Chisos Mountains,"It is both the highest part of Big Bend, but also the coolest and greenest. The in-park inside lodging is centered here. The Lodge are has rooms and a restaurant.There are lots of hiking trails up here. You can take a very short hike to see The Window or a long one all the way to the Window, plus others that lead to great viewsThis is where most of the javelina are supposed to be. We didn't see any, but we could smell themMake sure you make a visit up here..","April 11, 2018",Chisos Basin is a high spot,439,"Lawrence, Kansas",5
Chisos Mountains,"For cooler temperatures, amazing views and some of the best hiking in BB, Chisos mountains are a must visit if you have at least two days in the park (visit the desert one day and the mountains the next). We hoped to see a bear with no luck, but did see many birds and some deer. The issue we had was trying to get into Chisos Basin during Spring Break. Who knew it was outdoor Disney World and we needed a fast pass? First day a Ranger had the road blocked mid-day due to the limited amount of parking. The next day we made sure to arrive by 8:30am and had no problem getting a parking spot at Lost Mine Trail and then at the lodge after the hike. I’m sure outside of Spring Break parking isn’t an issue but we found several areas that were closed off or had long waits for parking. ","March 14, 2018",Experience the high country in the middle of the desert. ,16,,5
Chisos Mountains,"We drove up six miles into the basin , up through forest and amazing scenery. Once there the Window view was fantastic, definitely worth the detour off the main road .","March 10, 2018",A green haven in the desert.,12,"Northallerton, United Kingdom",5
Chisos Mountains,"Due to a cancellation we were able to book a cottage at the Lodge in the basin. So many photo opportunities we will have to return another time. Joyce and Charles from Argyle, TX","March 9, 2018",Three Days in Big Bend,43,"Argyle, Texas",5
Chisos Mountains,"The basin of the Chisos Mountains is so majestic and filled with plants and animals that you just don't see everywhere in the desert. It's really a short drive from Study Butt and Terlingua. Worth the time. If you have days or weeks or more, there are trails to keep you busy for a lifetime. ","March 6, 2018",The Basin,10,"Fredericksburg, Texas",5
Chisos Mountains,Nice secluded area. Nice roads throughout with a little snack shop and store. Pretty drive and great view of the Rio Grande river.,"March 4, 2018",Pretty area,4,"Long Beach, Mississippi",4
Chisos Mountains,"The Chisos Mountains are a fully contained mountain range within Big Bend National Park. They are filled with trees and greenery, as opposed to some of the high desert trails in the other parts of the park. If it's going to be a hot day, the Chisos Mountain trails will provide the most shade and the coolest temperatures because of the altitude. The rangers at the Visitors Center are incredibly helpful for deciding which trails suit your needs.","February 24, 2018",Another great ecosystem of Big Bend,20,"Chicago, Illinois",5
Chisos Mountains,"An oasis straight out of Lord of the Rings in the middle of the southwestern flavored Chihuahuan Desert. We arrived in the basin on a cloudy day, and the Chisos looked so foreboding that I half expected to see an orc army gathering in the lowlands viewed through the Window. The Lost Mine trail is super easy up to about .8 mile in and is not to be missed. Got loads of great photos here.","February 23, 2018",These mountains are metal!,43,"Richardson, Texas",5
Chisos Mountains,Chisos Mountains in Big Bend National Park are worth Seeing before increasing heat and drought of global warming kill the trees. You can't see much if you do not hike.,"February 11, 2018",Worth Seeing before increasing heat and drought of global warming kill the trees,347,aptos,5
Chisos Mountains,"From main visitor center 13 Miles, then left up into mountains. Very nice approx 6.5 Miles to next visitor center. Recommended less than 24 RV due to hills and sharp turns","February 6, 2018",While in Big Bend,93,"Hummelstown, Pennsylvania",4
Chisos Mountains,"Big Bend National Park and the various hikes in the Chisos were on our (my wife and me) bucket lists. Checked'm off!! We spent 4 days hiking and sight-seeing in the Basin and at Boquillos and Santa Elena Canyons. We completed the Window/Pour-Out hike in half-day, and then took 9.5 hours for the 12.5 mile round trip to the South Wall. Spectacular!! As a retired geologist, I was awed by the views and the exposed geology of the volcanics and structures along the Rio Grande rifting. Even if you are not a geologist, I think you will be surprised and awe-struck the diversity of the rocks, formations, and yes dinosaur fossils exposed within the park. Please take advantage of these natural wonders the Park Service has preserved and curated. Although, Big Bend is not easy to get to, everyone should try hard to visit. Our US National Parks are truly inspiring in their natural beauty, and all of us who are fortunate enough to get to visit, will leave much better persons. Go out and enjoy our National Parks.","January 20, 2018","Experience the Awesomeness of the Chisos Mountains, Big Bend National Park",9,"Houston, Texas",5
Chisos Mountains,"Always wanted to hike so when moons aligned I took the chance. Stayed at the nlodge which is convenient to everything and saves driving in & out of park. I’m over the whole camping thing! First time do I did the short hikes lost mines, windows around 3 hrs round trip. Great scenery but boy was it cold Jan 19F. Layers solved it for me and after 30 mins didn’t feel the cold anymore. This is a taster trip next time I’ll do the south rim. Cold and misty today so no point IMHO. You should make this trip & combine with visits to Marfa fort Davis etc for areal taste of West Texas!","January 17, 2018",Great trip but cold..,70,"Houston, Texas",4
Chisos Mountains,"Starts at the Chisos Basin where shops, bathrooms and lodges are. Emery trail was a challenge but worth it. We didn’t even go to the highest peak and it was still amazing. A great leg workout- bring plenty of water and snacks! There’s a place to store bags at the top away from black bears (eek) if you want to go to the highest peak without it. Hiking boots are a MUST as trail can be a little rocky at times while dirt other parts. Cool views of “the window” looking into Mexico with a great place to snap photos. There are also campsites available along this trail too that off the beaten path for good privacy we want to look into for next time!","January 11, 2018",The most amazing views in Texas! ,19,"New Braunfels, Texas",5
Chisos Mountains,"We camped in Chisos Basin in August, part of the park's low season. There were multiple campsites available, most with stunning views. We had 360 degree mountain views from our lovely shaded camp table. The mountain atmosphere was cooler in temperature than other areas of the park, and had much more lush desert greenery. Our site was about 10 steps away from the 5ish mile Window trailhead. We were warned of mountain lion activity in the area but thankfully did not encounter one of these majestic creatures. I expect this is the best organized campground in the park.","January 9, 2018",Surreal Campsite,76,"Pittsburgh, Pennsylvania",5
Chisos Mountains,"The Chisos Mountains are easily views and hiked from within Big Bend National Park, Texas. They are covered with typical dry area vegetation and offer good, well marked hiking trails and the occasional driving route. Well worth the visit when you are in southern Texas. ","January 3, 2018",Mountains in the Desert,21,"Barrie, Canada",5
Chisos Mountains,These are awe inspiring mountains in the big bend national park. We drove towards the mountain lodge. We visited the amphitheater to get a Better view. They have some fabulous hikes. We loved the windows Trail and the diversity of the vegetation. The emory peak is the most beautiful. The sunset at The Windows was absolutely beautiful. We had dinner at the lodge.,"December 31, 2017",Majestic mountains in Big Bend,337,"Glenmoore, Pennsylvania",4
Chisos Mountains,"These are beautiful mountains at the heart of the park. The Visitor Center can advise you about the many available hikes, from fifteen minutes to several hours, with all levels of difficulty; however, driving through the area is also worthwhile. There is so much variety: mountains, yes, but also desert landscapes and lots of vegetation along the Rio Grande. The mountains' remoteness means that it never feels crowded. And although it was 99 degrees for three of our days there, the desert dryness meant that it never felt oppressively hot! And the night skies are the most amazing and star-filled that you'll ever experience.","December 20, 2017",The heart of Big Bend National Park,48,"Stow, MA",5
Chisos Mountains,"It was really fun, I liked the view on Emory Peak. You could see the whole basin, and there were lots of other great trails.","December 13, 2017",Big Bend,0,"Yekaterinburg, Russia",5
Chisos Mountains,The Chisos Mountains are really nice. They offer a nice view and are really amazing to drive by. We downloaded an app wich gave us direction and information. It was free and really worth it.,"December 2, 2017",Really nice view,10,"Antwerp, Belgium",5
Chisos Mountains,"Great views in the heart of BIBE park. We took a short hike off the visitors center. My only complaint, the views are pretty much all the same. I wanted to do the Lost Mine Trail but it wasn't happening. The restaurant was better than most National Park food. Worth the trip by far.","November 17, 2017",Beautiful part the park,67,Ohio,4
Chisos Mountains,"Wow! The drive through and hiking in these mountains was just wow! Some of the mountains are arid looking with beautiful formations. Looks like one of those western movies. Expected to see John Wayne on his horse! Then travel into the basin and, all of a sudden, you have trees and green mountains. All with amazing views from down below and up on vistas and windows to below. Can’t wait to go back and do more exploring.","October 29, 2017",Beautiful Mountains ... in Texas!,9,"Katy, Texas",5
Chisos Mountains,"Love this area of the park. You may get lucky and see a black bear, or two. The lodge is comfortable with good dining options.","October 28, 2017",Beautiful views and cooler temperatures with lodge,53,"Monument, Colorado",5
Chisos Mountains,"This area of southwest Texas is a hidden gem for those who enjoy being in mountains (although the ones around Chisos are at about 7,000+ in elevation. It is an enjoyable place above the hot Chichuahuan desert. We did visit in mid October so the mountain temps were very pleasant but when we went down to the desert it was a bit warmer with temps near or at 90 degrees. If you want to visit here, please make reservations at The Lodge well in advance, although when we were there, there seemed to be rooms much available. Be sure and take the walk to The Window and watch the sunset and then stay to watch many stars and The Milky Way appear in the night sky and take a flashlight.","October 24, 2017","Mountains in west Texas, who knew",130,"Williamsburg, Virginia",4
Chisos Mountains,A visit to Big Bend must include a visit to the Chisos Basin. Beautiful green piece of paradise in a remote desert mountain range. Unbelievable.,"October 11, 2017",A Must,54,"Albuquerque, New Mexico",5
Chisos Mountains,Did the Window trail which was superb- camped at the Chisos campground which was a great base to access the hiking trails from. We saw a black bear and multiple road runners during our visit! ,"October 3, 2017","Great hiking trails, beautiful views ",61,,5
Chisos Mountains,This range of mountains are simply beautiful. You cannot spend enough time taking in all they offer. This is a large park so pace youself. Enjoy the winding road to the Basin and especially the quicker trip down!,"October 1, 2017",These are the Park!,21,,5
