national_park,review_body,review_date,review_title,helpful_vote,user_location,user_rating
Cliff Palace,"Mesa Verde's Cliff Palace House is not to be missed. It is an easy hike. Unlike Long House you do not get to go inside the ruins. But, you do get to view up close. Very awesome.","October 18, 2019",A Palce Indeed,49,"Kent, Washington",5
Cliff Palace,Informative tour! The ranger did a good job of making sure all ~50 people got their questions answered and didn't feel rushed in going through the Cliff Palace. Amazing history.,"October 18, 2019",Throughly enjoyed our group tour with ranger,101,"Brookhaven, Georgia",4
Cliff Palace,"I visited wonders of the World Machu Piccu and Chitzen Itza and more Native American Ruins. I don't know why Mesa Verde is so unknown. I loved it! Due to lack of time, we (of course) took only a Tour for Cliff Palace, the biggest site. I have to admit that the tour was a little woolly, but it is the only chance to walk through Cliff Palace. It was worth it. Get your tickets a day before you want to do the tour (in low season). And travel time in the park itselves is also something to be aware of.... (take at least 45 minutes to drive from the park etrance/ camp site to the ruins.","October 16, 2019",Amazing,18,"Delden, The Netherlands",5
Cliff Palace,You could not walk all they way down because it was closed due to rock fall. But you can get amazing pictures,"October 13, 2019",See the whole park,0,"Central Arizona, Arizona",5
Cliff Palace,"Exceptional, breathtaking and amazing! You will not regret taking the ride to see this wonder of America's history!","October 10, 2019",MUST SEE IF YOU ARE IN THE AREA1,43,"Springfield, Missouri",5
Cliff Palace,"We thought we might get lucky to get afternoon tickets to Cliff Palace after arriving around 2:15 pm on day one. However, we found out they had 2 tickets for 3:00, but they said we would not have enough time to make it back to Cliff Palace. We opted, instead for 11:00 the next morning so as to give us some time to see some other areas of MVNP. As others have said, the hike/walk down to access Cliff Palace isn't that easy. There are uneven steps, some areas with no handrails and some tough areas where any issues with mobility will be tough to traverse. However, to exit the area will be even more difficult and should not be done by anyone with fears of height, ladders, tight quarters through rocky steps, only to have to climb up ladders to get out. Fortunately, my wife and I had not issues with entering or exiting. This tour is well worth the $5 pp charge to get up close and personal with your Park Ranger Guide. It is an amazing site to see up close while only imagining the difficulty those from 700+ years ago had to go through to live in the cliffs. Truly an amazing experience. There is a viewing area just from above the dwellings, as well as, across from the canyon area where you can see it.","October 10, 2019",Missed out on tickets for Day 1 but successful for Day 2,199,New Jersey,5
Cliff Palace,"Great tour, Dave our guide was great especially his song played on his flute near the end. The trail is a little treacherous... my wife freaked a little but made it. If you are not in shape and can't climb very steep paths and numerous ladders better not attempt the tour. Kids that wander could find serious trouble, not for the very young at all. The overlook to the Palace ruins are for you.","October 9, 2019",Outstanding but not for the very young or elderly,69,"Stewartstown, Pennsylvania",5
Cliff Palace,"Unfortunately we did not get tickets to go down to the buildings. TIP - since you have to buy tickets at the park in person, show up in person, at opening time at least 2 days before you want to go down and walk in between the buildings so that you get a ticket. They sell out FAST! Even though we didn't get tickets to go see the buildings up close, the birds eye view provided by the overlook platforms are also stunning. Something you can just stare at for hours and not get tired of it. Extremely beautiful and magical. A must see.","October 8, 2019",Must See!,2,"Austin, Texas",5
Cliff Palace,"We had to show up a day early in order to get tickets for 2PM the next day. It was totally worth it! Only physically fit individuals should go. The climb on uneven steps and a few ladders is equivalent to a 12 story building down then back up again. Two people had to be rescued the day we were there, and our ranger said the bill for a rescue is $15,000, which may not be covered by insurance.","October 7, 2019",Totally Worth It,79,"Fresno, California",5
Cliff Palace,"You can view it from the platform, but you can only be a part of it with a park guided tour. The cost is $8.","October 6, 2019",You are part of ancient history.,33,"Littleton, Colorado",5
Cliff Palace,The first view of Cliff Palace takes the breath away. Ranger led tours are very informative. Each ranger puts a personal touch on the tour which is nice.,"October 6, 2019",Outstanding history,10,"Pacifica, California",5
Cliff Palace,Cliff Palace was amazing. The history here is quite fascinating. You need to be fit and not too large to enjoy the hike,"October 5, 2019",.SW tour,29,"Minneapolis, Minnesota",5
Cliff Palace,Spectacular views of The park on your drive to see the Clift Dwellings. We really enjoyed our visit and the drive.,"October 3, 2019",Spectacular views,5,"SeaTac, Washington",5
