national_park,review_body,review_date,review_title,helpful_vote,user_location,user_rating
Congaree National Park,"My friend and I canoed on Cedar Creek from Cedar Creek Landing all the way to the Congaree River, finishing at Bates Bridge Boat Landing at Hwy 601. It's a 20-mile trail that requires countless portages due to numerous fallen Cypress and Tupelo trees on the creek. The water level in the first half of September was 2-3 ft. Sometimes there were so many obstacles that we doubted whether we were on the right trail. Once, we doubted so much that we traveled back to a fork in the creek. Then we discovered we had been on the right trail the first time! So, we had to travel that way again. In the end, we carried our boat over several of the same obstacles twice. We tried to wash the mud from our hands with black creek water so we could replenish our energy with a snack. We had to attempt to clean our hands this way every time we wanted to eat, as our hands were constantly getting dirty as we navigated around fallen trees. At some points on the trail, we could remain in the boat by lying on our backs on the bottom of the canoe so we could squeeze under a fallen trees. A few times we had to get out of water and portage on the creek bank, which was a nightmare. It was extremely hard to portage on the land as it was very muddy. We often found ourselves up to our knees in mud. Often we had to portage over trees, a couple of times slipping into the black water of the creek. Snakes weren't an issue as we hardly saw them. We did see some otters along the trail. We met many fluffy spiders that had spun webs on fallen trees; while we were going under those trees they were hanging right above our faces.The creek portion of trail took us 7 hours to complete. We had rented a Ford F250 to pick up the canoe from a rental place in downtown Columbia. Then, we locked the canoe to a tree at Cedar Creek Landing. Next, we drove our 4Runner and the truck to Bates Bridge Landing. We left the truck there and drove back to the Cedar Creek Landing to start our adventure at around noon.By the time we got to Congaree River, it was 7 pm. We had another 13-14 mi to go. We canoed a big portion of it in the dark at the mercy of the light of moon. It was nearly full, generously shining on the river enough to make the path ahead visible. We also had a powerful light that we were using only on the turns to make sure we don't hit branches of trees possibly fallen in the river or land on the bank of the river. I cannot say it was a very pleasant experience. We were constantly hearing strange noises, not being able to identify the source. I fell asleep a couple of times for a second or two while canoeing. We eventually finished, arriving at Bates Bridge Boat Landing just past 10 pm.It was a life experience unlike any other. I have no regrets. However, I certainly do NOT wish to try it a second time. It was a sweet nightmare. How can I not say it was sweet, while we were blessed by the scenery of those beautiful marvelous Cypress and Tupelo trees, sounds of Otters and birds, those scary spiders, and watching strong lightning happening on the distance while we were at the mercy of the moonlight paddling on the astonishing Congaree River at night with no one around. It was us and nature alone!","October 12, 2019","Canoeing on Cedar Creek, Congaree National Park",0,,5
Congaree National Park,"I was pleasantly surprised when I visited here as a side trip on my way to Florida. A 2.8 mile boardwalk through the forest was an enjoyable walk on an early Fall morning. Lots of cypress and loblolly pines along with birds, reptiles, amphibians and other wildlife.","October 9, 2019",Beautiful,1,"Beachwood, New Jersey",4
Congaree National Park,"My wife and I visited Congaree National Park on a recent visit to the Columbia area. I recommend starting at the visitor center. We talked to the rangers ahead of time to figure out the trails we wanted to hike and their conditions. The park was stunning! We started out on the boardwalk and hiked down to the Weston Lake Loop Trail. We saw a doe and a wild boar. There was also many types of trees including some massive ones! The Loblolly Pines were particularly tall and impressive! I have never seen trees that massive in the eastern US. There were also several lakes and a creek. It was such a peaceful, relaxing place! I look forward to visiting again in the near future!","October 8, 2019",Beautiful Forests and Trails,215,"Tallahassee, Florida",5
Congaree National Park,"The boardwalk trail at The Congaree National Park was a great option for our family. My daughter has special needs and I’m always worried about her slipping when we are hiking. This trail is elevated with a relatively smooth path and rails gave me peace of mind for my daughter. Would be great for families with small children and the elderly. It’s about a 2.4 mile loop with plenty to see along the way. There is also a nice gift shop at the entrance of the trail complete with souvenirs, maps and bug spray. Also exterior bathrooms and a water fountain if you are out after the gift shop closes. FYI - there are lots of bugs in the summer and it is incredibly hot and humid under the canopy of the trees. Lots of shade but not much of a breeze gets down through those trees. Make sure you bring plenty of water! ","October 3, 2019",elevated boardwalk trail,4,"Elizabethtown, Kentucky",5
Congaree National Park,"Arrived late afternoon on National Public Lands Day for a leisurely stroll. During the walk we saw a rattlesnake (off the boardwalk), red-headed woodpecker, pileated woodpecker, prothonotary warbler, wild pig (small), several squirrels, turtles and bream at the Weston Lake overlook, and many Golden Silk Spiders (Nephila clavipes). Always an adventure... even on the boardwalk.","September 29, 2019",Boardwalk Loop,17,"Columbia, South Carolina",5
Congaree National Park,"After my meeting in St. Matthews’s, I decided to check out this National Park and I am thankful I did. The park is beautiful and features the largest remaining tract of old-growth bottomland hardwood forest remaining in North America. There is a visitor center with a short film explaining about the park. There is also a two mile plus elevated boardwalk that takes you into the wilderness to experience nature. There are benches along the boardwalk where you can sit and enjoy the quiet. ","September 25, 2019",Beautiful and peaceful National Park ,320,"Cookeville, Tennessee",5
Congaree National Park,"This is not a National Park where hoards of people pour in to take in the sites. It is a beautiful, calm and unusual Park. The boardwalk, leading from the visitor’s center, identifies trees will see. It is an easy walk, too. You can choose to leave the boardwalk and take the Weston Lake Trail, which not only extends your walk, but you will be high on a dirt path. It is a fairly quiet walk which enables you to hear the fauna and you can almost hear the old growth trees growing. Such a beautiful, peaceful walk. Plan to spend several hours. We used misquote spray, but did not have a problem with the bugs. ","September 4, 2019",Beautiful and peaceful,65,,5
Congaree National Park,We hiked about 6 miles down the river walk and had to turn around. Freaking snake was sitting on a tree branch right by my head on the trail no joke. I only noticed it when it was a foot away. Thanks god it did not attack neither me nor my girlfriend that was following me.Not only that there are venomous spiders and some unknown flying insects that don’t look too friendly.,"September 3, 2019",Watch out for snakes and spiders,0,"Bowling Green, Ohio",1
Congaree National Park,We went out of our way to go to this park as my spouse loves trees and parks. It had rained hard the day/night before we went so we chose the boardwalk trail. Other trails are through the park and they have different lengths. On the boardwalk You get to walk above dry and wet lands. The signage and information in the provided flier was interesting. They do have a short video which i would recommend that you view before your walk. The rangers are friendly and pleasant and we enjoyed our visit. ,"August 28, 2019",A great park,103,"Englewood, Florida",5
Congaree National Park,"Tho there are other trails, we only did the 2.4 mile boardwalk. There are many large baldcypress, loblolly pine and beech trees here. You will see the curious cypress ""Knees"" thought to protect the trees during storms and flooding. At the time we were here , mid August' there were lots of big spiders with their webs crossing the boardwalk. We also saw skinks with brilliant blue tails, squirrels, and turtles. The park literature says they are mistakenly called a ""swamp"" when they are actually an ""old-growth bottomland hardwood forest periodically flooded by groundwater or surface water."" I don't think they are going to convince people to call it that!!It is a pleasant walk where you need to look for small things. Great for wheelchairs.","August 21, 2019",Excellent Park for a Wheelchair.,149,"Dayton, Ohio",4
