national_park,review_body,review_date,review_title,helpful_vote,user_location,user_rating
Crater Lake National Park,"This summer my husband & I drove throughout California and Oregon visiting “cruise friends.” We always make the most amazing people on cruises! The two couples we visited were from our cruise on the Danube, Mein, and Rhine rivers. We enjoyed a variety of wine on that cruise and promised visits. While in Oregon our friends insisted we visit Crater Lake. I’m so glad they did. The only negative to our visit to the Park was our dinner in the restaurant. Service was slow and our orders were not correct. So, don’t plan to eat but DO plan to visit this amazing lake surrounded by snow covered mountains as late as June. Plan to hold onto your children though! Children were sledding down the roof slope. This looked like fun to children but not to grandparents!","October 14, 2019",Must be Seen to be Believed!,15,"Chattanooga, Tennessee",4
Crater Lake National Park,"You can't imagine the color of blue this lake is in the sunshine. It hurts your eyes and to think you are also looking into a crater of a volcano. The drive around the lake is beautiful and make sure you pull off at the turn arounds to see it all, We got lucky one day sun and blue but the next day what a surprise snow was everywhere and the whole park changed to another season for awhile. The national parks never cease to amaze me.","October 14, 2019",Blue Is The Word For This Lake,81,Pennsylvania,5
Crater Lake National Park,If you are a hiker then you need at least 2 full days. If you want to drive the rim and get out to look at the observations and do a few easy walks then a full day is good. It is not easy to get too and accommodations are not abundant within 20 miles. That being said you will not find anything like it in North America. It is truly amazing,"October 12, 2019",Simply amazing,387,"Pittsburgh, Pennsylvania",5
Crater Lake National Park,"It was a perfectly clear day when we went to Crater Lake. To see it is unbelievable and hard to image that it is real. It is a 35 mile driving loop with many overlooks and pull overs. At each of the stops there are plagues telling you about what you are seeing and how the overlook got its name. We would suggest starting at the West rim and driving the Loop Eastward from there.It is hard to describe the beauty of the Lake. There are exhibits at the first time which explain the formation of the Lake. Even in mid-Sept there were Rangers available to answer questions.There are many beautiful picnic spots and driving the loop and stopping was 5 hours wonderfully spent. There are also many hiking trails along the way and when you first enter the Park make sure you get a brochure as this not only shows the overlooks, but the trails and degree of difficulty.As with all our national parks a true beauty!","October 12, 2019",Breathtaking,1,E. Northport ,5
Crater Lake National Park,"This may be one of the most beautiful parks in the national park system. Simply it's a beautiful, blue lake in a volcano. Of note though, the road the encircles the lake is a 2 lane, narrow road, with no guard rail. A bit of a white knuckle drive at times, but well worth it. We went in mid-September and is was very cold, so be prepared. Don't miss it.","October 11, 2019",Beautiful!,21,"Midlothian, Virginia",5
Crater Lake National Park,We parked at the Visitors Centre and walked up to the lake from there. It's stunning. Photographs just don't capture it's beauty. There's an information point down some stairs in front of the lake which provides interesting facts about the lake.,"October 10, 2019",Stunning Views,96,"Yateley, United Kingdom",5
Crater Lake National Park,"The lake and the surrounding area is beautiful. We were recommended to go on the east rim tour. I would recommend this, too. And it is worth while to calculate enough time to get down to the water. Unfortunatelly the park personnel/rangers were extremely unfriendly, that's why the momory of this day is not a good one.","October 9, 2019","Nature is great, but park personnel very unfriendly",39,switzerland,4
Crater Lake National Park,"this is a cn't miss place on your journey. the blue water is more than you can imagine. some times you can find snow after july 4th,","October 8, 2019",best lake to see,28,"woodburn, or",5
Crater Lake National Park,"In September, while visiting Oregon for a wedding, I had the pleasure of returning to Crater Lake N.P. The return trip did not disappoint! 20 years later, the parking areas, signage and visitor center are all upgraded and convenient, Amidst all these changes, the Lake is constant.  Thankfully, Crater Lake is as Awesome, Pristine and Reverent as I remembered. The magic of walking over the dry, rugged crest to view the beauty of the ever changing colors on and in the water was alive and well!","October 8, 2019",Return Trip Did Not Disappoint,3,Connecticut,5
Crater Lake National Park,"I have alwasys wanted to go to Crater Lake and was fortunate to take a trip here with my friends. It was 100% worth it. Went in July and there was still a small amount of snow on the ground. The sight of the lake itself was absolutely spectacular and was an astounding site. I would 100% recommend that all people see this beautiful place. You won't need bug spray on the ridge because of the high elevation, but if you go lower in elevation (like where the camping grounds are), you will definately need bug spray. The mosquitos there are HORRIFIC.","October 8, 2019","A ""must see""!",155,"Vancouver, Washington",5
Crater Lake National Park,"Visiting from the UK, we'd planned to drive over to Shady Cove from the Oregon coast stay the night then spend a full day visiting Crater Lake, however heavy rain was forecast so we went en-route to Shady Cove. We started driving the west rim of the lake & after 2 or 3 miles pulled into a viewpoint to find the lake was completely shrouded in cloud, it appeared driving further on would be fruitless as the situation was unlikely to change with low cloud, fog in places & rain turning to snow, so we reluctantly turned back. We popped into the visitor centre to check the forecast for the rest of the day/tomorrow, they confirmed our fears but suggested we hang around for a bit as often the skies clear. With nothing to lose we took their advice & noticed the sky brightening towards the east side, so we headed in that direction. What a great decision that was, to our delight it was blue skies & a reasonably good view of most of the lake. Whilst we would loved to have seen Crater lake in it's full glory we were thrilled to see what we did, non of the guidebooks we had mentioned taking into account weather conditions so we felt lucky to have seen this wonderful sight.Moral of the story, check the weather forecast & plan ahead, the weather may well ruin your visit.","October 8, 2019",Awesome,44,"Morpeth, United Kingdom",5
Crater Lake National Park,We had reserved a boat tour months in advance. The tour was cancelled at the last minute due to ranger training - wish they could have coordinated the boat schedule with the NPS schedule well in advance. The lake is wonderful.,"October 5, 2019",Boat Tour Was Cancelled,25,Colorado,3
