national_park,review_body,review_date,review_title,helpful_vote,user_location,user_rating
Dante's View,This is fantastic. Go here and enjoy a view out of another world. We had seen several pictures from the place. Still we nearly lost our breath when we saw it ourselves. It is a couple of easy hikes in each direction from the parking. We highly recommend the one going north. ,"October 18, 2019",Fabulous ,39,"San Francisco, California",5
Dante's View,Its one of many places to stop and see something very different. Difficult to describe its something you have to see. ,"October 11, 2019",amazing views,153,"Wroughton, United Kingdom",5
Dante's View,"The views from several high spots are amazing and worth the drive. Even better, when we were there the temperature in the valley was 111 but up at Dante's view it was a very comfortable 85. We didn't want to come down.","October 1, 2019","Incredible view of the valley from 5,000 feet up",284,"Piedmont, California",5
Dante's View,Stunning views from here all across death valley and badwater flats. Bit of a windy drive up but worth the effort.,"September 25, 2019",Worth a visit,12,,5
Dante's View,The best of the best overlook in the Death Vally. You see that beautiful view from high on the mountains and this is the number one sight you must reach in the Death Valley. ,"September 22, 2019",The best,158,"Jerusalem, Israel",5
Dante's View,It’s a longer drive up to Dante’s view but this is a must go. View was breathtaking and gives a really good feel of the park.,"September 21, 2019",Must do in Death Valley ,32,"Singapore, Singapore",5
Dante's View,Hot hot hot. But o so beautiful. From sea to shing sea. Wonderful day. Dantes View is not to be missed. A special place on earth. The 360 degree views are worth the drive. Wonderful park.,"September 10, 2019",Aug 9. 109 degrees. ,50,"Red Hook, St. Thomas",5
Dante's View,I have been excited about this experience and it didn’t let us down. We went about 6:30PM and watched the sunset over the mountains and waited for the stars. It isn’t very far off the main but it is a curvy road going up the mountain. This was the best part of our Death Valley day trip. Very much encouraged.,"September 6, 2019",First Trip West,30,"Ocoee, Tennessee",5
Dante's View,"This is where Obi one and Luke stand overlooking the valley before meeting up with Han Solo in Star Wars 4.Now Sci Fi aside this give you a breathtaking view of death valley below and the Salts flats.This is a must see.The drive up is on a nice paved road and has the song goes ""It's a long long road with many a winding turns"" There are toilets just before reaching the parking area.There a nice trail off to the side of the parking well worth the 15 minwalk to get a great view and oportunity for memorable pictures.","September 5, 2019",Stat wars view,51,"Gatineau, Canada",5
Dante's View,"We stayed in Death Valley for 2 days and one of the things we wanted to do was Dante's View.It is 6,000-7,000 of elevation, so you are heading up and up and up..... Really great drive to the peak, winding roads and great views. It is a drive in itself of pure scenery.Once you reach the peak, there is plenty of parking and temperatures drop by about 10 degrees, so welcome break from the heat below..The views are just amazing, on a good day, which you will be unlucky in Death Valley not to have one, you can see for miles....Literally miles...Take the walk out along the dirt track to the end and you can feel like you are at the end of the world......Seriously so cool thing to do..... I would suggest as well spending a little extra time and do the walks either side of the carpark, they go higher and views even better... If you have time of course, but worth it...Enjoy the views... There was a ranger up there checking you had your passes into the national park, so be warned. There is a fee to enter the national park, but it is worth getting one in case. Not sure if you get a fine, but the ranger was on duty the day we were thereGreat experience.","August 28, 2019",What a view,107,"Birmingham, United Kingdom",5
Dante's View,"Tip: Made it here from Stovepipe Wells in an hour driving a bit above the speed limit.Terrific view. Highly recommend taking the 10-15 walk out of the parking lot. It's the only way you will see both ends of the valley floor. A truly unique view of the park. Zabriskie Point is also very nice, and might be more photogenic, but Dante's is grander.","August 21, 2019",A Hell of a View,58,"New York City, New York",5
Dante's View,This view is easily accessed by driving to it. The views are stunning and worth the drive up. Most of the way is fairly easy to drive. The road gets very curvy as you approach the summit.,"August 18, 2019",Amazing summit,320,"Staten Island, New York",5
Dante's View,"If you go to Death Valley Dante's View is the best spot to view the entire area. Especially in the morning when it's not too hot yet. It takes a bit of a drive to get there and as you get closer to the top it gets a little steep, but in the end it's worth it. Once you get to the top, there are 2 trails that are very easy to get right up to the edge. You might want to get there early because as the day progresses there are more and more travelers and as it gets hotter, even way up above the heat will affect you. ","July 27, 2019",Dante's View Death Valley,52,"Omaha, NE",5
Dante's View,You have to be there to believe it. Words can not do justice to this place. Well this can be described as a canvas of an artist.,"July 25, 2019",A place worth to visit,13,"New Delhi, India",5
Dante's View,One of the most scenic views I have ever seen. Nice to enjoy in the summer...and can even be done during midday because it is cooler up here...~5000 ft. I missed this on my first visit and am so glad I saw it during this trip. ,"July 16, 2019",Don’t miss it,3,"El Paso, Texas",5
Dante's View,Dante’s View is a great first stop if you are coming from Las Vegas. We were there early in the morning and only saw one other person at the viewpoint. ,"July 7, 2019",Great view from above,28,"Norman, Oklahoma",5
Dante's View,Very long way for a nice view of the valley in a colder environment. Probably my expectations were much higher and i was parfially disappointed. I was there at the sunset. It is likely an extremely nice and safe place to see a wonderful sky.,"June 30, 2019",nice but not special,17,"Gorizia, Italy",3
Dante's View,This is well worth the drive! A ranger talked us into going to see the views and we are so glad that we did!,"June 23, 2019",Incredible,159,"DeLand, Florida",5
Dante's View,Death Valley is a place of extremes! Dante's View is on such a high vantage in Death Valley that the temperature went down from mid 40s (Celsius)/100s (Fahrenheit) to mid 20s (Celsius)/ 60s (Fahrenheit). The view of the Valley from this point is just amazing. One can witness the vast salt lake at the base of the Valley and snow capped mountains in the distance.,"June 23, 2019",Brilliant View of Death Valley,47,"Yulara, Australia",5
Dante's View,"Beautiful view of Death Valley. Great overlook of the entire valley. This is also where a famous scene in the original 1977 Star Wars movie was filmed. Luke and Ben look out upon the valley, which Mos Eisley in the distance, and Ben says: ""never will find a more wretched hive of scum and villainy."" In all honesty, I went for the Star Wars, but I stayed for the view. It is worth a visit.","June 22, 2019",This is a MUST DO for any visit to Death Valley,19,,5
Dante's View,I had no idea that Death Valley could be so beautiful. I would go again in November when it's not crowded.,"June 15, 2019",what a view!,123,"Newport Beach, California",5
Dante's View,It might at first glance seem a long strech to get there but it is no doubt more than worthed the effort. Only by looking down from +/- 1700 m height to Badwater (- 86 m) one realises how special the place is. I'l carry the fantastic view with me for the rest of my days.,"June 13, 2019",Worth the detour,11,"Brussels, Belgium",5
Dante's View,"We rode through Death Valley and stopped at Badwater, approx. 200 meters below sea level. A few hours later, on Dante’s View, we were at 1650 meters looking down at the same site plus with an expansive view of the entire valley. Awesome view and the change in temperature from 41C on the valley floor to 34C on top was refreshing.The road up to Dante’s is made for motorcycling if you get past the slow moving vehicles and flirt a bit with the posted speed limit. Exhilarating the day we were there.","June 4, 2019",Amazing View& Super Motorcycle Road Leading to it,92,"Calgary, Canada",5
Dante's View,"If you are not afraid of the climbing percentage, then you should definitely visit this place. You have amazing views of the valley. It can be rather windy and chilly up there.","May 31, 2019",amazing view,31,"Blankenberge, Belgium",5
Dante's View,"Up here, like 5000 feet above the desert (below sea level) floor, people below look like ants to the naked eye. Up here you find a dramatic 360 view of the entire ecosystem. In clear weather you will see the peak of Mt. Whitney. And at night, it's a spectacular star gazing affair. Or how about the sunset as it drops in the West? The drive is an easy one on a freshly revamped roadway. Except trailers are not permitted to the top. The road corkscrews around for the final mile or so to the top, but that should pose no problem. But be careful driving down after dark. There is also some hiking to be done here. One trail follows the ridge south a bit, the other goes north. But don't try either of them in water shoes. Don't miss this spot if you're never coming back.","May 29, 2019","Not Just Dante, But Everybody's View",677,"Henderson, Nevada",5
Dante's View,"Just an amazing valley, with such a dramatic drop from the mountains to the salt lake, yet so colourful despite the barrenness. Didn’t have many visitors though (it’s a bit of a drive but a good sealed road) so was nice and quiet and you can walk out along a ridge for a while. It was much colder than in the valley so be prepared in order to enjoy it.","May 27, 2019",The best scenic viewpoint that I’ve ever been to,785,,5
Dante's View,"Our road trip included Death Valley, so after a long driving day we decided to take a 15 mile detour to Dante’s View, quite a long way up, but definitely worth the drive. You can visit the Badwater Basin at sea level, but personally it’s a waste of time. We went early evening and there were quite a few people about, if you can get there in time for sunset, then I think it would be a vision of loveliness. You just need to consider that you may have to drive the 15 mile road down in the dark. ","May 25, 2019",Detour to Dante’s View,2,"Chigwell, United Kingdom",4
Dante's View,"If staying at Furnace Creek, don't miss sunrise at Dante's View. Its worth the short hike since you get a view that contains about as much of the park as possible. ","May 23, 2019",Super View of Death Valley,5,"New York City, New York",5
Dante's View,The view from here of Death Valley is just breath taking. We highly recommend this location as you can see all the different colors of the Valley.,"May 19, 2019",What a view!,28,"Camarillo, California",5
Dante's View,This was my third trip to Death Valley but my first time up to Dante's View. So glad I finally found the time. Its a laborious climb up via car but the views of Death Valley and the neighbouring mountains are tremendous.,"May 19, 2019",Long winding Drive with Amazing View at the top,206,"Ingleside, Canada",4
Dante's View,"The view from this area was my favorite thing in DVNP. You have an expansive view up the valley and across to the mountains on the other side, and you are looking down on the lowest place in the US just below you. There are benches to sit and enjoy the view and a couple of information plaques. There are side hikes off either end of the main area that you can do if you want different perspectives. The road up to the view is a pretty drive -- the last little bit is a few tight curves, but if another car is coming, you can stop and wait so you don't have to meet them right in the tight curves. Don't miss this viewpoint in DVNP!","May 12, 2019",Don't Miss This!,61,"Apex, NC",5
Dante's View,Quite a windy cliff edge drive especially towards the end. But breathtaking views of the Badwater and surrounding areas. A lot cooler than below as high up at 1669m. Nice respite after the heat of the lowlands before going on to more sights. Definitely worth the drive for the peace and quiet and stunning views. ,"May 10, 2019",Breathtaking view of Badwater Basin and beyond,42,"Langtoft, United Kingdom",5
Dante's View,As my title of my topic suggests.. best way of enjoying nature without paying a single cent. Expect crowds. ,"May 4, 2019",Free with awesome views,14,"Chinatown, Singapore",5
Dante's View,"A must if you have just done Badwater, since you can look down and see the 5,000+ foot difference from where you just were. People at Badwater appear as mere specks in the white salt flats from here. The road is winding but there is plenty of parking when you get to the top. Be VERY careful if you are leaving the official overlook (which is fully accessible and has guard rails) to walk around a bit; the ground beneath your feet can be uneven and unpredictable, especially if you are bent on the perfect selfie. Watch that drop! ","May 1, 2019",Incredible View of Death Valley!,15,"Toronto, Canada",5
Dante's View,"A great vantage point from which to get an idea of the expansiveness of the Badwater salt flat region of Death Valley. A must see for any park visitor and at nearly 5500 feet above sea level, it's a chance to escape the heat of the valley, too!","April 26, 2019",Fantastic Vista,88,"Washington DC, District of Columbia",5
