national_park,review_body,review_date,review_title,helpful_vote,user_location,user_rating
Dry Tortugas National Park,I guess if you're going to do the snorkeling it might be worth it but we don't snorkel so it was an extremely overpriced trip to an historical fort. The fort itself didn't have much in the way of displays and although the tour was interesting to a point the guide thought he was more clever than he actually was and tended to run on and on. The catamaran ride was ok but very long and the food served was cheap and poor quality. The staff was nice but I can think of many better ways to spend that kind of money. Not only was it expensive to start with but then they hit you up for tips at the end.,"October 18, 2019",Just OK,0,"Orlando, Florida",2
Dry Tortugas National Park,This is a wonderful place to step back in time. The fort is huge and well maintained. We had a great time exploring and snorkeling.,"October 18, 2019",A Piece of History,0,"Thomasville, Georgia",5
Dry Tortugas National Park,"What an awesome adventure. This is a day long ""activity"", starting at 7 am with check-in and ending around 5 pm when you get back. The boat ride out and back can be a bit cramped, and the water can be a bit ""choppy"", but that is part of the experience. The staff aboard the Yankee Freedom III are awesome. The narration there and back is very informative, and entertaining. A galley style breakfast and lunch are served, not 4 star, but appropriate and good. Once there, the narrated fort tour is awesome, as is the snorkeling and snorkeling equipment. Don't let the price fool you, this price covers a full day of entertainment. On the way back, you can have a made to order frozen drink and snack, with ample choices.","October 17, 2019",Excellent day trip,4,"Norman, Oklahoma",5
Dry Tortugas National Park,"The ferry leaves early in the morning. So arrive earlier like they suggest. We were a bit later than others so we missed the part about downloading an app where once you arrived you could take off and do your own self guided tour using their app. Once you leave Key West you will NOT have cell service to download it anymore. Luckily they also offer guided tours around 20 minutes and after that another extended tour following for about another 45 minutes (free). Your time is limited once at the Park...boat arrives around 10:30 AM and you leave around 3 PM to be home around 5:30 PM. The boat ride over can be choppy so I highly recommend taking motion pills as a precaution. I had my own but they did sell some on the boat for a $1 each. You really should already have them in your system an hour before boating so TAKE some. You don't want to ruin this special day. They serve a nice breakfast buffet (included)...bagels, dry cereals, orange juice, milk, coffee, hot teas, boiled eggs, fruit, peanut butter, breads. You could go back for more if you wanted to. When you arrive they start prepping for lunch (included) around 11:30 AM...several bread options for making sandwiches, assortments of chips, cookies, bottle of waters, a few sodas to choose from. You can also purchase other items like ice cream sandwiches, corn dogs and such. With limited time we chose to sign up for the guided tour and get that behind us and then come back to the board the boat for lunch. The long lines were down by then. After lunch is when we picked up our snorkle gear and there was no line. The ONLY bathrooms are on the boat so if you have to go you'll have to get back on the boat. The boat is very close by though. They do have several changing rooms on the grounds so you'll wnat to bring a change of dry clothes for the ride back. On the way home they will open the BAR (cash or card)...they do not serve alcohol on the way over. However you can bring alcohol in a backback cooler to enjoy once on the island. You cannot bring it into the fort though, but there are many benches to hang out on around the exterior. We brought our backpack cooler so we had several snacks and drinks with us while on the island. I wish I had realized the beach there is crushed shells and coral. It's more fine on the beach walking area, but once in the water it can be one inch to six inch pieces of broken coral...couldn't feel sand at all so bring water shoes for sure.","October 17, 2019",A MUST do Trip!,17,,5
Dry Tortugas National Park,"If you get the chance definitely go, it was absolutely gorgeous. Ferry crew were excellent. Can mark it off my bucket list. ","October 16, 2019",Beautiful!!,1,"Hillsborough, North Carolina",5
Dry Tortugas National Park,We took the SeaPlane for a half day visit. We really lived the park. We spend the first hour exploring Fort Jefferson - the second half walking along the beach. Was so peaceful. We will definitely return.,"October 14, 2019",Really Enjoyed,120,"Wading River, New York",5
Dry Tortugas National Park,"Great day touring and snorkeling. The crew and the boat ride over are excellent. The fort is really quite amazing even without a formal tour. The water was beautiful, although was a bit cloudy. We had to swim out a ways to get to clearer water and was never quite clear. I think this is maybe due to wind or waves or ??, but still fun. Food on the boat out and back was solid. They even sell mixed drinks and beer after about 2:00. Saw many turtles on the way out and back. Will go again and will take friends, maybe even camp. ","October 14, 2019",Bucket list - everyone should go at least one time.,20,"Jacksonville, Florida",5
Dry Tortugas National Park,"This tour is well worth your time, we took the ferry and had Hollywood for our tour guide. He had an excellent knowledge of the history of the area and a true passion for sharing his knowledge and love of the area. It is well worth your time to walk through the self guided tour of the fort and the snorkeling was excellent. It is an all day trip but we found ourselves wishing we had had more time there. It is beautiful! We will take this tour again when we come back in 2021 and will recommend it to our trip winners.","October 11, 2019",Great Experience,0,,5
Dry Tortugas National Park,Just do it! The snorkeling is like swimming in an aquarium! The views from the fort are stunning! The boat to the island it very well staffed and a smooth comfortable ride!,"October 10, 2019",Worth every penny!,3,"Daphne, Alabama",5
Dry Tortugas National Park,We really enjoyed visiting the fort. The tour guide was very informative. We had great views from the beach. ,"October 9, 2019",Worth the ride,6,"Bremen, Georgia",5
