national_park,review_body,review_date,review_title,helpful_vote,user_location,user_rating
Glacier Bay National Park & Preserve,Wonderful day on our cruise sailing around the bay. Park Rangers were on board to talk about the extraordinary sights (and sites). When booking your cruise a port side cabin has better views if you want to stay in the warm. With all that ice about it is chilly.,"October 15, 2019",Simply stunning ,216,"Fareham, United Kingdom",5
Glacier Bay National Park & Preserve,"An amazing scenery.Saw it from our cruise ship.The photos do not do justice to the real thing, one must see it to realize, the beauty of this, amazing wonder of nature. Well worth a visit.","October 8, 2019",WOW,450,"Colombo, Sri Lanka",5
Glacier Bay National Park & Preserve,"Visited the glacier bay national park on a cruise with commentary from park rangers. Views of the inlets, glaciers, fjords were beautiful. Landscape was amazing, every where you looked you had amazing views. Saw a lot of glaciers and took a lot of photos. Enjoyed every minute of our time in the park. Worth a visit and a must when your planning a trip towards the area.","October 6, 2019",Amazing and beautiful views,119,"Whitby, Canada",5
Glacier Bay National Park & Preserve,"Great shipboard visit.Beautiful setting with snow capped mountains everywhere, and glaciers galore. During our passage through this area everyone on our ship went silent. The area with it's mountains and glaciers has an awe inspiring affect on everyone it seems.Well worth the time and cost....","October 5, 2019",Glaziers galore!,20,"ocala, Florida, United States",5
Glacier Bay National Park & Preserve,"Visited on a cruise ship for a day, stunning beauty lots of wildlife sea and land visible from ship, ice melting is very sad, have your camera ready ","October 1, 2019",Beautiful ,20,"Melbourne, Australia",5
Glacier Bay National Park & Preserve,"We cruised through Glacier Bay on our Holland America Ship, The Westerdam. The sites in this bay are just not describable. I have pictures that if I were not there, I would think they cant be real. We had a wonderful sunny day! The calving glaciers are again... indescribable! I feel so blessed to have had the experience!","September 30, 2019",Rated a 5 but would like to rate higher!!!,18,"Wauwatosa, Wisconsin",5
Glacier Bay National Park & Preserve,"We visited this pristine national park as part of our cruise and words could never do justice to such a jewel. It really is a ""wonder of the world"". The water was like a sheet of glass and it was so peaceful and serene as we cruised along. We spotted a few whales and seals in our travels but the highlight would have to be the Marjorie Glacier amongst several others we saw along the way.At one stage our ship was boarded by several local national park rangers who gave a great insight to the park in general.Our cruise that day through this natural wonder is a day I will never forget. It really is that special.","September 30, 2019",A World Wonder,140,"South Yunderup, Australia",5
Glacier Bay National Park & Preserve,You Must Have to Do It! Take the opportunity of your life to admire the wonders of Nature. You have to do it no matter your age or your stage of life. Remember :”life is only one chance” - we decided to do it in a family cruise trip. And we will recomend it to anyone who admires GODS creation! Nature. - A++ Trip.,"September 29, 2019",Cruise Norwegian Bliss,7,"Boqueron, Puerto Rico",5
Glacier Bay National Park & Preserve,"Cruising Glacier Bay was by far the highlight of our cruise. Clear skies and amazing views from all over the ship. If you don’t do any excursions and just stay on boat the entire time Glacier Bay makes it all worthwhile.I was concerned not having a balcony room would be an issue during this part of the trip and that we would be stuck in crowds and not able to get a good view. However, lots of folks were on the upper deck and the views are so vast it’s easy to get great photos and a find a good seat / view to watch from.","September 29, 2019",Unreal!!,35,"Kenmore, Washington",5
Glacier Bay National Park & Preserve,"We spent a day in Glacier Bay aboard Holland America MS Eurodam. It was truly an unforgettable experience. The glaciers are magnificent and also a startling and eye opening reminder of the effects global warming is having on our planet. This area is truly untouched and awe inspiring. I recommend everyone visit at least once. Being on such a large ship does make it difficult to imagine the scale of the glaciers, but the views are spectacular. In addition to the glaciers we saw sea otters, seals, bald eagles, sea lions and killer whales.","September 28, 2019",Unforgettable Experience ,14,,5
