national_park,review_body,review_date,review_title,helpful_vote,user_location,user_rating
Going-to-the-Sun Road,This road is a marvel through GNP!! On our first day there we took the guided red bus tour. Vic our driver made for a great day!! Can't say enough good things. This will not disappoint in the least ,"October 17, 2019",Amazing,1,,5
Going-to-the-Sun Road,"Glacier Park and this road are among the most memorable life experiences. The views are unique and the wildlife can be plentiful. Be cautious driving this road, and especially of other drivers who are not paying total attention. Otherwise enjoy this trip and drive it with it being the destination and not elsewhere. It is one of a kind.","October 15, 2019",Awesome Experience,1,Fishtail\\\\\\\,5
Going-to-the-Sun Road,"I would say, start early, it's a very popular trip. So amazing, beautiful breathtaking scenery. Parts of the road are not for the faint hearted, narrow, steep drops and Rocky outcrops on the safe side. The walk to the Lake overhang at Logan was beautiful, it was very busy and the car Park although quite large gets really full quickly, hence the early start.","October 9, 2019","This does not disappoint, its amazing",1,,5
Going-to-the-Sun Road,Wear a light jacket and be prepared to be awed!!!!! nothing like it in the whole USA...so breathtaking you need an o2 cart!!!,"October 8, 2019",TOUCHING HEAVEN,2,New Caney,5
Going-to-the-Sun Road,Just a wonderful ride ! Go to the top for breath taking view and down to the lake for ice cream. Wish I was there right now lol ,"October 8, 2019",awesome,2,"Lethbridge, Canada",5
Going-to-the-Sun Road,"This is probably one of the most beautiful drives in the national park system. However, if you are uneasy about driving a narrow road at high altitudes, you may want to take one of the tours and let somebody else drive. White knuckles all the way, but well worth it.","October 8, 2019",Beautiful Drive,21,"Midlothian, Virginia",5
Going-to-the-Sun Road,"Yes, you have to make sure it’s open before you go, BUT.....even if some of it is closed, it’s so awesome!! Logan’s Pass was closed but we drove all the way up to there and trekked our way down. Same with up to avalanche. Still worth it!!!!","October 7, 2019",Beautiful!!!!,157,,5
Going-to-the-Sun Road,Drove up all the way from Utah only to find the road was closed for the duration of our stay!Make sure you find out the status of the road before you make the drive...,"October 7, 2019",Check it’s open before you go ,327,"Salt Lake City, Utah",3
Going-to-the-Sun Road,"An unforgettable experience made much more enjoyable when you take the option to park and ride.You can take one of the famous, long red taxis or a shuttle bus. When you do this, it doe five good things. It is good for the environment (which you must care about, or why would you be here?). It saves gas, it reduces traffic on the mountain, it makes parking available at the lots for others, and it frees you up to safely take pictures and actually totally view what you are passing.Do not take this road for granted, the entire road is only open for a few months of the year do to snowfall or construction.","October 7, 2019",Park and Ride,222,"New Bloomfield, Pennsylvania",5
Going-to-the-Sun Road,"It was a long road to get to this road (from Omaha, NE), but it was worth every mile! The view from each bend and turn was spectacular. ","October 2, 2019",Gorgeous,3,"Omaha, Nebraska",5
Going-to-the-Sun Road,"Parking lots get crowded, so get there early to park.It is a beautiful drive with a lot of stops. Jackson Glacier was one of my favorite overlooks.","October 1, 2019",Start driving early!,33,"New Orleans, Louisiana",5
Going-to-the-Sun Road,"If you visit Glacier National Park, it's hard NOT to take this drive. That being said, there are steep drop offs and in some places, no guardrails. If you are apprehensive about driving the road yourself, you have other options. You can take a ride in an iconic Red Jammer or hop on the free park shuttle. All of these offer you the opportunity to travel along this engineering feat. There are multiple pull offs and areas to stop, stretch your legs and take in a view. The road does climb quite a ways, so be prepared for changing weather conditions as you drive through Logan Pass. Additionally, the weather on one side of the park can be starkly different than the other side. So be prepared with layers and patience. For up to date road status information and road conditions, check out the park's website.","October 1, 2019",Beautiful Scenic Drive,140,"Gorham, New Hampshire, United States",5
Going-to-the-Sun Road,"What a beautiful road to see a large portion of the National Park! You pass through beautiful meadows, and up to Logan Pass, which is the highest point along the road. Driving through in the early morning and around dusk will yield the best times to spot wildlife. It will take about 1.5 hours to drive from one end to the other - the speed limit is 45mph, windy roads, and there are some incredible views along the way!","September 29, 2019","A ""Must"" if going to Glacier NP",19,"Minneapolis, Minnesota",5
Going-to-the-Sun Road,"The best way to see the beautiful mountains on the GTTSR is to take a Red Bus tour.. reserve in advance is a must. Several tours to choose from. Tour guides explain all there is to see.If in Glacier national Park, GTTSR is the thing to do. The West side drive to Logan Pass is more "" exciting'"" with the curves and width of the road...and more crowded. The East side drive is less challenging to Logan Pass.","September 29, 2019",GTTSR a must see,36,"Saint Louis, Missouri",5
Going-to-the-Sun Road,We have been to this park twice in the last 3 years. Love it but every time we get there the road is closed. Last time they still didn't have the snow removed in July and this year we were 1 day late and they had the road closed due to repairs. From the pictures we have seem from friends that went it is a 5 but maybe next time. Just make sure you check before you go to find out if the road is open.,"September 28, 2019",Blocked for roadwork,160,"Phoenix, Arizona",3
Going-to-the-Sun Road,"If you go to Glacier, this is a MUST do, if the road is open. I drove this road in August on a sunny day. it was quite the driving experience. I personally think Glacier is the best National Park I have ever experienced. I've done quite a few through the years.","September 27, 2019",Experience you will never forget.,0,,5
Going-to-the-Sun Road,We had stayed in Whitefish the previous evening and entered the park at 9am and planned a gentle drive around what is supposed to be a beautiful drive and we had a pre booked 2 pm boat trip on St Mary's lake on the other side of the drive. It was all beautiful with leisurely stops until we came to road closure sign at 11am and a ranger who informed us that Going to the Sun road was still closed due to snow! At no point had the ranger at the entrance told us this nor had there been any lit up signs telling us either. So our leisurely day turned into a nightmare as we had a 3 hour drive to get to St Mary's lake the other way. As we left the park we checked for signs- there were none. We made the boat trip after a mad dash with 5 mins to spare. We stayed in Many Glaciers that night. Realise it can't be helped when snow still blocks the route but being from UK we assumed if nothing was said at entrance then it was open ... never assume!,"September 26, 2019",Beautiful day turned into a nightmare drive,16,"Taunton, United Kingdom",3
Going-to-the-Sun Road, It's a WILD ride that's NOT for the faint of heart... some passageways are so tight between cras I thought we were going to knock each others side mirrors off. But every second was worth it to see these views.  I highly recommend you take this trip in September (like we did) when thr park is less crowded. We were able to pull off at every overlook and spent lots of time taking pictures. If you take this road be sure to go all the way to Many Glacier Hotel. It's worth the trip!   ,"September 26, 2019",The views are breathtaking!!!!,56,"Wichita, Kansas",5
Going-to-the-Sun Road,"Glacier National Park has been on my bucket list for years. My wife and I attended a Lions Forum in Spokane last week and had an extra day for sightseeing, so we chose to Glacier Park. We rented a Suburban in Spokane and drove 5 hours to the park.The drive through the Idaho panhandle and Montana was beautiful with big lakes, rivers, mountains and more. However the park itself was one of the most beautiful places I have ever been.Mountains, waterfalls, rivers and more. We didnt get to see the glaciers because Going to the Sun Road was closed in the middle of the park for maintenance. We knew this before leaving, but decided to go anyway. The trip was still worth it.","September 25, 2019",Beautiful park,32,"Hays, Kansas",5
Going-to-the-Sun Road,"This is one of the most beautiful areas of the United States we have ever seen. Words simply cannot describe how beautiful it is. Before arriving at Glacier, we read a lot of reviews talking about how busy the park is. In our opinion, compared to parks like Yellowstone or the Great Smokies, Glacier isn't at all busy to the same degree. In any event, it did not deter from our experience. We drove the entire length three times during our stay, and mountains seem to change every time depending on the weather. We made ample use of pull offs to take photos, to let hurried drivers pass, and to just sit and take it all in. Even weeks after returning home, we look back on this road as a life-changing experience. This road is the crown jewel of the park and the nation. Enjoy!","September 25, 2019",Words cannot express the beauty,82,,5
Going-to-the-Sun Road,"Glacier Park in the fog and rain is not worth the very steep price of admission (no day passes!), since the expansive views were obscured and the narrow, winding road carved out of the mountain is scary. (Tho' everyone drove slowly and carefully.) However, we did see occasional misty mountains and valleys, and the lakes were still pretty, so I feel good recommending it for a sunshiny trip. BUT a plus to going in clouds is few crowds. I understand they can be awful, especially since you can only stop at viewpoints. We had the Lake McDonald shoreline to ourselves. We did have one amazing experience: we saw a young Grizzly bear on a ledge overlooking visitors stopped in cars and a shuttle.","September 24, 2019",Must be pretty in the sun!,17,"Manchester, New Hampshire",5
Going-to-the-Sun Road,"Go very early, the road is not that bad compared to other passes I've driven. The hike to Hidden Lake on top at Logan Pass is great, but be early to avoid the crowds","September 23, 2019",Go Early Road,6,Grenada,5
Going-to-the-Sun Road,"Thirty of us were picked up at Many Glacier Lodge in East GNP and had the thrill of being driven on the entire road and then on to Lake MacDonald Lodge. August 23rd & we had the top back. The first part of the ride was quite cold and windy. Blankets on the seats were great. Loved the stops at the overlooks where we got out. At a one walked a path to a beautiful spot with swift river/falls. Other places we stopped and could stand up/pop up to admire views and take pictures. Our driver was a wealth of knowledge about the park, the touring cars, the construction of the road and days before that in the park! We also stopped at the Logan Pass Visitor Center. In my opinion, the very best way to see the park driving. You are free to look everywhere. I was very happy we just happened to sit behind the driver. Warmer. ","September 21, 2019",Tauck Tour ,32,"Columbia, Connecticut",5
Going-to-the-Sun Road,Beautiful drive. Busy with lots of cars even in September but sooo worth it. Many of the trail-heads start off of GTS road.,"September 21, 2019",Going-to-the-Sun-Road,0,,5
Going-to-the-Sun Road,"This road is one of the most spectacular drives we've ever taken, and we've done a few. There are lots of places where you can pull put and admire the view, and it would be crazy to drive the road without doing this several times. In high season the road can get very busy, so an early start pays dividends. There are spots where you'll feel exposed to big drops, especially when travelling west to east as you'll be on the outside edge for most of the way. Also, you need to be aware that the road does get very narrow in places, especially on some of the bends in the middle section, so take it slow. It would be very easy to scrape your car against another vehicle, the mountain side or the stone walls that guard the drops. There are width restrictions determining which vehicles are allowed on the road. Many of the best hikes in Glacier are accessed from points along the road, especially from Logan Pass and its visitor center.","September 19, 2019",Spectacular Drive,5,"Gaborone, Botswana",4
Going-to-the-Sun Road,Plan on doing this trip well in advance the time of year is crucial to having an amazing experience. I did it in September the week after school started I think I picked the best time. Loved everything about the park.,"September 19, 2019",Wow what a drive.,27,"Toronto, Canada",5
Going-to-the-Sun Road,"Going to the Sun Road has amazing scenery all around. We visited in early September and it was fairly crowded, but we always managed to find parking when needed. A couple times we had to wait for a spot, at Logan's Pass and near Avalanche Lake. There are lots of pull-outs and such wonderfully beautiful scenery. You just run out of adjectives to describe it all. The Lord's creation is stunning. We did several hikes along the road...Avalanche Lake, Hidden Lake, St Mary's and Virginia Falls. They were all so excellent. We were at the Goose Island Overlook at sunset and were amazed once again. We saw wildlife including deer, black bear, big horn sheep and mountain goats. I wish I were back there today taking it all in and enjoying the majestic views. ","September 19, 2019",Outstanding views,59,"Easley, South Carolina",5
Going-to-the-Sun Road,One of the best drives in the US. I recommend going from West to East. Be prepared to stop and maybe often. ,"September 19, 2019","Crowded, yes. But still Excellent!",11,Massachusetts,5
Going-to-the-Sun Road,"My wife & I love visiting our national parks. GNP is pretty close to the top of our list for favorites. Most beautiful scenery we have ever seen. The Going To The Sun Road is phenomenal, views were breath taking. I would recommend visiting GNP to anyone who enjoys the outdoors and beautiful scenery. Wildlife, snow peaked mountains & trails galore.","September 19, 2019",Visiting Glacier National Park,0,"Madison, Mississippi",5
Going-to-the-Sun Road,Words cannot adequately express the engineering marvel of this road nor the vistas you will encounter along it. Pictures cannot do justice to what nature has to show you. Time your vacation carefully so that you don’t have to deal with construction.,"September 18, 2019",One of the most scenic drives in America!,25,"Folsom, Louisiana",5
Going-to-the-Sun Road,"Traveled Going to the Sun road in September, it was everything that it was supposed to be. Incredible views throughout much of the road, and a very pleasant trip from one into the other. Saw some mountain goats which was fantastic. Would highly recommend this as a part of any trip inthe area.","September 17, 2019",Incredible,5,"Lincoln, California",5
Going-to-the-Sun Road,"The Going to the Sun Road basically cuts right across the park from the west entrance at West Glacier all the way out to St Mary. I would suggest that you start at the west entrance as it is the prettier of the two entrances and provides a wonderful transition from terrain to terrain and an ever climbing elevation change. It is one of the most scenic roads in the United States, hands down, and provides the traveler with spectacular, breath taking (if not scary) views of mountains, valleys, glaciers and crystal clear lakes. You cross the continental divide close to Logan Pass which is almost 7000 feet in elevation. I did not feel stressed out at all along the long and winding road, even though there were places where the road has no painted center line and the road literally clings to the side of the mountain with sheer drops to one side. It is not for the faint of heart or for people with height issues. If this is a concern you can arrange for one of the shuttle tours. Best to arrange these in advance. It is best to start your visit at one of the visitors centers where there are maps, very informative rangers and good rest rooms. Best to have a full tank of gas before setting out and some food and water. You will encounter wild life. We were very close to elk. There are restrooms along the way, but avail yourself of these when you see them as you will be stopping often for photographs and just to soak in the scenery. You may want to take a light coat along in the summer and wear very sensible hiking boots/shoes. In the summer, Logan Pass parking lot fills very quickly, so if you want to park there and hike, get there very early during the summer months and holidays. There are far too many points of interest to discuss here, so get a map and follow along with it. We went to Denali last year and found this, and Yosemite to be spectacular but this Park provides an incredible variety of scenery, vistas, glaciers, waterfalls, lakes, aqua color rivers, etc. concentrated along a 50 mile road that spans the park. It is something you have to see and experience to believe.","September 17, 2019",This is incredibly beautiful,453,"Bristol, Connecticut",5
Going-to-the-Sun Road,"Schedule a RED BUS TOUR several days/ weeks in advance since attempting to navigate this narrow, winding road with extreme rock out-croppings and vertical drops , not to mention finding a parking space at every pull-out is a challenge.","September 17, 2019",Awe-inspiring,0,,5
Going-to-the-Sun Road,"In spite of the wet, soggy day, the trip on the ""Going to the Sun"" Road from Lake MacDonald to Many Glaciers was absolutely beautiful, full of interesting information from the driver, Geno, and having a great bunch of travellers on board with us. Learned a lot about the area, and the history of the road, as well as srring the most beautiful sites. Really a must see. Had considered driving it ourselves, but would have missed all the information, comraderie, and the ability to see everything from all sides, especially after the roof on the bus was opened. Got a little wet, but you can't have everything!","September 16, 2019",Great Adventure with Fun People,2,,5
Going-to-the-Sun Road,We drove the entire Going to the Sun Road and so enjoyed every moment. It was a rainy day but that just added to the mystery of the mountains and the falls. Spend a day or 2.,"September 15, 2019",Beautiful Glacier Park,0,,5
Going-to-the-Sun Road,"We were there on 9/8/19 (Saturday after Labor Day) leaving St Mary Visitor Center at 9:30 AM and ending at Apgar Visitor Center. We encountered six stops that were totally full, so we were unable to stop at Logan Pass at 10:50 AM. There was a group of about 10 bicyclists that we kept getting behind and passing. They did split up into groups of 2-3. I appreciate that it's an awesome road for a bicyclist, but the road is barely wide enough for vehicles, not to mention bicyclists trying to go up a very steep grade. We were able to stop and do a short walk along St Mary Lake. Overall I was under impressed. I think the Trail Ridge Rd in Rocky Nat'l Park is just as awesome and with a whole lot less vehicle traffic. I cannot imagine what Going-to-the-Sun Road is like in the summer.....That being said, the scenery was awesome but it certainly isn't the only place in America with switch backs, drop offs, and gorgeous views of mountains and valleys.","September 15, 2019",Skip the crowds and do Trail Ridge Rd in Rocky Nat'l Park,66,"Clive, Iowa",3
Going-to-the-Sun Road,It is almost impossible not to do the Going to the Sun Road at least once during your stay at the National Park. It is so worth it. You will see all the major attractions that are visible via the road and if you do the red bus tour you will also get to experience the knowledge and learn some interesting facts. We ended up doing the road twice to be able to get to all the stops we wanted at different times of day for a great spectrum of views of the park. I would highly recommend giving yourself a full day to do this road. It will be a slow roll going both ways especially because of the amount of people.,"September 15, 2019",The must do thing at Glacier,121,"Nashua, New Hampshire",5
