national_park,review_body,review_date,review_title,helpful_vote,user_location,user_rating
Great Basin National Park,"We stopped there for some scenery and hiking. Planned on 2 nights but the weather closed in and we were afraid of being trapped by snow. We went first to the lower campground-about 3 miles off the road. The sign said there was vacancy so we braved the mildly steep gravel road to find a spot for our trailer. When we got there, there was only 1 space left. It was on a 1 way road and the spot was backward to the direction of traffic, so there was no way to back in. We headed back down the road to another CG- then another. both were full. We decided to head up to the last CG on a moderately steep winding road. We got to the top at 9800 ft and found it to be quite beautiful with the Aspen trees changing color and the High-Wheeler Peak in view. (13,000 ft) We have a 19 ft trailer and it was slow going through the switchback but the road was paved. It was a chilly night ( In the 20's) and the clouds rolled in expecting snow the next day. We decided to hike in the AM and leave before the snow hit. Glad we did. It was a windy cloudy day. we hiked up to about 11,000 ft to the bristle cone forest-quite nice-about 2 miles up. Then on the way down took a couple of side trails to 2 lakes. It was the end of the season and cloudy so not too beautiful. On the way down the hill-a little scary, we stopped at the Lehman Caves visitor center-the tours were sold out so we did not see the caves. We wished we could have stayed longer and hiked to the top of Wheeler peak but the weather was not conducive. Next time!","October 7, 2019",Out of the way but worth it,179,"Truckee, California",5
Great Basin National Park,"We've wanted to go to Great Basin National Park for a long time, and finally made it this fall. The aspens, at peak, had just begun to shed their glorious golden leaves at the highest elevations. Patchy snow, in a few places, made the walk to the ancient bristlecone pine trees more brisk and beautiful, while lacy ice on the edges of creeks sparkled in the sunshine. The alpine lakes reflected the sky, mountains, and trees.Glorious!Lehman Cave was amazing, and Crystal Ball Cave, less than an hour away, was a fun adventure too!Glad we finally did it!!!Three nights gave us two full days in the park, which was about enough for us.I'd like to return.","October 7, 2019",Remote Gem!,98,"Logan, Utah",5
Great Basin National Park,"I've now visited Great Basin National Park twice. It's in an inconvenient location, which has helped it to avoid the many huge crowds that have made other, better known parks harder to enjoy today. Great Basin, as of 2017, had 168,028 visitors throughout the year. Yosemite, that same year, had 4,479,242 visitors and Yellowstone had 4,116,524. Great Basin NP is an hour's drive from the nearest town of any real size, Ely NV, which has several good-sized motels and hotels. It's about a 3.75 hour drive from Salt Lake City with a full-service airport, or 4.5 hours from Las Vegas. OTOH, if you plan ahead and are willing to stay in older, smaller properties, you can drive to Baker NV and be just minutes from the park's visitor center in Baker itself. Even the Lehman Caves Visitor Center is just 5 miles away from Baker.So, why travel so far? Lehman Caves were worth the fee (currently $11 for adults, less for senior and kids). They have a safe cement trail with handrails and stairs, making it possible for this senior citizen to walk through the caves. The guides are knowledgeable and excited to share the wonders with us neophytes. The roads are well maintained and lead to numerous trailheads. The views are fantastic, and because of altitude changes there are multiple environments to explore with an incredible variety of animals and foliage, including bristlecone pines.Because we stayed in a motel in Baker, I can't tell you much about the campgrounds, but you can easily find out about them through the park's website.Finally, what brought me to Great Basin NP? The incredible night skies! The park is an International Dark Sky Park. That means, when the clouds cooperate, you can easily see the stars and planets, and deep sky objects (galaxies and nebulas). During the warmer months the park sponsors star parties and an astronomy festival each September during the week of the new moon. Dozens of volunteers bring their telescopes for the public to use during the festival.","October 6, 2019",A Nearly Hidden Gem,11,"Provo, Utah",5
Great Basin National Park,"we visited in September. Not many other's there then. was able to book in person a cave tour. saw pectrographs, drove up and hiked to the bristlecone pines grove. rangers helpful at both visitior centors.","October 6, 2019",GBNP,25,Indiana,5
Great Basin National Park,"Lots of hiking trails and cave tours. There is a 60 minute and 90 minute tour of the caves. Sometimes special cave tours,too. ","October 4, 2019",Trails and caves,209,"Williamsburg, Virginia",5
Great Basin National Park,"A couple of disclaimers: I did not do a cave tour. I frequently travel in the eastern Sierra so it is had not to compare GBNP to the Sierra.I camped 2 nights at Baker Creek to attend the Astronomy Festival. Hiked to Stella Lake from the Bristlecone parking lot. (I have seen Bristlecones before so the lake hike sounded better for me.) The festival had a good variety of events. Attended an interesting daytime talk. Lucked out with weather and had good conditions for the night time viewing. Good set up and lots of volunteers with telescopes. The sky was a bit hazy and I thought I would be more impressed with the dark sky and viewing with naked eye. It was very good just not as ""wow"" compared to other opportunities I have had. The viewpoints for Wheeler Peak weren't that great. There is a short window for the sunlight on the mountain from the road. The park is ok but most of the Sierra is more impressive so once is enough for me. I'm not saying don't go, just that I enjoy the Sierra and many other places I have been more. Just my opinion & comparison - your results may vary!","October 2, 2019",Worth a Stop If You're In the Area,36,"Reno, Nevada",3
Great Basin National Park,Beautiful and remote.The night skies are breathtaking. Wheeler and Baker Creek hiking is diverse and well maintained.,"September 10, 2019",Hidden gem,25,TN,5
Great Basin National Park,"This is the most beautiful and the least visited park in the national park system, which is why we love this park so much. You can find hikes in the mountains where you may never see another person, which is what most people really want. Most national parks are so overcrowded that the only enjoyment is leaving! We love it here so please stay away.","September 6, 2019",AWESOME,62,"Port Clinton, Ohio",5
Great Basin National Park,"I wasn't sure what to think of GBNP prior to our visit, but I was pleasantly surprised everywhere we went! We traveled over Labor Day weekend with a 16-year-old, a 13-year-old, and a 7-year-old. One of the first things we noticed was that it wasn't crowded at all, which was very refreshing. We booked our tour of Lehman Caves in advance, so we didn't have to worry about whether or not the cave tours were full, but when we arrived on Saturday morning for our slot, there were still several tours during the day that had spots available. Lehman Caves are awesome and definitely something you don't want to miss while in GBNP! We did the full 90 minute tour and you are walking and exploring the entire time. I did notice that there were several people on our tour who appeared to be struggling with all of the walking, but my family of five did just fine. Some of the cave formations were unlike any other cave that we have seen, and we all loved what we saw. During the afternoon that we were there, we decided to hike the 4 mile (round trip) hike to the ancient Bristlecone pines near Wheeler Peak. Again, this was 100% worth the trip. The hike was very manageable and completely worth it. Some of the oldest pines are labeled, and there is a lot of information about various trees at the top. The trail is groomed very well. I would definitely recommend visiting GBNP. We already have plans to go back for another quick trip and summit Wheeler Peak. ","September 3, 2019",Great Basin National Park: Lehman Caves and Bristlecone Pine Trail,7,"Saratoga Springs, Utah",4
Great Basin National Park,"This is a low-key and less-visited park than many others in the west. It was fantastic. I drove up the Scenic Road to the parking lot at the end and hiked up to the Bristlecone Pine grove. Wonderous and amazing and beautiful. Since it was Saturday night, I came back and enjoyed the astronomy program just looking up at the Milky Way and a million stars while waiting for my turn to view a few different objects through a telescope. This park may be in ""the middle of nowhere"" but I highly recommend it.","September 3, 2019",Blue Skies and Bristlecones,0,"Salt Lake City, Utah",5
