national_park,review_body,review_date,review_title,helpful_vote,user_location,user_rating
Great Sand Dunes National Park,"From a distance, one can see what nature can provide. During our road trip of Southern Colorado we went from Colorado Springs to Canyon City onto Great Sand Dunes. It was a long drive as we ended up in Pagosa Springs. Another review. This park reveals a large sand dune with a trickle of the spring waters at the basin. It was a sight to behold. Great picnic area (beware of the mosquito). Great trails and worthwhile visitor's center.","October 18, 2019",Well worth the drive,1,,5
Great Sand Dunes National Park,"An amazing sight to see massive San Dunes in the middle of the mountains, you need to wear sensible shoes to help with the walk to the dunes and take your water to stay hydrated, its just breathtaking to see what mother nature can create, a great place for sand sleds and just walking or sitting and taking in the views from the top of the dunes.I would recommend this for a day trip if you are in the area.","October 9, 2019",Nature at its best,2,"Melbourne, Australia",5
Great Sand Dunes National Park,"Dunes National Park just 20 mi West and 20 mi North of Alamosa, Colorado is wild open country must see terrain for the world or USA traveler. Below the 14,000 ft Mt. Blanca And Mt. Crestone this is a sight to behold. Vast vistas take your - or my- breath away.","October 8, 2019",Big high huge sand dunes,2,United States,4
Great Sand Dunes National Park,"We stopped at the Great Sand Dunes National Park driving from Mesa Verde to Denver. All we had time for was taking the walk up from the parking lot to the dunes, but that was plenty. Great views of the dunes. And pretty cool climbing up some of the way to get a different look. Really something unique.","October 6, 2019",Amazing Site,181,NJ,4
Great Sand Dunes National Park,"You can see the dunes from very far away and they look so odd, you can't believe that they are real. They're completely out of place compared to the surrounding landscape. And they look kind of small from far away. Just wait until you get up close! They're HUGE! Truly an amazing sight, and fascinating to learn about why they are there, how the confluence of just the right conditions makes these sand dunes so enormous practically in the middle of nowhere. This must have been a truly bizarre sight to travelers in the past. It's like coming upon a glacier in the middle of the Amazon rain forest. If you like hiking and have the time, then this is a good place for climbing up the dunes. They take longer than you think to explore them. Don't bother bringing your own sled from home or a piece of cardboard - the don't work for sliding down the dunes. You must use special kinds of sleds that work on this type of sand, and they don't rent them at the Dunes park, you have to rent/purchase them outside of the park. If you don't like hiking, it's still an interesting thing to walk out to the nearest dune and watch the other folks sledding and climbing, bring binoculars so you can see the folks who are trying to get to the top of the dunes very far away. We were there for about an hour and that was long enough to see everything and do what we wanted to do, so it's a nice side trip, but don't make this your end-all, be-all destination. I would think this place would be better suited to be a national monument instead of a national park. Kind of like Devil's Tower, unless you're a climber, you pretty much just stand around and look at it for awhile. Still, we found the Rangers there very helpful and knowledgeable about the area, it was fun watching the dogs and kids play in the sand, fun to watch the folks who didn't have the right sleds try to get down a dune and fail, and we had great weather. It's beautiful in the sunshine, and it wasn't too hot or cold, but WINDY!","October 5, 2019","Should Be A National Monument Instead of National Park, But Still Wonderful!",105,Wisconsin,4
Great Sand Dunes National Park,"This is such an interesting place! Knowledgeable staff, short movie in the visitor center. We crossed over to the dunes, took photos but didn't attempt the climb. ","September 29, 2019","Wow, this is amazing!",30,"Quincy, Illinois",5
Great Sand Dunes National Park,The light colored sand dunes against the dark mountains make for a spectacular scene. There is an excellent visitor center as well. Definitely worth a visit.,"September 29, 2019",Amazing!,13,"Otis, Oregon",5
Great Sand Dunes National Park,"Camped here, pretty spot, developed with bathrooms, etc. got up before sunrise, hiked to dune top, exhausting but worth the effort. Don’t hike in the afternoon, too hot. Small, simple visitor center. Lots of services in nearby Alamosa. I took a side trip to Zapata Falls, very pretty but a very rough, long road up.Not a must see national park, but worth a visit.","September 19, 2019",Worth a trip,158,Idaho,4
Great Sand Dunes National Park,"Having been to most of the National Parks and having enjoyed them all to some degree, I would rate as average. Great for a short visit, a day or so, but not an extended stay.","September 16, 2019",Not in my top 10 or 20,321,"Arlington, Texas",3
Great Sand Dunes National Park,This was one of the most beautiful places I have been too. We were lucky enough to bag a camp site within the sand dunes park so had great views from the van. We were close to the various trails & opted to take a walk out towards the sand dunes at dusk. I took my Native American Indian flute which I am learning to play & we sat on a sand dune as the sunset. Walking back across the sand in the dark we could hear the call of the wild coyote in the hills & later saw many stars in the night sky.,"September 10, 2019",The lilt of a native flute & the song of a wild coyote ,23,United Kingdom,5
