national_park,review_body,review_date,review_title,helpful_vote,user_location,user_rating
Great Smoky Mountains National Park,"Honesty can't understand why people rate it low and say it was too crowded. If a place is popular, it is going to be crowded. If you don't like crowds stay home. My visit list October of this year, but I live here. There is so much to see. If you want less crowded trails, go to Cosby campground. lots of good trails there. Or Greenbriar picnic area, has good trails","October 18, 2019",One of the best National Parks in the US.,18,"Cosby, Tennessee",5
Great Smoky Mountains National Park,"We had so looked forward to driving the Cades Cove loop. Never had we seen it so crowded. We expected delay's but nothing like we ran into this trip.Normally we would expect the 11 miles to take about 2 hours. It was a 3+ hour trip & many things we didn't get to see. Like the old Mill. We circled several times & people parked in the bus/RV parking or on the grass. We finally gave up & left the mill.There were also people who ignored the signs of pulling off to look & would stop in the middle of the road for several minutes at a time.At one point, it took 45 minutes to go 3 miles b/c of one family.As much as I love this area, I'd have to rethink going back & the time of year to travel.","October 18, 2019","If you want to see things, don't travel in October!",69,"Muldrow, Oklahoma",2
Great Smoky Mountains National Park,You're certain to see a black bear when traveling to this national park. We saw 3 on this trip. Cade's Cove is almost a sure thing. There is also a short motor trail you can take. Both are beautiful drives. Get out and see the exhibits - it's safe!,"October 18, 2019",Favorite national park in the eastern US,1,,5
Great Smoky Mountains National Park,"We did not realize how popular this area was. I had never been this time of year. We hiked 6 miles, and experienced the glorious tranquility of the forest. I guess there's enough for everyone! We only ran into a few people.","October 17, 2019",Busy busy time of year,6,"Carrollton, Texas",4
Great Smoky Mountains National Park,While visiting Gatlinburg we went on several day hikes an easy one from Gatlinburg to the Visitors Center and another not so easy up to Laurel Falls. You can pick up maps at the visitor center or at The Nantahala Outdoor Center.,"October 16, 2019",Wonderful Day hikes,1,,5
Great Smoky Mountains National Park,Park staff could have alerted visitors when there was no where to park at Clingman’s Dome. Instead an hour was wasted heading up the long road only to discover an absolute parking nightmare. Otherwise the visit was fairly pleasant as the leaves were turning color. We also walked the Sugarlands Valley Nature Trail and that was fun and easy to do.,"October 16, 2019",Could Have Been Better,14,"Belvidere, Illinois",3
Great Smoky Mountains National Park,"We were there just as the color was beginning. It was still lovely. We came by a number of scenic outlooks that were really worth using. Great views. At the dome there were so many tourists there was a LONG line waiting for a chance to park. The trail up to the dome was full too. I guess it's tremendous that so many like to go to their national parks. If you have a choice, take an all wheel drive car with an engine with some pep. The drive can be challenging for a small 4 cylinder (such as we had).","October 15, 2019",Spectacular views. Very busy. Be prepared to wait for a parking spot at key tourist spots. The DOME was fantastic.,35,"Grand Rapids, Michigan",5
Great Smoky Mountains National Park,There is so much to do in Pigeon Forge and Gatlinburg. The Smoky mountains are breathtaking! Great time!,"October 15, 2019",Beautiful!,2,"Madison, South Dakota",5
Great Smoky Mountains National Park,"One of the best national parks, make sure to visit the Sugarlands Visitors Center when you go. Also, stop at one of the ""quiet walkways"" for a few minutes in the forest. ","October 14, 2019",The Best National Park,0,,5
Great Smoky Mountains National Park,We drove the Cade's Cove loop and saw beautiful trees and streams. Construction on the 2 lane road slowed up everybody several times. We saw horses and some wild turkeys but no bears. We saw a bear on a side street in Gatlinburg.,"October 14, 2019",Beautiful forest,13,"Ennis, Texas",4
