national_park,review_body,review_date,review_title,helpful_vote,user_location,user_rating
Guadalupe Peak,Started up at 4:50AM and was on the summit at 6:20AM actually had to wait a while to see the sunrise. I live at less then 100 feet elevation in Houston so this was a very easy day trip hike compared to higher elevation trips I usually take. This was my first visit and I had no issues with finding the trail via headlamp up to the peak its all class 1 hiking. There are not really any steep dropoffs or exposure along the trail I would say its safe for any age. Footwear was very low/lightweight barefoot style trail running shoes and had no issues presented by the rocks (full disclosure I run with no shoes on so have very flexible feet/ankles). The view from the summit is excellent and the summit is a large area with an steep dropoff on the West side. Going down there were a LOT of people hiking up so I would definitely recommend starting early to avoid crowds. I took the horse trail over to Devils Hall and then back to the parking area on the Devils Hall trail from there total distance 11.3 miles and about 4.5 hours with stops to take 300+ pictures and half an hour on the summit.,"September 30, 2019",Easy hike to state highpoint,91,"Katy, Texas",5
Guadalupe Peak,"Wanted to do this hike for several years. Finally took the plunge. First section is definitely the hardest. Once you turn the corner to the middle section, the trail eases up. Don’t let the last mile fool you though as it is just as difficult as the first section. Once you reach the peak, it’s well worth the track. Bring plenty of water!! Will do it again soon.","August 10, 2019","Tougher than we thought, but well worth it!",1,,5
Guadalupe Peak,"The Guadalupe Peak Trail was very easy to follow. Well marked, and yes tons of rocks where you can twist and ankle. When you get close to the peak its just rock no soft soil. I started at 5am when it was super dark but worth it, seeing the stars at that time was amazing! Took me 7 hrs to do the entire thing, had many breaks due to kids lol and water breaks and ""OMG Im getting a cramp break"" lol. I will say this... NOT FOR THE UNFIT. It really is a tough hike. It will mess up your knees. I took hiking poles and it made a world of a difference. I also made sure my kiddos had trekking poles, the hike does damage to your knees. Take plenty of water. I finished 3.5Liters of water in the hike. and ran out 3/4 of the way down. Honestly i dont see how people start late in the morning, it was roughly 110 degrees when i was going down around 2pm and people were barely going up. I highly recommend doing this hike early early early. Heavy winds in the morning but died down in the afternoon. Be safe, be prepared and be cautious!","July 9, 2019",Tough Hike but well worth the hike to the summit!,16,,5
Guadalupe Peak,"We did this because it was a friend's turn to decide our trip, and most of us liked the idea. We are not avid mountain hikers but in good shape. The hike was well laid out but was a challenge. Doing this in late-May, be ready to go through a lot of water! We were blessed with wonderful weather and little crowds. The views are great. The trip down poses the issue that you will probably be tired. Watch your step because if the stride is too long you are likely to slide in areas you might think are safe. That, and the rattlesnake, were the only real problems...","June 2, 2019",Worth Checking Off Your List,15,"Austin, Texas",5
Guadalupe Peak,"The weather was great - hot in the sun, just right in the shade, and cool at night. The temperature was in the low 80s and the humidity was about 10% during the Memorial Day weekend. In addition to Guadeloupe Peak, I hiked to the Grotto, Pratt’s cabin and Devil’s hall. A great time.","May 29, 2019",Good hiking,0,,5
Guadalupe Peak,"Coming from the south, you can see El Capitan for miles, Once you come to the sharp curves going up US-62, slow down you are almost there.We arrived just in time for the visitors center Ranger’s Patio Talk. This day they had a Red-tailed Hawk that had been rescued. It was amazing to see this large bird up close.Inside the visitor center the ranger suggested we take the trail down the to the Pinery Butterfield Station ruins. This is a nice paved trail that led to the Butterfield Stagecoach stop. It was a beautiful day to be out and enjoy the spring flowers.While our time was short at Guadalupe Mountains NP, we enjoyed ourselves and would return to explore more.","May 26, 2019",A Springtime Stop at Guadalupe Mountains NP,370,"Catlin, Illinois",5
Guadalupe Peak,"As others mentioned, be aware of high winds. Some were quite strong and able to knock you down. The first half is a slog and very taxing. It took us about 3 hrs up and 2 down. Great views and well worth the effort. ","May 21, 2019",Peak is a great hike ,79,"Houston, Texas",5
Guadalupe Peak,"Guadalupe Peak(GUMO) is the high point of TX. Not too long, however good elevation climb.Views are awesome yet you have to do your weather homework in advance. We were going to go earlier in the year however locals caution that it’s highly variable especially the winds. Winds were at 100 mph the week before we went. Once you are in April though you can see the advance forecasts...earlier in the year things change VERY quickly and are not forecast.It’s about 35 miles west of Carlsbad Cavern and if you stay at Whites City ( not the city of Carlsbad) you can use that as your base. It’s 110 miles east of El Paso. Topography is amazing as west Texas is flat and rolling except for the peak so, again, great viewsStart early, sunrise, to beat heat, avoid peak winds, and minimize rattlesnake encounters. Keep your eyes peeled both for phenomenal views and animals.","May 12, 2019",Great hike and locale with Carlsbad Cavern nearby,4,"Campbell, California",5
Guadalupe Peak,"I hiked the Guadalupe Peak trial at the end of March 2019, and it was pretty windy and cold, especially nearing the peak. This is a very popular trail and many people were hiking on the last Saturday in March. The trail is well signed, though mile markers are few. I found only one spot where one could possibly go off trail, but one would know soon if they went off. Trail condition is nice though one has to be sure-footed due to the rocks. One beautiful spot on the trail is the view of the wooden bridge bridging a crevice (after the camp site). Many hikers stop here for pictures. Also, the view of El Capitan from near the Guadalupe Peak is superb, but there are no trails to El Capitan. This a great day long hike.","April 23, 2019","Great Hike, but be ready for cold winds in March",157,"Kansas City, Missouri",5
Guadalupe Peak,"My wife and I have climbed some tall mountains so when we went to Carlsbad, NM, we wanted to climb Guadalupe Peak, the tallest mountain Texas. I don't think of mountains when I think of Texas but this was a good challenge, and it is taller than any mountain east of the Mississippi. The scenery was beautiful from the bottom to the magnificent view at the top. This is a steady climb that requires a higher level of fitness so don't think it's a walk in the park. Carry at least three liters of water and some sandwiches and snacks. It took us three hours to reach the summit and two hours to go back down. I thoroughly enjoyed this hike as well as the surrounding landscape. One of my best trips.","April 19, 2019",Be Prepared.,158,"Dover, Delaware",5
