national_park,review_body,review_date,review_title,helpful_vote,user_location,user_rating
Hot Springs National Park,Great to experience it once. Probably would not do it again. I think everyone should experience it at least once. ,"October 14, 2019",Mountain Tower,0,,3
Hot Springs National Park,"We did the driving loop and Visitor Center. A few nice vistas and interesting Visitor Center. We were not able to hike any trails. Will not do again, even if we are in the area. ","October 13, 2019",OK,55,,3
Hot Springs National Park,"This park is unlike any national park we ever encountered before. It does have some beauty and charm but it's main attraction is showing us a piece of american history not often known. Actually I went to Hot Springs to visit Lake Hamilton and the national park was a perk. But I had expectations of finding numerous Onsens (ala Japan) in the park and city! Much to my surprise , when I got to the park it was quite something different. Also quite more informational. Hot Springs, especially the area now the national park, was 150 years ago and until near mid 1900s a combination Las Vegas and Mayo Clinic. Yes there were numerous bath houses and some of the last and most grand still stand but they were pure therapeutic/medicinal places. People went there with a doctors prescription. They were under a doctor and therapist care through a rigorous 2-6 month regime of treatments including baths in the hot springs water in a private tub. There were certain upscale niceties within the ""bath houses"" like gyms, music rooms, etc. but there were no hotel rooms. That's where the big hotels come in, also still there. All kinds of people came to Hot Springs from gangsters to celebrities and just regular people with lots of money. Accordingly all sorts of amusements for the not bath house time sprung up too..There are some enjoyable walking trails and a nice drive to take also.","October 9, 2019",Interesting and not well known part of American history,109,"Iowa City, Iowa",4
Hot Springs National Park,"Didn't know what to expect but found this place very charming, informative with past history and experienced a very relaxing atmosphere with the people there very friendly and helpful.","October 8, 2019",Hot Springs Bathhouse Row,0,,5
Hot Springs National Park,We didn't walk as far through the park as we girls would have liked to. Our men were too tired so we just took a short stroll. It's a beautiful place with lots of history.,"October 7, 2019",A beautiful park with nice walkways.,38,"Shingletown, California",4
Hot Springs National Park,Interesting history of Hot Springs. You can tour one of the baths and see how it use to operate way back when. Lots of rooms to view set up how it would have looked in the early 1900's.,"October 7, 2019",Historic!,22,"Rayne, Louisiana",3
Hot Springs National Park,"Hot Springs has a great history for their bath houses.....many of which were patronized for therapeutic purposes.....in many cases people had prescriptions from their doctors for various 'treatments'. People traveled to Hot Springs from all over the country !Today, one of those bath houses has been beautifully restored and serves as the National Park Visitor's Center.As in most National Parks, the personnel were quite pleasant, helpful and informative.When visiting there one MUST take the guided tour of the premises.....very well done.","October 7, 2019",A piece of history,336,"Indianapolis, Indiana",5
Hot Springs National Park,"This was much more interesting than we thought it would be. The buildings are well preserved and beautiful. We took a guided tour that lasted about 30 minutes, very interesting. The displays are well done and really tell a story that I think few know. Make sure you walk up behind some of the buildings where the springs are still coming through, that water is HOT! Well worth the visit. Plus it's FREE. I highly recommend it.","October 6, 2019",History Preserved,5,Minnesota,5
Hot Springs National Park,"Great weekend in Hot Springs, Arkansas. We walked, we caught some Pokemon. We window shopped. Had a great massage, nice dinner and fun at the casino. It's a great little community. Yes, there are all the typical tourist attractions and activities, but we learned a few new things, and had an amazing weekend.","October 5, 2019",Hubby's Birthday getaway,0,"Little Rock, Arkansas",5
Hot Springs National Park,The main street is a nice feeling of the good old days when luxury was appreciated and enjoyed. The movie and tour of the Visitor Center is worth the time. The only problem was the walking. There are no scooters to rent but their is wheelchair access. There are plenty of restaurants from which to choose. The mountain drive to the observation tower and lookoff are also peaceful and if it is not too crowded a pleasant experience. Bring an empty jug so that you can get some water from the fountain provided in town. I was very surprised at how hot the water was coming out of the spigot and also how clear. I expected some mineral deposits in the water but it was clear and tasted wonderful.,"October 1, 2019",The Good Old Days,34,Texas,4
Hot Springs National Park,"Not your typical national park but well worth the stop. Nice walks along the Grand Promenade where you can picture a different era. Nice little town, similar to Glenwood Springs in CO.","September 30, 2019",A different national park,2,"Powhatan, Virginia",4
Hot Springs National Park,My husband and I love visiting national parks but this one left us feeling o hum. Not sure why this is a national park. It is a series of bathhouses in the middle of town. The bath houses were interesting but once you did that and walked along the Grand Promemade all that is left is shopping the stores across the street. This should be designated a National Historic Site.,"September 21, 2019",Unique “national park”,41,"Aurora, Ohio",2
Hot Springs National Park,"We had not been to Hot Springs before,, we were not aware it was in a National Park. It was well kept. All the workers at the park run facilities were very helpful and informative. ","September 20, 2019",Pleasant surprise,11,"Claremore, Oklahoma",5
Hot Springs National Park,"My wife and I just spent three days at the national park and surrounding area and had a wonderful time. The area has so much history and the park's history is fascinating. We stayed at the Arlington Hotel, directly across the street from the park which made it so easy to access the trails. The park has 28 miles of trails, all well marked. There is a tower where one can access and see for miles around. Truly outstanding views in any direction, There is no admission charge to this national park, the smallest of all of our national parks. But there is a nominal charge to travel up to the top of the observation tower.We liked the trails and hiked several of them, the best being the Hot Springs Mountain trail which has nice overlooks.The visitor center is located in the former Fordyce Bath House on Central Ave. The National Park Service has done a great job here and the building is loaded with interesting exhibits from the heyday of the bath era - the 1910's through 1950's. All of the baths, lockers, parlors, etc. of the Fordyce Baths are lovingly restored and it is a fascinating tour of a bygone era. The rangers there are also quite knowledgeable and helpful. Two of the bath houses are still in use and we went to both of them and LOVED them. Great services, massages, baths, steam cabinets, all spotlessly clean despite what some snarky reviewers claim (who probably did not go in them). We enjoyed ourselves so much here. we plan to return time and time again.","September 15, 2019",Great History and Accessibility,631,"Naples, Florida",5
Hot Springs National Park,Building was in good shape and provided a glimpse of the hot spring experience in the early 20th century. Was a nice weekend trip.,"September 15, 2019",Urban National Park,16,"Saint Louis, Missouri",3
Hot Springs National Park,"I love that we can fill our water containters and water is free and unlimited...(It does not say that is any brocure that I read and I would have saved my water jugs before recycleing them in Murfreesboro, since I didn't find a diamond at ""Crater of Diamonds state park.) WARNING: the water can be HOT depending where you fill it but delicious anyway! There is a brewery that makes their beer with the hot springs water and it is just AMAZING!!! Food has been delicious as well. The entire experience has been great! THIS was the Vegas before Vegas was.","September 11, 2019",Much more than expected. There is history here!,2,,5
Hot Springs National Park,The kids really enjoyed the history of the path we walked. They filled up their water bottles from the fountain that had water from the hot springs. Very relaxing stroll even though it was hot out. ,"September 7, 2019",Great little hike,98,"Dickinson, North Dakota",5
Hot Springs National Park,"My husband, another couple and myself visited Hot Springs on a day trip from Petit Jean National Park. The visitor center and old bath house was a neat thing to see. Not sure young ones would enjoy it very much, but anyone that likes history would enjoy a visit here.","September 3, 2019",Nice place to visit,37,"Hartsville, Tennessee",4
Hot Springs National Park,"If you are truly into the National parks, you'll hate this one. It is the only national park that is in a city. It is tourist hell. I wouldn't get in one of the bath houses for any money in the world. It's disgusting. I went many years ago and it wasn't this bad. There is some beautiful natural scenery but it's ruined by the experience of being in a city.","September 2, 2019",All Other National Parks are better,108,"Houston, Texas",1
Hot Springs National Park,"The National Forest does include the town & bathhouses. There are two mountain drives. One to the tower & the other up the north mountain. The roads are fun, fun, fun to drive or ride. Beautiful scenery. There are quartz mines not far out of town where you can dig for quartz. Lots of flea markets out of town with great prices. We always enjoy every day we are there.","September 1, 2019",My happy place,3,"Ragley, Louisiana",5
Hot Springs National Park,"It's a great place to go to hang out with friends or practically anyone who will join you or you could go alone if you want. It's a great place to go ,so you should go here i highly recommend it.","August 30, 2019",Wolf Wolf,1,"Hot Springs, Arkansas",5
Hot Springs National Park,"The park is absolutely gorgeous. Arkansas lives up to its motto. The park (which is sprawled in bits across the town) offers gorgeous views and hikes. On the bathhouse row of the park.. there are tons of opportunities to learn some very cool history, both local and national history.","August 28, 2019",Beautiful!,10,"Murfreesboro, Tennessee",5
Hot Springs National Park,"I am not sure why this is a national park. It is basically a street with a half dozen old spas, some active and some as museum pieces. It is a curiosity, but hardly worth the detour unless you are trying to hit every last national park! We spent about an hour here, and that was sufficient.","August 24, 2019","An odd national park, not worth much time",48,"Madrid, Spain",2
Hot Springs National Park,We stayed in Arkadelphia but loved the drive thru the National Forest and also doing the tower overlook over Hot Springs. My husband had a Natl Park pass so even better. Beautiful country,"August 21, 2019",beautiful country,6,"Claremore, Oklahoma",4
Hot Springs National Park,We really enjoyed our visit to the National Park. It’s free and very nice! We are so thankful it has been so well preserved by the National Park Service. ,"August 20, 2019",Free and well worth the visit ,179,"Willis, Texas",5
Hot Springs National Park,We were pleasantly surprised by how cool this National Park is. All of the bathhouse are interesting architectural designs. The road to the tower is easy to maneuver and we'll worth the trip. ,"August 18, 2019",Unique National Park,24,"Lakewood, Colorado",5
Hot Springs National Park,Really enjoyed our afternoon trip to Hot Springs! There is a lot of history connected to the hot springs running from the mountain into the downtown area. You can access the park from walking through the downtown and there are places you can touch the water which is very warm! Very clean and well preserved architecture and interesting piece of history when times were different. Worth a trip to see. Next time I’d like to have more time to experience one of the spas in a old converted bathhouse. ,"August 10, 2019",Unique park and bustling old downtown area!,57,"Alpharetta, Georgia",5
Hot Springs National Park,"I felt I stepped in a time machine! man, what a great job presenting a bathhouse the way it looked back then and the gym area was amazing. I just loved everything about it.","August 9, 2019",Loved it!,67,"Altus, Oklahoma",5
