national_park,review_body,review_date,review_title,helpful_vote,user_location,user_rating
Indiana Dunes State Park,The beach at this park is certainly the most beautiful beach i have ever seen also the 3 dune challenge lived upto its hype il definately go here again,"October 10, 2019",The 3 dune challenge was enjoyable and the state park beach is mesmerizing,4,"Chicago, Illinois",5
Indiana Dunes State Park,"Indiana dunes is a beautiful park, with an easy to get to beach (go early because beach gets very crowded even in September when we went), nice maintained trails with nice views of Lake Michigan. We didn't like seeing power plants in either direction when looking down the beaches, but the lake is gorgeous especially on a sunny day like we had. Surrounding small cities are just okay. My husband and I drove all around to michigan city and portage, which in my opinion weren't worth going to. Portage Riverwalk was closed, where we did walk is next to power plant and the bugs will eat you alive, michigan city looks rough and run down. However, we had a great day at the dunes, the very small historic downtown Chesterton was cute, and the Coffee Creek Watershed preserve was a really pretty area to visit by our hotel.","October 10, 2019",Would go again,0,,4
Indiana Dunes State Park,"This just became a National Park a few months ago, so that is definitely exciting! Definitely hike the 3 Dune Challenge, it was actually a challenge hiking up and down the sand dunes! You pick up the trail right behind the nature center and it is pretty well marked and easy to navigate. Great views from the top! Unfortunately you can only hike Mt. Baldy with a guide so we did not get that hike in since we went in September. The guided hikes are only offered in the summer months. There is a $12 per car entrance fee so be sure to arrive early to get all the hiking in!","October 9, 2019",Make sure to hike the 3 Dune Challenge!,3,"Cleveland, United States",5
Indiana Dunes State Park,We got to the dunes and walked down to the beach. It simply was a beautiful scene. We walked over to the pavilion and beach house. We hiked up Devil's Slide. The beach house was closed but we did rinse our feet before jumping into the car. The scenery was very pretty. We would like to get back there and do more of the trails. ,"September 23, 2019",Wow isn't enough!,7,,5
Indiana Dunes State Park,Spacious campground sites. There is no cable but it is close enough to Chicago to get many channels over the air.,"September 15, 2019",A really nice park and campground,4,"Hilton Head, South Carolina",5
Indiana Dunes State Park,"Nice chunk of great lakes shoreline protected for future generations to see. Good biking and walking trails in the area. They are redoing the gift shop, food service at the main beach parking area currently.","September 11, 2019",America's Newest National Park,0,"Deadhorse, Alaska",5
Indiana Dunes State Park,"We camped in the park for two nights, hiked a few of the trails, and enjoyed the beach. The beach was only open for swimming on weekends, which worked out well to coincide with our visit. The water is cold, but refreshing on a hot day. The trails are well-traveled and maintained, and the trail between the beach and campground was a super easy walk with gorgeous scenery. The sand is soft and the beach is pretty well maintained.Bathrooms were clean and modern, campground is similar to other state parks we've visited. If you're camping, be aware that you can't use fallen limbs or sticks for your campfire; it's best to bring or purchase fire starter from the camp store. Camp store has wood, ice, some snacks, and other potential necessities you may have forgotten.There was one playground within the campground, and it was a bit on the small side, but a more modern style, which the kids seemed to enjoy. Lots of kids on bikes (as we typically expect), and plenty of roads to ride. There are several trails accessible from the campground, so lots of room to explore, too.We had a great time and can't wait to come back and explore more!","September 9, 2019","Gorgeous scenery, excellent trails",1,,5
Indiana Dunes State Park,"Note that the National Park and State Park are connected, but different experiences. The State Park charges a separate entrance fee, and as an Indiana resident, it is a wonderful and affordable way to spend a day in both woods and beach. The nature center is informative and has a great nature room to hear and see a variety of birds and animals. Extensive marsh and birding areas (we saved these for another visit), and relaxing walk along Lake Michigan beach. An unexpected and very pleasant local vacation option for Northern Indiana: not very far, but much better than a regular ""staycation"".","September 8, 2019",Very nice local option,14,"Lafayette, Indiana",5
Indiana Dunes State Park,"waited in traffic for 50 minutes to get into the park on a holiday. Park staff very friendly. Park very nice,clean. stayed 3 nights at the campground, very quiet. we will be back. hiked the dunes, did not have time to hike all the trails we wanted to, will plan to be back","September 7, 2019",wonderful visit,9,"Evansville, Indiana",5
Indiana Dunes State Park,"The visitors center is a great place to start off a visit. They've got all the details and some cool artwork. Next we headed into the park. We got there fairly early, so the line of cars wasn't too long. We hiked one the dunes before the kids were over it (they just wanted to sit on the path and play in the sand)Finally, we hit the beach to finish off the day. Lake Michigan is markedly warmer on the Indiana side than the Chicago side. The beach was very full, but it was the perfect day to be by the water.The whole family enjoyed the visit, and we'll have to go back when the kids' legs have grown some and climb all three dunes!","September 7, 2019",Lovely park!,0,,5
Indiana Dunes State Park,"While the shore and the dunes are beautiful and interesting I think the old growth black oak forest (some up to 140 feet high and many hundreds of years old) is the gem of this park. We went to the beautiful nature center (a must-see) and they pointed out the forest behind the center. So My wife and I walked the paths of the forest and they were a combination of humus and sand and it was so soft we took off our sandals and walked barefooted. Breathe deep, look wide, listen silently and let the forest speak to you of better things. We will return to spend more time there soon. ","September 3, 2019",Amazing old growth forest!,6,"Colorado Springs, Colorado",5
Indiana Dunes State Park,"Indiana Dunes, so much to do here! We found the 5 homes from the 1933 Worlds Fair to be a real attraction, even though we could only view them from the outside. The Dunes, beach, park, walking trails are awesome! Be sure to stop at the visitors center first. It really helps plan your visit according to how much time you have for your visit. From just a couple hours to even a few days, the friendly, knowledgeable staff will definitely help you make the most of your visit according to what interests you most.","September 3, 2019",Did not miss the newest National Park!,6,"Indianapolis, Indiana",5
Indiana Dunes State Park,"The park was very busy but we could still maneuver around to see the nice water, green grass, tall dunes, and buildings. The line to get in took a while but we waited patiently:)","August 31, 2019",Beautiful park,6,"Fort Wayne, Indiana",4
Indiana Dunes State Park,"Loved everything about this state park -- great trails, beautiful and clean lakefront, many spots available throughout the park for a picnic. I particularly liked coming to the beach in the morning -- much less busy.I accepted the 3 Dune Challenge and made it! The trail is rated as ""rugged"" for a reason -- steep ascents on sand were a challenge, but the views were worth it!","August 28, 2019",What a great state park!,2,"Omaha, Nebraska",5
Indiana Dunes State Park,Loved this State Park! We had a lot of fun in the trails. I’d love to come back someday and camp out for a few days. ,"August 28, 2019",Hiking vacation ,0,"Greenwood, Indiana",5
Indiana Dunes State Park,An amazing and breathtaking place as you walk along Lake Michigan surrounded by the Indiana dunes. Nice lakefront area for you to swim with nice bathroom facilities.,"August 21, 2019",Great State Park,1,,5
Indiana Dunes State Park,"The visitor centre isn’t far from the freeway and offer plenty of information about the park plus rest rooms. The main beach is another couple of miles further on and it’s here you pay your entrance fee. There is lots of parking, a cabin selling drinks and snacks, restrooms and showers. The beach is beautiful and stretches in both directions. It a great place to spend time.","August 20, 2019",Lovely beach,210,"Rayleigh, United Kingdom",4
Indiana Dunes State Park,"Clean campground with plenty of amenities (camp store for forgotten bug spray), spacious bathrooms/showerhouses, within walking distance to the train station if you want to head into Chicago for the day, and a beautiful walk to an amazing beach! The waves were huge and loud enough to hear from our campsite. My boys LOVED exploring and running down the dunes. It's hard to believe you find this sort of beach and water area in Indiana!","August 20, 2019",Great time!,0,,5
Indiana Dunes State Park,We loved coming to the Dunes for a visit. The beach was nice. There seemed to be alot of trails you can go on. ,"August 19, 2019",Beach ,1,,5
Indiana Dunes State Park,We stopped here on a Sunday morning. Plan on arriving early as the line to get in on a weekend is very long. The beach is beautiful but was very crowded in the guarded area when we were there. We hiked part of the 3 dune challenge. It would have been better to start early in the morning as hiking uphill on sand is quite challenging and things take longer. It was amazing how quick the scenery changed on the hike and it was quite interesting. The trails were not crowded.,"August 18, 2019",Beautiful beach and challenging hike,36,"Sterling, Illinois",4
Indiana Dunes State Park,"We live 3 hours south of this park, but we try to make it up every couple of years. We always enjoy our visit. It's nice to relax at the beach or climb the dunes. They are much more strenuous than they appear from below. But the views are amazing!","August 16, 2019",Always enjoy our time here,15,"Seymour, Indiana, United States",4
Indiana Dunes State Park,"The beach was beautiful! Not too crowded on the day we went. Water was chilly but got used to it fast. However, the state park beach was closed due to “not enough life guards” so we had to stay on the other side of the border line on Porter Beach. What’s funny is they had 6-8 people riding around on four wheelers telling people to get out of the water constantly so seems to me half of those employed could have been life guards and then people could just enjoy the water..","August 15, 2019",Beach Visit,0,,4
Indiana Dunes State Park,"Stopped at our nation's newest park a few weeks ago en route to Chicago. Do stop at the park information center on the way in. The rangers are so helpful in providing information about which area you should visit depending on how much time you have. They also have great information on the flora/fauna of the park, the sea life and the birds that reside in the park. Super interesting! We had limited time, so drove to the main beach area. There are several great hikes there that if you complete them, you are high enough up to see across to Illinois and other parts. It was so hot that we just skipped it. But the beach was great. Not from the Midwest so had never been on the Great Lakes before. WOW! Lake Michigan is something else. We dipped our toes in the water and were able to look across at Chicago. So cool! At the top of the walk down to the beach, there are changing areas, bathrooms, a snack bar and a small gift shop that sells sunscreen, park tees, etc. We only got to be at the park for about an hour but really enjoyed it. Just a neat national park. Make sure to include a stop here on your next visit to the Chicago-Indiana area.","August 14, 2019",Gorgeous beach on the shores of Lake Michigan with a stellar view of Chicago...,53,"Edmonds, Washington",4
