national_park,review_body,review_date,review_title,helpful_vote,user_location,user_rating
Kenai Fjords National Park,"Spectacular views, especially if you take a boat tour out to Holgate Glacier. We took the 11:30 - 5:30 tour and saw at least two orca pods, a humpback whale and numerous sea lions. This was our favorite part of the trip to Alaska!","October 16, 2019",Don't Miss this part of Alaska,28,felix15,5
Kenai Fjords National Park,"Nice walk. Saw bears, eagle and salmon. Walk was not too log and was on flat land. Nice waterfall at the Glacier.","October 10, 2019",Beautiful,2,"Palmdale, California",5
Kenai Fjords National Park,"I experienced Kenai Fjords by hiking a glacier. So we had the opportunity to see the interior of the park, rather than seeing it from a boat tour. The trip was both beautiful and sad. The beauty of the mountains is hard to duplicate any where in the Lower 48. Every turn in the road brought another breathtaking view. Exit Glacier was spectacular! But this glacier brings the sad part as well. The park has placed signs containing a year. The year denotes the point at which the glacier existed, we some some years in the 1800s. But those signs were so far away from where the glacier ends now! Go see this park as soon as you can so can experience the glacier and its spectacular surroundings!","October 4, 2019",Nature at Work,2,,5
Kenai Fjords National Park,"My wife and I took the bay cruise recently while on vacation. Enjoyed it very much. Saw two glaciers up close plus sea lions, otters and seals. Beautiful mountains along the way. Staff on boat very friendly. Would definately recommend","September 22, 2019",great cruise,22,"Piney Flats, Tennessee",5
Kenai Fjords National Park,"I'd been to the park on another trip but this one exceeded all expectations! Lovely weather, awe inspiring environment.","September 21, 2019",Aewsomeness!,101,"Lewisville, North Carolina",5
Kenai Fjords National Park,This place is wonder! I would go back to this place again. Beautiful sceneries and wildlife views are just fantastic! ,"September 19, 2019",Kenai Fjords,4,"Pacific Junction, Iowa",5
Kenai Fjords National Park,"As we were driving through the park, we experienced beautiful scenes at every turn. The number of glaciers was amazing to we east coasters who see snow on the mountains only in the winter and no glaciers ever. The Aspen trees were turning yellow while we were there so we saw greens and yellows together in varying hues. The mountains also provided a palate of colors above the tree line which we don't see on the east coast mountains. A really spectacular park. We will be back!","September 17, 2019",Unparalleled scenery,0,,5
Kenai Fjords National Park,"This is a beautiful park to explore. You have options of back country hikes, more accessible hikes such as Exit Glacier, or can explore from the water on a tour or kayak. The landscape and wildlife is exceptional. I saw orcas, otters, seals, jellies, and tons of birds including bald eagles and puffins. The beautiful drive from Anchorage to Seward is also with the trip.","September 17, 2019",Vast with many options,104,"San Diego, California",4
Kenai Fjords National Park,"We all talk and debate about global warming but this place kind of provides an in-your-face documentation of global warming; so real, right in front of our eyes. We visited the park on a hazy afternoon in August and participated in the Ranger led hike to the Exit Glacier view point that starts at 1pm everyday. Along the way the ranger explained a lot about the vegetation and showed us the well documented timeline of retreat. The park has been able to document the195 years of accelerating pullback of the Exit Glacier really well. It was a real eye opener! The Exit Glacier Nature Center from where the hike starts also has a lot of exhibits demonstrating several facts about the glaciers. I would highly recommend this place. Parking is available but it is limited and gets full. So it might take some time to find a spot.","September 16, 2019",Such an eye opening experience!,80,"Kolkata (Calcutta), India",5
Kenai Fjords National Park,Get our on the water and enjoy this incredible National Park. Amazing wildlife and scenery. Not to be missed!,"September 15, 2019",Enjoy this incredible National Park!,7,"Atlanta, Georgia",5
Kenai Fjords National Park,"Was hoping to see whales, which we didn't, but we saw seals, sea lions, puffins, and many other birds. Kenai Fjord is a beautiful park. A must see.","September 12, 2019",Great Day - Beautiful,17,"Council Bluffs, Iowa",5
Kenai Fjords National Park,"No matter how many times I visit, I never get tired of seeing the Kenai Fjords! I highly recommend trying any/all of the tours offered - you won't be disappointed!","September 10, 2019",I highly recommend any of these tours!,2,"Norwich, New York",5
