national_park,review_body,review_date,review_title,helpful_vote,user_location,user_rating
Kings Canyon,"My husband and I try each June to visit Kings Canyon National Park for some (gentle) hiking and to enjoy the beauty of the roaring King’s River. We’re never disappointed. This park is a “little Yosemite”. It’s uncrowded, filled with giant Sequoia trees and sheer cliffs. We spend the night in Cedar Grove alongside the river and cook some dinner in the grills provided. Simply beautiful.","October 14, 2019",Our Annual Visit to Peace & Tranquility!,11,"Rancho Palos Verdes, California",5
Kings Canyon,We have been in many national parks. This is not one of the best. We went in the western entrance and saw Grant Grove and the Grant Sequoia. This was excellent! Do not miss it. The rest of the park and the drive to the Canyon was boring as was the Canyon drive. If you want to see a great canyon go to Black Canyon of the Gunnison in Colorado- it is excellent.,"October 11, 2019",Disappointed,106,"henderson, Nv",3
Kings Canyon,Seriously- go up to panoramic point trail after dusk and watch the Milky Way on a clear night. It’s terrifying and amazing all at the same time. We were the only ones up there and we were so scared a bear would eat us. But we made it out ,"October 11, 2019",Half the park is after dark ,66,,5
Kings Canyon,It's a great park and the stunning views from the meadows to the massive trees are just the beginning of the beauty to be found here.,"October 6, 2019",Beautiful Park,53,"West Des Moines, Iowa",5
Kings Canyon,"Totally recommend heading off early or late in the day to avoid the heat, on the 3hr Kings Canyon Rim Walk, great scenery. ","October 3, 2019",Awesome 3hr Kings Canyon Rim Walk,13,"Brisbane, Queensland, Australia",5
Kings Canyon,"We hadn't hear of Kings Canyon before planning our Californian roadtrip, but so glad we went to visit. It's a stunning part of the world, with endless vista points and a gorgeous landscape. Lots of wildlife - we encountered lots of deer, small furries and birds. Stayed at Cedar Grove Lodge which was quite out of the way, with few facilities nearby but very quiet and relaxing.Lots of fantastic walks, well worth it for a few days (or more if you're interested in venturing into the wilderness).","September 23, 2019",Stunning,61,"Buckinghamshire, England",5
Kings Canyon,"We entered by Rt. 180. Stopped at various overlooks along the generals highway, which is quite curvy and steep at times. But the views are really amazing!","September 19, 2019",Great scenery,22,"Schellsburg, Pennsylvania",4
Kings Canyon,"Spectacular views of cons and rock formation and a very wide space to see the mountains The breathtaking view of cynicism and rock formations and the river is flowing wild and the waterfalls is working too even with insect everywhere to,meet you","September 1, 2019",View,1,,5
Kings Canyon,We loved driving here and seeing the kings river run through the canyon. The views are spectacular. The roaring river and boyden river are the highlights of the drive.,"August 13, 2019",Awesome drive with views,337,"Glenmoore, Pennsylvania",4
Kings Canyon,Zumwalts meadow is beautiful. Worth driving to roads end. Best to bring mosquito spray. Grants Grove is nice with a short hike. ,"August 12, 2019",Nice drive,56,"Mission Viejo, California",5
Kings Canyon,"Kings Canyon is a real treasure. It has towering peaks, rushing rivers, lush meadows, and thriving wildlife. It also receives far fewer visitors than nearby Sequoia or Yosemite, making for less stress and no waiting in lines. It's about two hours (85 miles) from either Fresno or Visalia, the nearest decently-sized cities, but it's a very fun drive through winding roads in varied terrain.Once in the canyon, there are several sights that are just off the road, like Roaring River Falls and Zumwalt Meadow. If you have the time and ability, hike to Mist Falls, an 8.1-mile moderately difficult out-and-back route along the Kings River. The falls are really roaring with the extensive snow of the past season, and the views are absolutely gorgeous.Of course, the park is mostly wilderness with few services and various potential hazards, so it's essential to be prepared. The official park website has a lot of great information to help plan a trip, and there are up-to-date conditions and resources at the Cedar Grove Visitors Center as well as the Roads End Permit Station.","July 28, 2019",Gorgeous and peaceful national park,25,"Anaheim, California",5
Kings Canyon,It is cool to stare out and see so much nature in front of you. I mean how often do people get to do that? It's a scenic experience you won't forget and you will be memorized from the sights you see. I got goose bumps.,"July 25, 2019",Breathtaking,5,"Chicago, Illinois",5
Kings Canyon,"Kings Canyon National Park is wonderful. We like the HWY 180 scenic drive, the King River, cliff overlooks, Grizzly Falls, Roaring River Falls, wild flowers, and Visitor Center. You could visit a cavern at Sequoia National Forest which is in the Kings Canyon.","July 14, 2019",Wonderful National Park!,306,"Bangkok, Thailand",5
Kings Canyon,Kings Canyon is uncrowded with unmatched scenery. The hiking is plentiful and scenic. The giant Sequoia trees are amazing.,"July 11, 2019",A Quiet Magnificent Spot,11,"Rancho Palos Verdes, California",5
Kings Canyon,Kings Canyon is often overshadowed by the more famous and adiacent Sequoia. and this is just wrong. The long road along the Kings river offers some fantastic sceneries which i had bnever seen before. A must see.,"July 10, 2019",a wonderful surprise,101,"Naples, Italy",5
