national_park,review_body,review_date,review_title,helpful_vote,user_location,user_rating
Mammoth Cave,"Compared to caves like Carlsbad Caverns and Natural Bridge Caverns, Mammoth Cave was a huge disappointment. We chose the Extended Historic tour hoping to learn about the history of the cave. The best part of the tour was the “extended” part, which was still disappointing. The guide rushed us by two buildings that held consumption patients in the 1840s. She barely flipped the light on for us to see the buildings as we were hurried by in a single file line. The tour was rushed, crowded, and the guide was completely uninformative. Save your money and read the history in less than 5 minutes online. ","October 18, 2019",Extended Historic Tour,0,"Clarksville, Tennessee",2
Mammoth Cave,"You have to definitely check the times for all the tours so you can make the one you want and actually go into the caves. We picked the 2 hour cave tour that went miles below the surface. Our guides Alesha / Gillespie knew there way around and all the history filled with the tour. Multiple people asked many questions and they were ready with plenty of information! I especially liked all the different caves and spaces we went through. We want to come back for 6 hour crawling tour so we can experience how they did it back in time. They have camping, a hotel, a post office and multiple hotels. We stayed at the Holiday Inn express in cave city KY it was perfect! You can literally make a right out of the hotel and have a very pleasant drive to Mammoth cave on the backroads using your GPS. Great place anytime of the year! Thank you to all the employees of Mammoth Cave!","October 16, 2019",Our guides Alesha / Gillespie were excellent! We did the 2 hour hour it was very informative! Great experience!,162,"Nashville, Tennessee",5
Mammoth Cave,"We took the 2-hour historic tour. The time flew by. We were in some gigantic cave rooms and some very tight squeezes. We learned some history and geology. Our tour guide, Jim, was fabulous. The 2-mile walk is well paced so even the youngest in our group (6) had no trouble. We wish we had time for more tours or had made plans to stay in the lodge or cottages on site.","October 16, 2019",Enjoyable and informative ,10,St. Paul MN,5
Mammoth Cave,"Did not know what to expect. There was a nice visitor center , with information about Mammoth cave. We took a 2 1/2 hour tour lead by a park ranger. It is a national park. A lot of walking and about 550 steps. Dark and cool in cave.","October 16, 2019",Longest cave in the world,29,"Mahwah, New Jersey",4
Mammoth Cave,"We did Great Onyx Cave with Chris the tour guide. It was a wonderful cave tour and the perfect length. You enter down about 40 steps carved in Stone with handrails and walls on each side. I am afraid of heights and have trouble on metal open-grate stairs where you can see a far ways down, like on other cave tours, so this was a good choice for me. It didn’t feel exposed on the stairs. Also, inside the cave, it mostly feels like walking on flat ground. There are no narrow walkways with steep drop offs on either side, like I have experienced in other caves.I am also a bit claustrophobic. I was fine on this tour. You go from room to room with wide halls in between. A few spots had low ceilings (I am very tall and had to watch my head; my 5’4” son was fine). There was nothing that felt too tight or confining. It is still a cave so I had a moderate amount of claustrophobic discomfort but it was manageable and I didn’t feel panicked. We spent around 90 minutes total in the cave. The tour itself was excellent. My kids, 9 and 11, enjoyed it. Chris the ranger/tour guide held their attention with stories of geology and cave history. The 11-yr old said his favorite thing was the suspense that the ranger built through his stories and the “reveal” at the end of the cave tour. The 9-yr old liked the ranger’s jokes and liked the cave formations we saw, especially the Nativity formation. The lanterns were cool too. We had one lantern per 3-4 people so our family of four had one lantern. It was a neat way to see the cave. ","October 15, 2019",Great Onyx Tour: good for those who are claustrophobic or afraid of heights,26,"Chicago, Illinois",5
Mammoth Cave,"After doing the Gothic Avenues Tour we wanted to do another tour of Mammoth Cave. We asked the helpful rangers at visitors center what they recommend. They told us about Dripstones so we did that one. Had to take a 20 minute bus ride to get to the entrance of this cave. It was quite different from Gothic. Very narrow stairs leading down to the cave. Stairs were moist and handrails were wet as well. This tour IS NOT for the claustrophobic person not for the, to be politically correct, nor the big bone person as well. I am 180 pounds and barely slipped by some of the rock formations. Our group was wQuite large with about 100 people. Also 2 screaming toddlers which drove 98 people crazy. Hint- if you see this happening before the tour starts, reposition yourself as far away as possible from those people. We were treated to beautiful stalagmites and stalactites. Many many beautiful rock formations on this tour. It was 2 hours in length. Tour guide was exceptional. Dry detailed information. Great tour barring the crying kids. ","October 14, 2019",Domes and Dripstones Tour,121,"Burlington, Kentucky",5
Mammoth Cave,"There are so many reviews of the cave & the tours so I'm going to try to respond to the things I was wondering about before going- we did the Domes & Dripstones tour with 2 ten year olds, one who is often up for anything and the other who is more skittish. They both did great on this tour--- unless you're near the guide (I wasn't so I don't really know), there is not much stopping and listening to a lot of information (two or maybe three times for a just a few minutes each) which might be disappointing for some people if they really want the guided tour experience, but it is a TON of people (?75-100?) so you have to keep moving- this was an advantage being on the tour with kids who probably wouldve gotten antsy listening too much & not moving. The less enthusiastic child didn't complain at all the whole time which was an achievement! Also it is not 2 hours of walking, the 2 hours includes the bus rides each way as well as a little orientation at the entrance and waiting to get into the cave entrance so I'd say total walking time is maybe 1 hr 35 min. I was nervous about the claustrophobia warnings as well- I will say the first 10-15 minutes is tight and my husband opted to be at the back of the line in order to have a little more space between all the people, as you are pretty much descending in single file one on top of the other until you get to the bottom which does take 10-15 min. In many spots the space between the rocks is 2-3 ft in width and you also have railings on at least one if not both sides of you which can be as narrow as about 2 ft wide in some spots. There are some spots where you have to stoop or bend but not that many and not excessively where you'd end up with a sore back or something (unless you have back issues already perhaps). It's pretty dark but the walkway is lit and the walls are periodically too, my daughter was not at all scared in that regard. Once down in the cave, the narrow parts are much fewer though there are some steep areas where it is steeply sloping rock and one staircase that is pretty narrow & steep. For people with heights fears, I never felt uneasy at all but I think you could also avoid that by intentionally not looking over railings- you really do have to kind of lean over and look down to see the height. We really enjoyed the tour, I'm glad we did it because it was a little bit adventurous feeling but not difficult and still fun for the kids, and long enough to feel like we really saw a decent amount of different types of cave/rock formations.","October 14, 2019",Domes & Dripstones with kids,27,North Carolina,4
Mammoth Cave,My wife and I just completed our first of many trips to Mammoth cave national park. We went on the history tour and found it fascinating. The guides do an excellent job. It was a very warm day but 54 degrees in the cave.,"October 14, 2019",Our first visit to mammoth cave,4,"elmer, nj",4
Mammoth Cave,Handicap accessible is wonderful. My husband has a scooter and the walkways are wide enough for the two of us to be next to each other. Very clean great views along with benches along the way for you to sit down if necessary. Recommend for all ages,"October 13, 2019",Pathway around park,1,"Glasgow, Kentucky",5
Mammoth Cave,"We spent 2 days visiting Mammoth Cave and it was well worth it! This is the WORLD’S LONGEST CAVE SYSTEM so exploring it was amazing. We got a tip from a ranger who now works at another national park and she recommended 2 tours, so with the variety of tours available, we felt like we had a head start for our visit. We first did the Frozen Niagara Tour. This is the tour that gives you what most people expect in a cave - stalactites and stalagmites. The formations are beautiful. The second day we did the Historic Tour which was fascinating. We saw relics from mining operations used during the War of 1812! We saw old graffiti on the ceilings using candle smoke from the early 1800’s. We saw amazingly cavernous rooms. All-in-all, a great tour. ","October 13, 2019",Extraordinary Cave!,36,"Folsom, California",5
Mammoth Cave,"My wife and I spent 2 day hiking the south side of the green river. The trails were well marked and well maintained. We also did the 2 hour historic cave tour, we enjoyed it. ","October 10, 2019",Great hiking ,15,"Indianapolis, Indiana",4
Mammoth Cave,"Mammoth Cave National Park, set deep in the Kentucky woods, is in a beautiful, remote location. The Visitor Center was clean with a well thought out floor plan that made for easy access to tickets, information, gift shops, and restrooms. The center was designed with plenty of windows for a lot of natural light and views that gave us a terrific look at the Kentucky woods in the fall. The walk down the hollow to the cave, lined with towering trees along the rocky hillside, was very scenic.The cave itself was impressive. The sheer size of the main tunnel was much larger than I expected. This was to caves as the interstate is to roads! And, much like the interstate moves a massive amount of cars, the NPS moved a lot of people on our 2 hour historic tour through Mammoth Cave. We spent much of the time either walking or waiting with very little time to enjoy the natural wonder. The guides were great and shared a lot of information about the site. Offering smaller tours would have upped this review from a 3* to 5* review!","October 9, 2019","Natural Wonder, Human Herd",0,,3
Mammoth Cave,"wear appropriate shoes, if you want to take a picture inside the cave (bring camera that able to capture low lights environment), kids 3 and above can walk inside the cave (it is safe) since the pathway are wide. and please plan your tour if you want to get optimum experience, the ticket may sold-out. I also cook in the picnic area and the place is clean and it also has a water well (helps you clean your cooking stuff)","October 8, 2019","its perfect to go on summer time, the cave still feel cold and you can feel the wind gusting while entering the cave",0,,5
Mammoth Cave,The tour guides are extremely knowledgeable about the cave! Even random questions that came up they had the scientific and factual answers to respond. Well worth the trip!,"October 8, 2019",Impressive ,0,,4
Mammoth Cave,"One of the best family days we have had in a while. Mammoth cave has many awesome tour choices. We went on the Extended Historical Tour. Our tour was 2 hour of easy walking with moderate elevation gain. We have a 12,11, and 6 year old and they all had a blast. I also suggest getting passport and junior rangers badge.","October 7, 2019",Must see,2,"Russell Springs, Kentucky",5
