national_park,review_body,review_date,review_title,helpful_vote,user_location,user_rating
Mount Lassen,"Climbed Mount Lassen Peak Trail (along with several hundred, literally, 4,5,6-th graders from Rhonart Park, Sonoma, and other schools). 2000 foot elevation in 2.5 miles. Slope is actually pretty constant from the very beginning. The newly re-constructed trail is wonderful. It is a serious hike, but no climbing is involved. Also hiked into Bumpass Hell from the back - Kings Creek and Cold Boiling Lake. The main trail was supposed to open two days later. Visitor Centers have a lot of good information.","September 23, 2019",Great place for hiking,43,n/a,5
Mount Lassen,"This park seemed to take quite a while to drive to from the Bay area but we were determined to get there to discover this volcanic site. We were not dsiappointed. First stop was the Visitors Center to get our bearings and pick up some literature, learn a bit about the area by viewing a brief movie, and using the restroom before our slow drive through the park. It is truly a beautiful and awasome experience. There are a number of pull-outs to stop and take beautiful pictures. Note that the first stop has a walk trhat takes you past the mud pots and other geologic wonders. Pictures just don't capture all of the beautiful aspects of this park, but they will serve as a wonderful memory to us for all time. Not that many of our L.A. friends even know of this park, and we've been sharing our insights with them and encourage them to go and see for themselves.","September 21, 2019",What a wonderful park!,24,"Thousand Oaks, United States",5
Mount Lassen,"My wife doesn't hike and we are well into our 60s so we took an auto tour beginning at the north entrance. I have a lifetime senior pass for National Parks that got us in at no charge. The scenery is beautiful and I would rate it as good as Yellowstone or Denali if it just had a bunch of big animals like bear, buffalo, and elk. It did impress me more than Yosemite which we visited a few days previous. Lassen is popular but you won't really have to fight the crowds like you do at some other parks. It seems to have all anyone would need for hiking and camping.","September 15, 2019",VERY SCENIC,20,"Natchitoches, Louisiana",5
Mount Lassen,"We didn’t expect to have four seasons in Mt Lassen. It was a great experience for us. We did auto touring through the whole mountain, entered through manzanita lake, exited through Kohm Yah-mah-nee gate. It’s indeed a Pretty scenic, we were surprised with leftover snow on the peak. Be ready with jacket and be ready to spend few days if you want to hike. If you just want to do auto touring, you will need whole full day trip. ","September 3, 2019",Beautiful Nature,4,"San Francisco, California",5
Mount Lassen,"They are not lying about that 2000 some foot rise in 2.5 miles! It's pretty good long hike, I believe that the sign at the bottom said 4 or 5 hours on average but I was able to do the whole thing in about 3.","August 31, 2019",Good physical therapy hike!,35,"West Yellowstone, Montana",5
Mount Lassen,"We hiked up Mount Lassen on July 24. Even then, the trail still had substantial snow. The snow was mostly on the lower third of the trail. And, the trail was well marked across the snow. The views are tremendous from the moment the trail begins. This is only a 5 mile round trip hike but the summit is at 10,457 feet. Another huge bonus: Lassen Volcanic Park is not highly visited. There were definitely other visitors on the trail, but we had the summit all to ourselves. Pretty spectacular!!","August 26, 2019",Loved this hike!,218,"Marietta, Georgia",5
Mount Lassen,"We went up Lassen in early August on a sunny cloudless day. Even with an early start, we knew it was going to be quite warm. There was little shade on the trail. The views were terrific all along the trail as we switchbacked up the mountain. Halfway up, we were greeted with a deluge of orange-&-black tortoiseshell butterflies streaming down the mountainside. At the peak was a vast snowfield. The elevation gain is 2000 feet with a trail length of about 2.5 miles (5 miles round trip), so it is not a very difficult climb. Nevertheless, if you have joint or stamina issues, this may not be the hike for you. All in all, we loved the hike.","August 14, 2019",Lovely views all along the way on a challenging hike,35,Connecticut,5
Mount Lassen,"Great drive through the mountains. Good roads, well kept. Our day took us through sun, rain, hail, sleet, and snow. Fab! Be ready for anything at the beginning of August!","August 10, 2019",Love it,102,"Vancouver, Canada",5
Mount Lassen,"The views are great, but no real interpretive center other than the visitor centers. Everything requires long hikes. Wasn’t all that impressed.","August 9, 2019","Beautiful scenery, not much to do",102,"Benson, Arizona",3
Mount Lassen,"We did the trail up Mount Lassen in a great hot summer day (but not extremely hot) with a light overcast sky. These conditions make the walk perfect: not to warm, not to cold. Was the weather warmer then things could get really hot, really fast, so go prepared with water for everybody! On the other hand at the top of the peak temperatures are much lower than down in the car park so be ready to take some light warm jackets just in case (we did not needed them only because the wind was from the right side... and we were protected by some rocks in the summit). The path follows a steady (and relentless) gentle slope with amazing views all the way up, and breathtaking 360 vistas as the top. Be prepared: there will be some crossings over snow, so adequate shoes is a must), and some sections are near big exposed slopes that may not be enjoyable for people that don't like heights. We visited in august weekday and we met people in the tray but it was not crowded at all, and in the top it was 5 or 6 of us (and the area is spacious).","August 8, 2019","Feels longer than it is, but its just a question of stamina. The prize is great up there!",10,"Porto, Portugal",5
