national_park,review_body,review_date,review_title,helpful_vote,user_location,user_rating
National Park Underwater Trail,"Lots of small fish, saw a stingray. It was little. Lots of coral. Not always easy to manuevre. The markers are in a triangle. If there are waves, it is not easy to stay on course. I am not an experienced snorkeler. Being terrified of sharks, I had asked the ladies at the visitor center about sharks. They said they are not aware of any incidents, so I kept looking up out of the water to make sure I did not see any arms wailing above the water. As long as other people we're close by, I felt safe. But the best snorkeling was at Buck Island Reef National Monument at Christiansted, St Croix. Maho Beach has turtles cruising the seaweed beds.","August 26, 2019","Colorful fish, no rope",197,"Shelby Township, Michigan",5
National Park Underwater Trail,"We were one of the first to arrive here in the morning and brought our dingy onto the beach. We had the beach to ourselves and had a nice snorkel in the park. Was here in 1995 and there seem to be more fish then. Several people said the coral has been damaged by the hurricane, which is too bad. They have a nice bar and public showers and restrooms. There is also a snack bar that served yummy chicken salad wraps and hot dogs. ","July 28, 2019",Great stop at the Underwater Trail! ,5,"Scottsdale, Arizona",5
National Park Underwater Trail,"Look like volunteer life guards, but the trail is a the beach side of Trunk bay island, trail needs work after the hurricane, but is the best and I believe only underwater trail in the USA.","April 10, 2019","Needs repair, water slightly cloudy, but otherwise great fun",204,Texas,4
National Park Underwater Trail,"Since the hurricanes the trail isn't as crowded with fish- but we still saw plenty- other creatures as well (sea anemone, plants etc)","March 18, 2019",Fish and coral,28,"Scarborough, Maine",4
National Park Underwater Trail,"Located at Trunk Bay National Park this is a good starting point for new or experienced snorkelers. Unfortunately, the coral was damaged from the hurricanes in 2017 and, although very nice, it is not the same experience that it was a previously. The trail is nice and relatively short, and there are a fair number of fish, but as others have indicated, the coral is not very healthy. The beach is great and large with soft white sand but the shade trees are mostly gone. You no longer can rent snorkel equipment here. There is food for purchase, showers, gift shop and bathroom facilities. There is a paved walkway to most areas, including the beach","February 18, 2019",Damaged by the hurricanes but still very nice,601,"Boston, Massachusetts",4
National Park Underwater Trail,"This beautiful trail was mostly destroyed but Irma. It is still worth the visit and it will regrow, but it is not what it once was. ","January 23, 2019",Underwater Trail at Trunk Bay,13,St. John,3
National Park Underwater Trail,"Beautiful beach in the middle of a National park on St. John. Snorkeling was good. Saw fish, crabs, squid, tarpon and turtles. The underwater trail is about 5 or so plaques in various areas that tell about the different fish you might see. Not as great as you think. Can rent gear and they have bathrooms and showers which were refreshing. No food or beverage concessions so come with those items if planning on spending time here.","August 29, 2018",Trunk Bay,8,"Hillsboro, Oregon",4
National Park Underwater Trail,"This underwater trail consists of about 5 or 6 informational signs underwater that give information about the reef and wildlife. It is much like a marked trail you might see anywhere else in the US except it is underwater. The reef is filled with life. We saw huge schools of small fish (I have no idea what they were) and then larger predators like yellow tailed snapper and barracuda. We saw an octopus and a jellyfish and we heard others saying they saw a turtle, but we missed seeing him! ","June 29, 2018",Fun!,27,"Severna Park, Maryland",5
National Park Underwater Trail,I thoroughly enjoyed this; I thought it was different and definitely nice to read about the sea life under the water. I would definitely recommend to a novice snorkeler or a family with children or teenagers. ,"April 21, 2018",Fun,29,"Bronx, New York",5
National Park Underwater Trail,This is not good snorkeling. there really isn't anything there. Too many tourists. Although hey at least in concentrates tourists in one spot so the rest of the island snorkeling is still wonderful if you venture past this!,"April 8, 2018",nothing here,5,"Philadelphia, Pennsylvania",1
National Park Underwater Trail,I have not snorkeled trail for years. Considering all the damage that has occurred the trail actually was pretty good.,"April 4, 2018",Trail better than I expected,65,Indiana,3
National Park Underwater Trail,Had a great afternoon snorkeling here. The water was clear and warm. Lots of different fish and not very crowded. ,"March 25, 2018",Snorkeling Paradise,156,"Crawfordville, Florida",4
National Park Underwater Trail,Navigate the warm water beach at Trunk Bay with snorkel and fins to see an abundance of tropical fish—not in a tank—but in the open ocean water.,"December 8, 2017","If you are an american and have never been to St John in the Virgin Islands, you owe it to yourself to go at least once.",0,Vermont,5
National Park Underwater Trail,"At least as far as I know, this has no comparison. A unique way to snorkle and view the coral and undersea world, but with a little structure. ","September 11, 2017",On of a kind,36,"Wolfeboro, NH",5
National Park Underwater Trail,Great for beginners and it's calm. Kids would love it. Plaques on sea floor provide info on fish and flora.,"September 4, 2017",A informative trail,3,"Parrish, Florida",4
National Park Underwater Trail,Trail is at Trunk Bay beach. Snorkeling trail is good with markers in the water to follow. Can't get lost and easy to navigate. Large school of silversides with tarpon and bar jacks looking for a free meal. Take a Go Pro if you have one.,"August 15, 2017",Descent snorkeling ,8,"Warren, Ohio, United States",4
National Park Underwater Trail,"There is better snorkeling around. We did a private charter and it's hard to appreciate this site after all we did. Worth doing if you have your own snorkel & mask, but I wouldn't rent for this site. Just sit and enjoy the beach.","July 30, 2017","Nice to see, but go for the beach.",1,"Norfolk, MA",3
National Park Underwater Trail,"This underwater trail has signs explaining about fish and coral. Easy to follow. However, more fish can be found closer to the island. Trunk Bay is beautiful. ","June 22, 2017",Trail is interesting but over-hyped,406,"Southlake, Texas",4
National Park Underwater Trail,"Perfect day of snorkeling for the novice. An easy trail wherein you can't really get in trouble. There is a lifeguard shack which had 2 lifeguards watching the ""trail"" at all times. Great place for kids to start their snorkeling experience.","June 13, 2017","At Trunk Bay, see reviews of Trunk Bay as well",18,,5
National Park Underwater Trail,"Snorkeling and the beach are always fun but if you're looking for good snorkeling, go elsewhere around St. John. There are multiple other stops. The beach is lovely and there are services available so it's a great place for a day at the beach.","May 1, 2017",Not much left.,0,,2
National Park Underwater Trail,"this trail is good for beginners as it is marked and there are lifeguards at this beach. however, there isn't as much to see here as some other beaches","April 22, 2017",winter getaway,21,"Quakertown, Pennsylvania",4
National Park Underwater Trail,The trail is fairly well marked with buoys. About half of the signs are covered with sand. Fairly crowded. You have to swim a good ways to get to the trail. Water by the trail was a little murky and colder than expected. Trunk Bay itsel is gorgeous. Spent about 30 minutes on the trail and 6 hours at Trunk Bay.,"April 20, 2017",Just ok,7,Indiana,3
National Park Underwater Trail,Spent a day here off a cruise ship. I had not been snorkeling for over twenty years but warm currents and beautiful scenery saw me spend an hour exploring the marked trail.,"April 11, 2017",Great way to snorkel,441,"Sydney, Australia",5
National Park Underwater Trail,"Very cool trail, pretty easy to navigate, currents weren't too bad. It was a little over cast so water wasn't as clear as it usually is, but still a must see.","March 27, 2017",Cool trail,15,,4
National Park Underwater Trail,In theory this sounds great. The day we went it was over crowded with people snorkeling and I'm sure that influenced the sea-life. It was cute to read the signs underwater of what was supposed to inhabit the area near the plaques. Only saw a few things. Possibly if you get there early in the morning you might see more. Beautiful beach.,"March 19, 2017",Over-crowded,48,"Boston, Massachusetts",3
National Park Underwater Trail,Trunk Bay beach is the most beautiful beach on the north shore. There is a great underwater guided snorkel trail which very young children might not be able to swim because it is about 300 yards long.The beach food and souvenir shops are quite modest and in need of upgrading. The restrooms have been upgraded. It is a lifeguard beach.,"March 13, 2017", Trunk Bay beach is Best,11,"New York City, New York",5
National Park Underwater Trail,Trunk Bay is an amazing spectacular beach. The snorkel trail is fun to follow and easy snorkeling if the water is calm. There are lifeguards on the beach that post flags as if the waves are safe to snorkel. Coral and unusual plants - some pretty fish. We have been at other place that have better snorkeling as far as more to see - but if at Trunk Bay - try it out. Just swimming in the amazing water and seeing what we did see underwater is cool.,"March 2, 2017",Stunning Beach! Snorkel trail average.,32,Utah,3
National Park Underwater Trail,"The sign are overgrown, hardly readable and the stuff they describe is no longer there. Go elsewhere for snorkelling. But enjoy Trunk, it's a fantastic beach","February 28, 2017",Forget about this trail,119,"Birkerod, Denmark",1
National Park Underwater Trail,"I was disappointed in the trail. Maybe I was expecting more, but the plaques were ok. The change of the coral is noticeable here as it is globally. We saw very few fish, but maybe that's normal? It was a red flag day when we were here and our first snorkel on the island, so I wasn't sure how to take it. It didn't stop us from going and I didn't notice any strong currents.","February 26, 2017",I Expected More,30,"Minneapolis, Minnesota",3
National Park Underwater Trail,"You can snorkel from the beach. There are informative underwater plaques describing the coral and other features. All of the reefs in the carribean seem to be less colorful now due to global warming and acid rain, but this is still pretty nice.","February 1, 2017",Underwater snorkel trail with plaques,66,"Union Lake, Michigan",5
