national_park,review_body,review_date,review_title,helpful_vote,user_location,user_rating
National Park of American Samoa,"Once you've seen a few islands, you kinda know what to expect. Dense jungle, coconut and banana palms, the occasional photo worthy view at the summit, or through the trees. Anyway, good for a short hike as not that much to do on American Samoa.","October 13, 2019",Worth a visit but not that special,60,"Auckland Central, New Zealand",3
National Park of American Samoa,"Unique park with many interesting views and beautiful scenery. Start at the visitor center, which is not particularly easy to find. If you have time, fly down to Ofu Island to see the very rugged part of the park and stay in a unique motel, far from the usual traveler.","August 29, 2019",Great Adventure,5,"Gig Harbor, Washington",5
National Park of American Samoa,"Go to the National Park information office as the staff are very helpful and there is a lot of history to learn about. (Note: it does not open on weekends) to get a basic map. The park is very lush and in places overgrown and the tracks are not always easily marked. Some of the access for the walks is near/on local villages and private land and it is polite to offer some money or ask the person if there is an access fee (it is there village you are going through). We found it helpful to have a high clearance vehicle as some access roads have pot holes. Overall nice national park, great views but overgrown in places.","August 16, 2019",Great National Park visit,79,New Zealand,4
National Park of American Samoa,"This review is for NPS visitors and those seeking junior ranger badges. American Samoa is a beautiful natural environment. The park's visitors center is excellent and the staff is first-rate. However, the park itself is not well maintained, as in, the trails are poor, dirty, and difficult to access. The only decent place to stay on the island is Sadie's, and it's not ideal. (If you have visited the Rodeway Inn at Carlsbad Caverns, you know what that is like.) This was our only visit to a national park where we felt unsafe. We had items stolen from our car and our hotel. At one point, we turned back on a trail to the marine refuge because of some gentle hostility from the locals. I understand that it's often the custom to give some money to people who live near the trail or beach you intend to visit, but I don't like having conversations with people holding machetes when I am with my kids. If you are planning to visit for the junior ranger badge, skip it. Mail in the book. Not worth the hassle of a visit. I'm sorry to be saying that about a national park.","July 29, 2019",You can mail the Junior Ranger book in - and should!,1,"New York City, New York",2
National Park of American Samoa,"We are on a quest to visit all 61 US National Parks. Our sole reason for flying to American Samoa was to see this Park, which is number 49 on our list of Parks to visit. The visitor center is very well done and the staff friendly and helpful. We are retired and not very mobile any more, so did not take any hikes, but we drove everywhere we possibly could go to see as much of the island and the Park as we could. It is a beautiful location.","July 15, 2019",Number 49 of 61 US National Parks,26,"Phoenix, Arizona",4
National Park of American Samoa,"This is a very beautiful park. If you are in American Samoa, it's a must see attraction. A beautiful drive and great trails. ","June 12, 2019",Absolutely beautiful! Well maintained hiking trails. And a great visitor center in town.,83,Thailand,5
National Park of American Samoa,Great views of the island well worth the look very nice views nice harbour worth seeing nice to see from a cruise ship,"March 28, 2019",Great views,78,"Auckland, New Zealand",4
National Park of American Samoa,"We rarely rate any National Park less than a 5, but there is cause in this case. This National Park is beautiful and lush with lots of green flowering tropical plants and flowers. The Visitor Center (in Pago Pago, not in the park) is easily accessed and the rangers have great information of the best ways to visit the park. Access to the park proper can be a bit of a challenge. There is one road that takes you to the western boundary of the park and a trailhead (strenuous) that takes you to the top of the mountain. Access to other trailheads are not easily distinguishable due to signage issues. The main road into the park proper (and to the bulk of the trails) is around the harbor, past the tuna plant and then through a small village up to the mountain pass. There is a small overlook to the windward bay and Pola Island - offering beautiful views. There is a beach trail at the end of the road (in a village) that will take you to the end of the point for a different view of Pola Island.One needs to be cautious of roaming dogs (not all friendly) and wandering passersby seeking a handout. The ""gem"" of the park is on Ofu Island - and cannot be reached in a single day trip with a return - due to commercial air travel limitations. One has to fly from Tutuila to Ta'u, and then take a ferry to Ofu & Olesega. This requires at least an overnight stay and a fair amount of planning ahead of time - don't expect to pull this off after arriving on Tutuila.The views of the night sky are spectacular and one can experience many constellations not otherwise seen in the northern hemisphere. Go to the top of the pass at night, take bug spray and enjoy the stars.It's a beautiful park, but it does have limitations.","March 28, 2019",Beautiful park.,543,"Denham Springs, Louisiana",4
National Park of American Samoa,"when you arrive here just rent a car, keep driving and taking pictures. it's an amazing island in the middle of the pacific ocean.","February 4, 2019",amazing mountain peaks,58,,5
National Park of American Samoa,Beautiful scenery and vistas. A very easy and pleasant drive. Take your time and enjoy the numerous hidden gems that you will miss if you do this too fast.,"January 29, 2019",A must do,99,"Prescott, Arizona",5
National Park of American Samoa,"We visited a few years ago, but this National Park is amazing. Full of information and once you go to the top you are rewarded with some of the most spectacular views of the area! The South Pacific is stunning, but this spot especially. Come and explore this NP!","January 27, 2019",Excellent National Park!,6,,5
National Park of American Samoa,We visited during the government shutdown so we were unable to visit the visitor center. The park was open and we drove thru parts with roads. There are hiking trails and park is lush and tropical.,"January 11, 2019",Tropical,13,"Dayton, Ohio",4
