national_park,review_body,review_date,review_title,helpful_vote,user_location,user_rating
Painted Desert,We learned the Petrified Forest is part of a larger region called the Painted Desert. It is a national park with entrance fee of $20 per car. We had the lifetime unlimited pass so didn’t have to pay. Takes a while to drive and visit the look outs of the entire trail. The visitor information center is very helpful. Blue Mesa had the most petrified wood. All the look outs had spectacular views. ,"October 13, 2019",Petrified Forest National Park,100,"Ponce Inlet, Florida",5
Painted Desert,"If you are anywhere within the area, make it a point to see this. It is incredible and breathtaking, and be sure to take your camera. And, you can drive through. There are several look-out points, and walking trails, also.","October 6, 2019",Excellent and must see!,25,"Lake Wylie, South Carolina",5
Painted Desert,"The range of vistas in the Petrified Forest National Park is incredible. We spent 6 hours travelling the 26 miles of the park due to stopping at every view point and walking almost every trail. Highly recommend the Blue Mesa, Crystal Forest and Agate House trails to give the best idea of the range of terrain. Skip the movie at the visitor centre. Take water when you walk as it is hot in the desert, even in October!","October 3, 2019","Incredible colours, variety and size!",1,,5
Painted Desert,"We didn't think we'd make it to the Painted Desert on our recent trip out west but we were pleasantly surprised how well we could view it during our excursions through the national monuments north of Flagstaff. With the binoculars we could see the vivid colors quite well even though we were probably 60+ miles away. It appeared quite vast and was certainly quite beautiful. There is so much to see in the Southwest USA and even though our trip spanned two weeks, we could only cover so much ground. We were really appreciative that we could view the Painted Desert and the 3 stars is only because we were so far away.","October 3, 2019",Admired from Afar,4,,3
Painted Desert,"We spent a week in Flagstaff and were determined to see all the sights within a couple hours' drive. My recommendation is is you are seeing the Petrified Forest and the Grand Canyon in the same trip, go to the Petrified Forest National Park first, and the Grand Canyon second. We went to the Petrified Forest the next day after visiting the Grand Canyon. It is a solid hour and a half drive from Flagstaff with a long stretch of nothingness. Make sure you have plenty of gas. It is a great destination if you don't want to walk much. They have different hiking trails at overlook points if you want to hike, but you can see everything from the car with very little walking. They offer maps and a short movie in the welcome center. They have clean bathrooms and it is a beautiful place, it just was a little underwhelming after we had just visited the Grand Canyon. I wish we had seen this in reverse order. Very interesting and beautiful scenery. it takes about an hour to drive the park if you don't spend time at the overlooks and hike.","October 1, 2019",Go see this before the Grand Canyon,0,,4
Painted Desert,"I love to travel to National Parks. Of all the ones I have visited this one is easily the top. It is a beautiful landscape that I am thankful we have preserved. It is located easily off the interstate and allows for a drive-through with multiple locations for pictures. You have to visit - also, check out the welcome centers at either end as they have fantastic presentations and artifacts. It is an outstanding opportunity.","September 30, 2019",Lifechanging,2,"Phoenix, Arizona",5
Painted Desert,"nice drive, beautiful scenery, several stops for scenic views and photos, nice walking path around the petrified wood.","September 30, 2019",finally experienced this beautiful place,116,"Greenville, South Carolina",5
Painted Desert,"It’s a nice drive and worth driving through. We were in a hurry and didn’t want to take the time to walk. The walks were all shorand would be a nice break after driving for hours. The petroglyphs are really no longer visible. Many people were taking pictures and trying to convince themselves they could see something. I’ve seen better elsewhere. But, overall a nice scenic drive.","September 27, 2019",Nice,2,"Mesa, Arizona",3
Painted Desert,"I love our national parks and each one has its own story. From the pullouts to view the desert landscape, the petroglyphs, forest of petrified wood to the visitors center, a fantastic time is to be had at each place. On one side of the interstate is the desert and then the other side has the forest. You can spend as much time as you like viewing the surroundings. There is a fee unless you have a pass, which I recommend.","September 20, 2019",Third Visit and Still Impressive!,40,"Asheville, North Carolina",5
Painted Desert,This is adjacent to the interstate. I think this is a must stop. There is a fee to pay and then you can drive through both areas of this national park (petrified forest and painted desert). You can go out the back gate and this will take you back to the interstate. If you are looking to buy some petrified wood sales start right outside the back gate and more is in the nearby town.,"September 12, 2019",Outstanding,267,"Charleston, South Carolina",5
