national_park,review_body,review_date,review_title,helpful_vote,user_location,user_rating
Pinnacles National Park,"Went with my husband for a day trip and we thought Pinnacles was stunning!! We did the Condor Gulch - High Peaks Loop which took about 4 hours with a stop for a picnic. We saw really cool caves, got some elevation, squeezed through tight passes, and looked at some amazing rock formations. ","October 12, 2019",Gorgeous and amazing for hiking!,4,"San Francisco, California",5
Pinnacles National Park,"We stayed for three nights in our hired RV; the only down side of the camp ground were the toilet and shower facilities which require an upgrade plus the level of cleanliness requires attention.Pinnacles is a beautiful National Park on a wonderfully small scale; we enjoyed long hikes and picnics and, being the low season, we were fortunate to meet very few other people on the trails. How the last reviewer saw it all in half a day I can’t imagine.The condors are magnificent, what a success story. I had wrongly thought I’d seen them previously but they were buzzards; once actually in the Pinnacles, at elevation, we were fortunate to spot two or three condors in flight and/or resting on the rock face.Fantastic place but my tip would be to go in late September when it’s not crowded.","October 8, 2019",Tranquil and stunning,3,"Cornwall, United Kingdom",4
Pinnacles National Park,"There were some interesting things to see at Pinnacles but it falls short in my mind of what I consider a national park. We visted the east side of the park and saw everything that was of interest to us in half a day. The pinnacles and the cave were the highlights but it didn't have that awe-inspiring feeling that I typically get when I visit other national parks. We did see about 10 California condors during our visit however they were all hanging out in fields along the road as we entered the park and not flying which I would have liked to see.The park is remote and requires driving through a isolated landscape. The drive isn't bad but I didn't find it particularly scenic either and the admission price seems kind of absurd relative to what other parks charge and offer.We stopped on our way back from visiting Sequoia/Kings Canyon so it wasn't too far out of the way. I wouldn't suggest anyone make a special trip to see this park though because it just doesn't have the ""WOW"" factor I would expect.","October 6, 2019",Not My Idea of A National Park,112,"Freeport, Pennsylvania",3
Pinnacles National Park,"This park seems like a part time park. That's not necessarily a bad thing though. The rangers and staff are extremely helpful and very little traffic when we were there. We hiked the Bear Gulch Cave trail to the reservoir. The caves were fun, but being 6', 250lbs, and old, there were a few tight spots and I had to remove my backpack only twice! Be sure to bring a flashlight as it was very dark in a few places. When you exit the final staircase there is a beautiful reservoir. We also hiked a bit of the Old Pinnacles trail but didn't like it so we returned to our car.","September 4, 2019",Newest NP,5,"California, Kentucky",4
Pinnacles National Park,"First off, this park is really remote. There is almost nothing around it, and it takes a while to get to either the East or West entrance. The drive around the park on either side is pretty, but short, nothing spectacular compared to the other National Parks we have been to.If you like to hike, this park is for you. There are all kinds of options with different destinations to see and snap. For us, we tried one hike, but with the temperatures hovering in the 100 degree range, we abandoned it early on.","September 4, 2019","Not my favorite park...but if you like to hike, its worth it",45,"Las Vegas, Nevada",3
Pinnacles National Park,"The amazing Pinnacles National Park offers a variety of landscapes from rocks and caves to meadows and rivers, mountain top lakes and hiking trails galore! There is something for everyone to appreciate here :-)","August 24, 2019",The variety of beauty,1,,5
Pinnacles National Park,"We traveled to this park during the week in August. We got a Google alert that the visitor's ctr was closed but we did not anticipate this to be a problem. When I say the drive was harrowing, I am not joking. We were the only ones on the road for well over an hour, past huge farms, oil rigs, no signs of civilization. Also no cell service whatsoever. The road to the park is winding, and in many spots one lane. I traveled with my two adult sons and I was feeling that it was a mistake given the remote feel. When we finally arrived at the park, we were the only ones there! Maybe it is just the city girl in me but this was a big red flag. We used the bathrooms reluctantly because no one really wanted to get out of the car. We did not hike although it looked great. I am writing this review just so that you know what you are getting into. I was very uncomfortable being so isolated and with no cell service. I have not idea what you would do if you had an emergency of any kind. We did pass a winery at some point so I guess you could walk there if absolutely necessary. FYI, it would have been $30 to enter the park if someone was at the gate, but I guess the visitor center being closed meant no staff at all so if we stayed it would have been free. But to be honest, you could not pay me to stay in such a remote location with no one around.","August 15, 2019",Gives new meaning to remote,11,"Fairfield, Connecticut",3
Pinnacles National Park,Beautiful National Park. Rangers at the Visitors Center were very helpful. We made the one hour hike through Bear Gulch and really liked the caves. Highly recommend a visit.,"August 8, 2019",Great experience,9,,5
Pinnacles National Park,"First of all - this is in a remote area - so do NOT run out of gas - fill up your gas tank before you get here because there is nothing around here. Our family of adults hiked this easily - my elderly mother would have had difficulty; it is a moderate hike. We came in the east side - and drove up to the camp store (very nice) and then drove up to the visitor center (also nice - with bathrooms) - and then drove up again less than a mile to where the walk started (bathrooms!) - it is an easy walk to the beginning of the path from the visitor center, so you could just leave your car there. One person who could not hike with us stayed at the visitor center and rested in the shade. We loved the diversity - hiking through caves and then hiking up high and looking down over canyons. Worth a second trip! Saw very few people.","July 24, 2019",Very empty - great hike,21,"Andover, Massachusetts",5
Pinnacles National Park,"We visited Pinnacles NP for less than one hour due to other travel plans, however, we plan to return and spend at least a half-day there. Unusual formations and forested beauty are an oasis in the middle of farmlands of the Salinas Valley and adjacent.Rangers were very friendly and outgoing. None of the hectic pace of the larger national parks like Yosemite or Yellowstone or Volcanoes. Visitors seemed relaxed and were not rushing around. Good camping and picnic sites observed. Small but reasonably equipped park store.","July 22, 2019","Moderate hiking, caving and spectacular rock formations in an easygoing National Park environment",8,"Los Angeles, California",5
Pinnacles National Park,"Pinnacles is one of the lesser national parks. It is rather remote, and pretty darn hot during the summer.That said, a “lesser” National park is far better than most other recreational places you might visit.The major event here is hiking. There are plenty of trails most of which lead to the pinnacles. The campgrounds are nice, and one of the campgrounds even has a swimming pool. There is a small camp store in the small visitors center. There is also a small nature center, but unfortunately in the summer it is only open on weekends.If you are not hiking, there are places to stay in Hollister which is about 45 minutes north of the park, and I’m sure plenty of other places, but none of them are very near the park entrance.","July 12, 2019",One of the lesser national parks ,119,"Roanoke, Virginia",4
Pinnacles National Park,"This is a great hike, requires a little scrambling in some places. We used the west side entrance which allows you to go to the peak and take the tunnel for a nice loop back down. Fairly strenous but worth it. As ypu head up from the west side, take the tunnel entrance when you see it about 2/3 of the way up and then after the peak follow the path for an easy descent back down. The bat caves are cool, a little overated, just check to see that they are open before you go. ","July 2, 2019",Fun Hike,8,"Pompano Beach, Florida",5
Pinnacles National Park,"This place has some beautiful rock formations and trails. I only did the trail to the balconies cave and some of the balcony cliffs. The caves are quite a workout and I would not take elderly people through it. It certainly scared my mother and she had some trouble getting through it, but she was fine afterwards. Climbing parts of the caves and getting down was quite a workout so be prepared. However, it was quite fun. Definitely come prepared and bring plenty water, snacks, and lunch. Also bring some flashlights and batteries as the caves are pitch black. Good hiking shoes are a plus. 30 dollars for admission at the gate so bring exact cash and a pen. Emergency supplies, sun block, hats, sunglasses, and first aid kit are a good idea too. Overall a good experience if you like to hike and exercise.","July 2, 2019",Unique park that was quite a workout,7,,4
Pinnacles National Park,We hiked in January when it wasn’t too hot. We went into the east side of the park which makes for a long drive. Stop and buy food/ drink before you get to the park as choices are very limited once there. We did an eight mile loop up to the Pinnacles which are fun to climb - like a scramble at parts- and there are railings at the scariest parts. Making to the top is probably too challenging for young children but they would enjoy the bat cave ( you need to check first to see if the bat caves are open),"July 1, 2019",Worthwhile hike,24,"Berkeley, California",4
Pinnacles National Park,"On a trip to the Big Sur, found this park on Google Maps by accident. Took a gamble and glad we made that choice.Few notes:1. The “west” visitor center is closed on Fridays. Use the visitor center on the east side. This appears to be the main one.2. There are only 3 parking lots in the east side. We barely found a spot for our truck at 11am on a Friday 11am. So arrive early if you can.3. Carry lots of water. About 2 liters per person to be moderately comfortable. I managed with less than a liter but I also took in about a gallon before the hike.4. Wear light clothing, sunglasses, sunscreen, snug fitting hat (the wind can knock it off your head).5. If you’re planning on doing the High Peaks Trail between Scout Peak and Hawkins Peak, do NOT carry a large backpack. The trail can be extremely narrow.Time 12:00pmSo we started from the Bear Gulch parking lot after filling our water bottles and using the restrooms. There was an option of either the Condor Gulch Trail or the Moses Spring Trail. We did the latter.Time 12:10pm0.5 miles on this trail and ran into a marker post splitting into the High Peaks Trail to the right. The Reservoir/Caves part of the trail was 0.7 miles away and going on the High Peaks would be another 1.9 miles. We went with the shorter option.It’s easy to lose track of the trail due to numerous spur trails for rock climbing. Most of them are marked with a carabiner logo. The trail leading to the cave was closed but seemed like there was another trail to yet another cave. As mentioned above, lots of spur trails.Time 12:30pmFound Moses Spring and then made our way up narrow stairs with hand rails to the Bear Gulch Reservoir.Time 12:40pmSaw some water snake swimming. Easy up to this point with some minor elevation gains but mostly downhill. The stairs leading to the reservoir was where we gained most of the vertical losses. About 500-600 elevation gain to this point.If you try to go clockwise around the body of water, you’re going to run into climbing trails and onto the Chalone Peak Trail. This veers south and away from the rest of the park. Probably no condors in that direction. It was only 30 mins of walking so far with plenty of breaks.Time 12:56pmTook the 0.4 mile Rim Trail leading north. Planned on taking a right at the split which would get us back to the parking lot in 0.8 miles - probably all downhill. We got a good view of the “Monolith” boulder on this trail.At the split we latched on the 1.5 mile long High Peaks Trail instead of heading back. A gradual incline and some good resting spots. A long stretch in the brutal sun. The final part of this trail is littered with switchbacks until the very top.Time 1:50pmReached the top and rewarded with a bench and a restroom. Scout Peak is just south of here.Time 2:05pmAt the top, we had the option to take either Juniper Canyon Trail (0.6 mile) to Tunnel Trail (0.6 miles) or continue on the High Peaks Trail (0.7 mile). The condors are visible on the latter trail so we went with that. There were signs warning on upcoming “narrow” segments.Time 2:41pmFirst “narrow” segment. Crudely made narrow stairs on the side of the cliff with handrails for support. Followed by more slightly wider steps this time without rails. Followed by hand carved steps wide enough for one foot only but hand rail support which is needed.Time 2:49pmReached the top of the “High Peaks” section. Condors galore.Time 2:59pmHeading down still in the same clockwise direction. Crossed a deep ravine on a sturdy looking bridge but had to duck as the clearance was fairly low. Followed by a hand carved notches on a cliff wall wide enough for a single foot. Going downhill on that would’ve been impossible without the hand rails. If we had done the Juniper Canyon to Tunnel Trail route, we would’ve skipped all this and met at the bottom. Very easy all downhill since the scary notch steps.Time 3:37pmHit the split to Condor Gulch Trail which leads to the Bear Gulch parking lot. Continue on the trail and we would hit Bench Trail. Decided we saw what we came for (ie. condors) and took the 1.7 mile hike down.Time 3:55pmReached the Overlook Point which is halfway on the Condor Gulch Trail to the parking lot.Time 4:30pmGot to the Bear Gulch parking lot. Temperature was 92 degrees.Final Remarks:Total hike was 3.25 hours if we exclude the breaks along the way.","June 23, 2019",Surprisingly Good,17,"Minneapolis, Minnesota",4
