national_park,review_body,review_date,review_title,helpful_vote,user_location,user_rating
Rock Harbor,"My wife and I spent five days on the island and we spent most of our time around rock Harbor. It had two reasonable restaurants, a nice campground, interesting hikes and a lot of very nice people.They also have a resident bull moose, Bruce the moose, who we ran into in one of the campgrounds. We got some great photos of him.","September 12, 2019",Great base for the island,423,"Wellfleet, Massachusetts",5
Rock Harbor,"This is where most of the ships to the island dock. It has the National Park Visitor Center (not much), lodge, store, and restaurants. It's also where most of the shorter day hikes start. ","August 20, 2019",The center of tourist activity,692,"Raleigh, North Carolina",4
Rock Harbor,I highly recommend a visit. This is a very rustic peaceful and off the grid place. We spent only one day. I suggest at least 3-4 days. We were lucky enough to see a magnificent moose. ,"August 19, 2019",Loved the Island,6,,5
Rock Harbor,"Rock Harbor is the jump off point for a true nature adventure. Isle Royal is a fantastic natural beauty. From here, you can begin your hike, water taxi to more remote areas if the island, or simply stay at the lodge and book an excursion on the Sandy, rent a kayak, or read out on the deck. This is Michigan’s only national park, and although not often visited, it is a not to miss adventure. If you are bucket listing national parks, don’t overlook this one. Moose, bald eagles, and abundant trails await.","August 9, 2019",Your adventure to a fantastic experience begins here,7,"Shelby Township, Michigan",5
Rock Harbor,"My wife and I just returned from a 3 day, 2 night stay on Isle Royale and it was easily one of the top vacations we have ever had. Getting there is no joke - we took the ferry from Copper Harbor and it was about 3.5 hours on the way to Isle Royale and close to 4 hours on the way back. I would definitely recommend dramamine or the behind-the-ear motion sickness patches if you tend toward queasiness. We were very impressed with how smoothly operated the ferry logistics ended up being, and Rock Harbor is absolutely beautiful. The staff we interacted with at Rock Harbor were all very pleasant. Gift shop / trading post is well stocked with items you may have forgotten / need on the island. We aren't backpackers or campers, so lodging was necessary - we stayed in a housekeeping cabin and while expensive, was definitely worth it. We would absolutely love to return - what a gem this place is!","June 18, 2019",Unforgettable Trip!,12,"Pittsburgh, Pennsylvania",5
Rock Harbor,Rock Harbor lodge is set on a serene and beautiful part of Lake Superior. I suggest the lodge lakeside rooms (lower floor has deck right by lake). Staff provide excellent customer service. Rooms are modest but adequate. This is a remote island and lodges old. We did have a few issues with heat and hot water being out briefly but staff were diligent in fixing ASAP.,"June 14, 2019",Great service! Unbelievable view,11,"Rochester, Minnesota",4
Rock Harbor,"We are in the process of planning our 4th trip to Isle Royale National Park, so that should tell you how much we love this place. Rock Harbor is the central hub of the island. We have stayed at the lodge and in a house keeping cabin. I think all lodge rooms have a view of Lake Superior. The rooms aren't fancy and they aren't cheap, but they provide everything one needs. If you are coming to Rock Harbor, you are probably there to enjoy the scenery anyway, so who needs a fancy hotel room? Housekeeping Cabins are nice as well as they include a small kitchenette and a little more floor space to spread out.Activities include miles of trails to backpack or day hike, boat tours on the Sandy, canoe rentals, and fishing excursions. If you enjoy outdoor activities, Rock Harbor is a great place to visit.","May 22, 2019","If you enjoy national parks, this is one you won't want to miss.",8,"Newburgh, Indiana",5
Rock Harbor,"Rock Harbor is quite long. The water near the docking area is actually called Snug Harbor and it is here where you will find the NPS information center, a souvenir/convenience store, canoes and kayaks to rent and paths leading to huts for backpackers, trails for everyone, path to the plane dock and beginning of a couple trails. Rock Harbor has a lodge and two restaurants. It might take you a day to get your bearings, but once that happens, you will find all you need in this fairly compressed area.","September 18, 2018","Some civiliation, some ruggedness",131,"Niles, Michigan",5
Rock Harbor,"A number of choices for 2, 4 and more mile hikes. Also canoes and kayaks are available. The Grill was reasonably priced, somewhat better than the restaurant, with good service. Limited WiFi service is available in the Guest Lodge, but don't expect any cell service.","September 16, 2018",Great opportunities for hiking,21,"SE Michigan, U.S.",4
Rock Harbor,"My review is about the Rock Harbor area as a whole, I have separate reviews of the lodge and the two restaurants. If you are not backpacking, this is the place you want to be, or if you just need more civilization during your trip. It can be anything from a near resort experience to a base camp for daily hiking and excursions, which is what we used it for. There are enough trails originating here to keep you busy for several days if you are an avid hiker, and if you utilize the water taxi, rent a canoe or kayak, or take advantage of the tours offered by the lodge you can expand the amount of activities from the Rock Harbor base by a factor of three, easily. For some reason the lodge did not mention the excursions they offer when we checked in - ranger led hikes or visits to naturalists in other areas of the island, and we had to ask. There's definitely some issues with the office staff and lodge housekeeping staff, but everything else is wonderful. They offer evening informational programs and even had a band performing on one of the docks one night. We were there three nights and really enjoyed our Rock Harbor experience.","August 24, 2018","If you are not backpacking, this is the place to be.",320,"Maple Grove, Minnesota",4
Rock Harbor,"Not a family friendly place I must say. The GM of the Lodge lacks tact and customer service focus. Don't skip rocks in ""his private harbor."" The GM, Kim Alexander, will fly out from his closed door office to claim it is his private dock and tell you with stern attitude that there are 1000s of feet of shoreline to skip rocks. There are no signs anywhere that distinguishes areas that are ""private"" and that which is national park- it is all the same from appearances. Nothing, no signs explain a boundary of private owned property and NP property. Kim’s claims of private property boundaries are a bit confusing. From The standpoint of a 10 year old boy who sees rocks and a huge area of water, skipping rocks is the thing to do. After the first gruff warning, we moved over thinking we were off of Mr. Alexander’s private location. We thought we had moved over enough in the harbor, yet he flew from his office a second time to gruffly stake claim to it all. The NP conducts Ranger led tours that leave from Kim’s “private” section of the park. Unsure how the NPS tolerates that kind of behavior. I was on the island 3 days and saw the GM twice, once when he flew out of his office- I happened to be at the desk to witness his angry exit outside to reprimand my son for skipping rocks in the only harbor that includes the NP office and the Lodge. Another when he walked thru the dining area without a smile or desire to make eye contact with patrons. His mission to speak to a staff member, speaking to no guests. As a GM shouldn't you be checking on guests with a smile as you are walking about? Perhaps my expectations were too high... to be the only lodge on the least visited NP island, wouldn't you do all you can to make your guests want to return? I suppose when you are the only one that the NPS looks to to provide lodging at Isle Royale, you can throw your weight around. Just did not sit well with me. Lodging was nothing special and served its purpose. It was clear that these rooms are closed most of the year with no real effort made when reopening for the Summer season. Thinking next time we will consider tent camping and bypass this Lodge. ","July 27, 2018",Lodging Disappointing ,5,,2
Rock Harbor,"We took the Isle Royale Queen IV over from Copper Harbor and had a smooth ride both ways. On the way there, the waves were projected as being 0-2 feet tall, and on the way back, they predicted 2-4 foot tall waves. The boat was noticeably rockier on the way back, but no one was seasick either time. Rock Harbor is a small area of the island that offers electricity and running water. There is a ranger information center and a store that sells food and supplies that aren't as outrageously priced as we'd feared. There are docks where people can pay to dock their boats overnight. There are two restrooms in the area and two connecting restaurants in addition to a screened-in camp area, cabins, and the lodge. There are a number of trails that leave from the area that are absolutely beautiful. Some are lined with wild flowers, others go over bog. Some go through pine and aspen forest and emerge on rocky shores. It's breathtaking.The park service employees were amazing, kind, and helpful. We had nothing but positive experiences everywhere but in our room. While the room has beautiful views and offers a hot shower and electricity, it's not well maintained. The rooms stink heavily of moth balls. There are no fitted sheets on the bed. The comforter was stained with boot prints. There was mildew and mold in the bathroom, and it was difficult to get the tub faucet to stop dripping. The radiator was difficult to keep switched off, and parts of it along the baseboard fell off and were held on by old duct tape. Paint was chipping on the doors (lead-based, I think). There was no bathroom vent, and the window had a screen on the inside so you couldn't open the window for ventilation. That said, the lodge is the only place to stay on the island with hot water and electricity in the rooms, so we'd stay there again. However, I do think it's appalling that they charge about $300 for rooms that are so filthy and poorly maintained. I get it's a remote location, but this is the type of place you would walk out of if it was located anywhere else.","July 22, 2018",Excellent Destination - Lodge Not So Much,104,"Des Moines, Iowa",4
Rock Harbor,"We stayed here on a sailboat and enjoyed the nearby barbeque area, caught a huge lake trout, and liked the nearby trails. Nice gift shop.","July 4, 2018",nice marina,63,"Bozeman, Montana",4
Rock Harbor,My sister and I took the boat from Houghton to Rock Harbor on Isle Royale and really enjoyed both the ride and the visit. The ride over was a little rough due to weather but that just made it more fun and exciting. The ride back was smooth. This is a beautiful place. Rooms at the Lodge are basic but clean and comfortable; no TV. But who needs a TV with the beautiful scenery and the lake right outside our door/windows. Good food at the restaurant and everyone was very helpful - brought our bags to and from our room to the boat. The walk from boat to lodge is pretty and not too long - if need be they will give you a ride in their golf carts.,"February 26, 2018",Beautiful Park & Great Boat Ride,62,"McKinleyville, California",5
Rock Harbor,"There is quite a bit to do in a remote place....there are trails for hiking and backpacking, beautiful views, motor boats or kayaks or canoes can be rented. I guess there are tours to be reserved and taken in season. The are ranger programs to see as well. We plan to return in 2018....the Island has cast its spell on us...","September 27, 2017",Love it,465,"Pahrump, Nevada",5
Rock Harbor,Isle Royal is an awesome unspoiled place and one of the best National Parks. The boat ride from Cooper Harbor is a 3 hr ride across lake Superior. It's an adventure in itself.,"September 14, 2017",Awesome Park,105,"San Clemente, California",5
Rock Harbor,"This is a picture of one of the 2 boats from Copper Harbor MI. Park is beautiful and remote. Nice trails for hiking, beautiful vistas and wildlife. Worth the trip.","September 13, 2017",Very Remote National Park,28,"Lansing, New York",3
