national_park,review_body,review_date,review_title,helpful_vote,user_location,user_rating
Rocky Mountains,"My wife and I drove from Boulder to Estate Park and then through the Rocky Mountain National Park recently. There were many impressive scenes. As we drove higher and higher (up above the tree line at about 11,000 feet), the road stopped having a rail along the right side of the road, and if your car went a foot or two off the road to the right, you would tumble down the mountain to your death. It was pretty scary at times. I think it was the high point at the Alpine Lodge in the middle and we stopped, along with many others. The restaurant was nice and they had many great gifts at the gift shop. One of the problems was that we were told to drink a lot of water to avoid the altitude sickness and we had to go to the bathroom a lot and many of the ""bathrooms"" in the park were holes in the ground which smelled terrible. We went by the Continental Divide where the water to the east flowed east and the water to the west flowed west. I was disappointed in that many other mountain scenes I have seem were more beautiful.","October 7, 2019",Rocky Mountain National Park,168,"Cincinnati, Ohio",4
Rocky Mountains,"My wife, two year old son, and I live in Denver but play in the mountains. We've lived here for five years and are still exploring the Rockies almost every weekend. Estes Park is the Eastern entrance into the Park while Grand Lake is the Western entrance. The best hikes in my opinion are off the Estes side, but if you want the best chance to see moose then go to the Grand Lake side. Outside the RMNP, you can drive west down I-70 or take 285 into the mountains. Mt. Bierstadt is the closest 14er to Denver and probably the most crowded because of it's proximity. Grays & Torreys (14ers) are further west and offer amazing 360 views. I know everyone, including myself, want to climb the 14ers, but don't forget there are hundreds of 13ers out there that offer the same breathtaking views and with less crowded trails. The Rockies are an amazing playground and offer something for everyone. Don't be afraid to go and explore!","October 3, 2019","Best playground in our ""backyard""",2,"Denver, Colorado",5
Rocky Mountains,"this is a must see for everyone in their lifetime. I have been 4 times now and could go back every year. It's a different experience each time. I always thought I was a beach girl, but the mountains have definitely stolen a piece of my heart. ","September 25, 2019",Must See!,4,Ohio,5
Rocky Mountains,"The Rockies are always spectacular, especially this time of year. The Aspens are starting to turn yellow and the animals start to migrate down for the winter, so we saw lots of elk today. The skies are just a incredible shade of blue and the air is crisp and clean. It’s a place everyone should visit at least once and bring your kids. I recommend fall because the temp is just right for hiking, biking and a campfire at night. The camping is great in this area and it’s close to other great parks too.","September 21, 2019",Spectacular vistas,3,"Asheville, North Carolina",5
Rocky Mountains,"I cannot say enough about this park. We stayed in grand lake and visited 3 times in 4 days! If you are there longer than a day, go ahead and get the week pass. The elk and moose viewing were amazing. We will return next year!","September 21, 2019",Beautiful scenery!,1,,5
Rocky Mountains,"The views are fabulous, the air is pure, and the hotels are wonderful. I highly recommend this as a vacatioon spot.","September 18, 2019","What a wonderful place to visit , again, and again, and again.",0,,5
Rocky Mountains,"This is a beautiful park to visit, justifiably famous for its mountain scenery.Whilst you could get an overview of the park in a single day, better to plan for two or more, especially if you want to enjoy some hiking.Good to start with a drive up to the alpine visitor centre and to the highest point of the park at 12,000 feet. Couple of short (breathless) walks available close by to admire the ice capped tops of a number of mountains.If you're feeling adventurous drive up on the single track one way original Fall River road. Not for the fainthearted with plenty of twists and turns and sheer drops but the best for scenery.The visitor centre can help you decide best places to visit depending on your interests. Be warned if you want to visit the super popular Bear Lake and Glacier Gorge area in the middle of the park you need to aim to arrive by 8am to nab a parking spot or perhaps 9 if you're happy to do the park and ride, depending on the time if year. This visitor centre (there are several more in different parts of the park) also has an excellent gift shop and cafe. IMO Bear Lake is a great spot as there are shortish hikes that are not too steep or difficult to a number of beautiful lakes. You can plot your own path to take in around a half dozen, plus some small falls in a loop of around 9 miles plus. However, you definitely won't be alone! If you can't get to this area, don't worry too much though as there are so many other hiking options. We stayed in Boulder, which is a great small city but as we spent most of our time in and around the park we wish we'd stayed in Estes Park and saved an hours drive each way. Estes Park also has more of an informal holiday vibe with a cheaper choice of eateries.If you are in Boulder though make sure you enter or return from the park at least once on the more scenic, but slightly slower route 7.We had a great couple days in the park with no rain, but remember it is much chillier in the park with the higher altitudes. Our only slight disappointment was that we didn't see much wildlife: a few deer, elks and marmot.","September 16, 2019","Beautiful, scenic path with great hiking",546,"Chichester, United Kingdom",5
Rocky Mountains,"The visit carried out by Super Vacations was well planned and executed by an excellent tour guide, we had a very enjoyable time! ","September 9, 2019",Visit to Rocky Mountains,0,"Pretoria, South Africa",5
Rocky Mountains,"The National Park was the first of many on our visit. We had obtained an annual Pass for just under $100 and had to show this and photo ID to access the park. We had a wonderful two hours driving the Trail Road stopping periodically to stop to take photos. Every bend in the road gave yet another marvellous view. We stopped at a station on route for a bite to eat, Situated at over 11 thousand feet, it fair took my breath away in more ways than I would have expected. It was an enjoyable visit that I can recommend.","September 5, 2019",Delightful travel through the Rocky Mountains,295,"Farnborough, United Kingdom",4
Rocky Mountains,Absolutely stunning. No better sight seeing or experience than to see the amazing natural wonders the mountains are,"September 5, 2019",Vacation to Rocky Mountains/Estes Park,16,"Galesburg, Illinois",5
Rocky Mountains,Took a day drive through the park and it’s beautiful. I don’t remember the name of the road but it was the scariest road I’ve ever driven. Shear drop offs and no guardrails. The road takes you above the tree line. Just make sure you have enough time to stop at all of the viewpoints.,"September 4, 2019",Awe inspiring!,39,"Upland, Ca",5
Rocky Mountains,A gorgeous park. Originally i had no plans except to see the park. Once there i saw a tour and followed them. How lucky! We drove up a tiny and scary mountain path that was quite fun. It leads to top of the mountain. Chilly in August. Good Wildlife along the way. Breathing was a bit uncomfortable thus the can of oxygen. One day was enough but they do let u camp there if u want,"September 3, 2019","Beautiful Vistas, But Breathing Was Tough",14,,4
Rocky Mountains,Take something to drink & eat on your drive up the mountains. It was 85 degrees when we started at the bottom & only 41 degrees near the top. We saw herds of elk & the scenery was breath taking. Beautiful!!,"September 3, 2019",Unbelievable scenery,0,,5
Rocky Mountains,Excellent views on drive from Denver to Durango. Took 6.5 hrs from Denver to Durango to drive. Well worth the drive so beautiful Gods Country!,"September 2, 2019",Vacation,11,"Clermont, Florida",5
Rocky Mountains,"Wow. Just wow. Beautiful drive, stunning vistas. Well worth the time to drive from Denver. You should definitely bring a jacket even on a sweltering day because it is cool at the top. We saw Deer, Marmot, Elk (and apparently got WAY to close according to Park Rangers),only saw a full rack male elk in the distance at Visitor Center at the top. But saw about 50 females in a herd near the road. They climbed over fences and blocked the bathrooms. Stunning views.","August 30, 2019",Revisited after 25 years. Still beautiful.,0,,5
Rocky Mountains,"Cannot even explain how beautiful. We drove to the top, Alpine Visitors Center and hit stops and trails on the way. I had a little trouble breathing due to the altitude but my husband did fine.","August 19, 2019",Beautiul!,1,,5
