national_park,review_body,review_date,review_title,helpful_vote,user_location,user_rating
Sequoia National Park,"Sequoia National Park was a humbling experience. The massive sequoia trees are breathtaking, but besides their physical beauty, they compel you to reflect on the brevity of life. The General Sherman was a seedling sometime between 700 BC - 300 BC. You’re literally walking around living things that were around when Ancient Greek philosophers and ancient Babylonian kings were alive. Our lives are nothing more than blinks compared to the lifespans of these giants.  ","October 17, 2019",An American Must-See,0,"Glendale, California",5
Sequoia National Park,We were absolutely wowed by this national park. Easy to navigate with safe roads. Staff were friendly helpful and informative. We followed one road that took us to most of the highlights. It wasn’t busy at all. We got to see a shy bear too! We did Yosemite the next day but enjoyed sequoia much more with Moro Rock being the highlight. The roads were much better and less busy although there are different things to see. ,"October 11, 2019",Enjoyed much more than Yosemite ,141,"Southampton, United Kingdom",5
Sequoia National Park,"Sequoia National park may not Be as Famous as Yosemite But Has Just as many Scenic views , Mighty Redwoods and Major Rivers .. Sequoia is actually the hidden Gem of the Parks .. As much Pure Nature with only a fraction of the people and cars.","October 10, 2019",As Good as Yosemite National park,14,,5
Sequoia National Park,Nothing beats the serenity of sitting in the middle of giant sequoias. What an outstanding national park. We are so lucky that it has been preserved for all of us. Be sure to visit!,"October 6, 2019",GORGEOUS!,95,"Las Cruces, New Mexico, United States",5
Sequoia National Park,If you are in the area this park is not to be missed. The age and size of these trees is a sight to be seen.,"October 6, 2019",Natural Wonders,53,"West Des Moines, Iowa",5
Sequoia National Park,We spent a day in Sequoia national park and a day in Kings Canyon. Absolutely beautiful- walked by the river in Kings canyon and drive the scenic byway. Dramatic and beautiful the sequoias are amazing.,"October 3, 2019",Fantastic,42,"Croydon, United Kingdom",5
Sequoia National Park,"Beautiful hiking, huge trees, and even a bear sighting! Sequoia is my favorite national park near the LA area!","September 30, 2019",Escape from the city,14,"Thousand Oaks, California",5
Sequoia National Park,Went here today after a 4 and a half hour drive and it was worth it. Got to see several Sequoia including the General Sherman tree which was worth seeing.,"September 26, 2019",Great to Visit,206,"Houston, Texas",4
Sequoia National Park,Not suitable for large Motor Homes or RV .Very few pull through spots . Roads are narrow and difficult to navigate in a 40ft bus.Flushing toilets . No showers on site .Great location for star gazing . Dogs are allowed in the park but only anywhere your car is allowed per park ranger . Troll complained about our Bully dog in parking lot the rangers were nice and explained the rules..... to the old troll .,"September 21, 2019",Azalea campground,7,"Oklahoma City, Oklahoma",3
Sequoia National Park,This place is stunning. Bigger than we’d imagined. Go see it for yourselves. You won’t be disappointed. The kids loved the trees & the waterfalls. The air was pretty thin around the Sherman tree trail so we were all out of breath even considering we are a young fit & healthy family. ,"September 21, 2019",Lovely day out,7,"Norwich, United Kingdom",4
Sequoia National Park,Touring this park isjust relaxing. Need to pick your time when to come. It is very congested during holidays. We have came then and thru middle of week. Very different.,"September 3, 2019",Want to feel small,3,"Brandon, Mississippi",5
Sequoia National Park,"Fabulous visit to Sequoia National Forest. Bucket list accomplishment to meet General Sherman, the world's largest tree. The Park was crowded, so parking was tricky and trails harder to access, but the shuttles make it all a bit easier. A scenic drive and great views.","September 3, 2019",World's Largest Tree,1,,5
Sequoia National Park,One of the most amazing places I have ever been to. It’s a must visit place for all of the family. Take few days because this place is huge.,"September 1, 2019",Amazing ,4,"Los Angeles, California",5
Sequoia National Park,"This forest is beautiful and cooler as you go up the mountains-literally with the temperature and the view too. The road is very curvy, and I was slightly car sick while we went through, but it was such a unique experience. The trees were huge and the views were amazing. Skip the Giant Tree Museum. The trees are giant, the museum is TINY and just explains why they changed the way they thought saving trees and using fire to help. The parking at the museum was hard to find. I would go to a different spot to park and then use the free shuttles to get around. ","August 26, 2019","Winding roads, pretty trees",6,,4
Sequoia National Park,"Take your time to spend a day in this park and enjoy the may different views, the nice temperature (much shadow) and of course the giant trees. Must visit when you’re in the area","August 21, 2019",Must visit,15,"Amsterdam, The Netherlands",5
Sequoia National Park,An amazingly beautiful place. Trees are magical. Nice walks through the forest and great sightseeing spots.,"August 20, 2019",Beautiful ,3,"Trim, Ireland",5
Sequoia National Park,"Sequoia park has the biggest Sequoia trees in the world. Up to i325 feet high, and many as old as 3000 years. Easy to see, and very good accommodations inside the park. West side of the Sierra Mountains, easy access from Fresno, California.","August 20, 2019",Big trees,51,"Scottsdale, Arizona",5
Sequoia National Park,"Exquisite Day in gorgeous surroundings. Our family got to the Park early (8a) and it was quiet and GORGEOUS!!!!! When we left at 3p the line was a mile long to get in, also all the parking lots were full. So GO EARLY. General Sherman (world's largest tree) is worth the trip. we will return in ""off"" season.","August 19, 2019",Gorgeous Park,9,,5
Sequoia National Park,"We were beyond impressed with the beauty, splendor, and accessibility of the park. The ranger talk was most informative and dramatically presented! The trees are beyond awesomeness. Beautiful Beautiful Beautiful ","August 11, 2019",Phenomenal ,92,"Clyde, Texas",5
Sequoia National Park,Adjectives don’t do justice to this park! We went two days. The first night we were there to experience the night sky which was literally breathtaking and we came back the next morning and planned on sending 4 hours in the park but spent 6 because we wanted to see more and more. We should have allowed more time but we did this as a day trip while visiting family in Mission Viejo. We had a nice lunch from the grocery at Lodgepole. And we shopped in the visitors centers. The sequoias are awe inspiring. You know they are going to be towering but just to be there seeing them is fantastic!,"August 9, 2019",The best part of our vacation!,8,"Virginia Beach, Virginia",5
Sequoia National Park,Family Vacation with my adult children... so Breathtaking & unbelievably beautiful nothing like I have ever seen before!!,"August 7, 2019",Vacation,1,New Orleans,5
