national_park,review_body,review_date,review_title,helpful_vote,user_location,user_rating
Theodore Roosevelt National Park,"This park had us singing. Beautiful walking trails and great drive even though a portion was closed. At this time of year, we had some areas to ourselves. Watching the sunset is now a cherished memory. Be sure to take time to watch the antics of the prairie dogs.","October 16, 2019",“Where the Buffalo Roam”🎶,8,"New Orleans, Louisiana",5
Theodore Roosevelt National Park,Theodore Roosevelt National Park is not to be missed. Start with film @ visitor center. Loop drive is great and you may encounter close up views of bison. Due to time constraints I was not able to visit the North section. Amazing Badlands views ,"October 14, 2019",Not to be missed,0,,5
Theodore Roosevelt National Park,"I have been to Theodore Roosevelt three times now. Every time I go the experience has been unique. There is a variety of landscapes and I always see wildlife. Still haven't seen the elk, but I hear them. You can see a lot of stuff from the car or within short distances from the car. If you want to hike more there are also more lenghty hikes, so really there is something for every skill level.","October 12, 2019",Always Unique,0,"Metro Minneapolis-Saint Paul, Minnesota",5
Theodore Roosevelt National Park,Theodore Roosevelt Park was amazing. We only explored one day and wish we had more time to see other areas in the park. It was incredible to see the Bison and the views at the overlooks were grand.,"October 11, 2019",Loved the park!,2,Massachusetts,5
Theodore Roosevelt National Park,"This is a large and scenic national park with bison, deer, prairie dogs in abundance. We did see some snakes also. The area is beautiful and holds a lot of history. There are trails and roads throughout these northern badlands and we liked the vista called Buck Hill. The tiny town of Medora was mostly closed up for the season when we were there, so we stayed in Dickinson. It is well worth the trip. ","October 9, 2019",A beautiful place with an abundance of wild animals,3,"Cottage Grove, Minnesota",5
Theodore Roosevelt National Park,"We spent the better part of a day here. The scenery is amazing. We saw TONS of prarie dogs, plenty of buffalo, even wild horses! Beautiful place!","October 9, 2019",Amazing Place,33,"King William, Virginia",5
Theodore Roosevelt National Park,"We had the opportunity to tour most all of it and it was enjoyable. We tried not to miss anything. Most all was self guided and the rangers set us up in the trailer to watch the video which both of us thought was good. Would Teddy stay here before the South Park is my question, I do not think he would. I believe he would first stay at the south end where the farming and the animals where probably more plentiful.","October 8, 2019",Rough Rider,4,"Pittsburgh, Pennsylvania",4
Theodore Roosevelt National Park,"Wildlife and wild rock formations are the great attractions of this park. One woman near me said, ""I guess I'll cancel my flight to Mars, because I'm already there."" This was in the North Unit. Walking right through the middle of prairie dog colony on the way to the old entrance was a treat. Best of all was the Petrified Forest, which involves a bit of drive over gravel roads outside the park, but is a real wonderland. Camping was fine.","October 6, 2019","Far away from most things, but worth the drive",13,"Cedar Falls, Iowa",4
Theodore Roosevelt National Park,"It was drizzling most of the time we were there. The sun came out just a bit to see the beautiful canyon rocks of the North Dakota Badlands. It was a pretty drive through the park. We only saw a few buffalo on our drive, that was the only disappointing thing of our time spent here. ","October 5, 2019",Rain or shine,6,"Saint Paul, Minnesota",5
Theodore Roosevelt National Park,"Beautiful visas, but soggy day in Park today. Saw black birds, prairie dogs and bison, but that was it. Boo hoo. Think the critters were hunkered down staying out of the rain. Didn’t blame them. ","September 29, 2019","Beautiful visas, but soggy day in Park",35,"Los Osos, California",5
