national_park,review_body,review_date,review_title,helpful_vote,user_location,user_rating
Voyageurs National Park,You can only see this special park by boat. We were there too early for a tour but were able to view ice still on the lake and watch the workmen preparing the launch. What spectacular scenery in this northern mist cold spot in the USA. Glad we made the trek!,"September 14, 2019",What a Unique Park,357,Crossett,5
Voyageurs National Park,"Such a different park from the other 20+ I've visited. Out of the way, few crowds, so much water and amazing views and vistas. ","September 4, 2019",What a park!!,1,"Pleasant Prairie, Wisconsin",5
Voyageurs National Park,"We spent three days at the park and went on three boat tours - the Grand Tour, Kettle Falls and Ellsworth Rock Gardens. All three tours were interesting and we were able to see lots of eagles and loons. We saw a mommy loon and a chick -- and the mom was communicating with the chick -- so it was very cool. We hiked a few of the hikes; they were short. I found it fascinating to learn the history of the Voyageurs - boy were they tough! We stopped at all three visitor centers and the Ash River Visitor Center had a different film which really gave you a good overview of the Voyageurs and what they encountered and how they survived their journey. Pretty amazing. We totally enjoyed our stay. A beautiful park chock full of wonderful history. Definitely check out the contract the Voyageurs had to sign, the business managed by the Europeans, the Ojibwe Indians and how our international border was established.","August 29, 2019",Beautiful National Park,62,"Wantage, New Jersey",5
Voyageurs National Park,Just tooled around the islands in Kabetogama. Great campsites for midsummer when the woods are too buggy. ,"July 15, 2019",Island hopping,4,"Duluth, Minnesota, United States",5
Voyageurs National Park,We drove to the visitor center east of International Falls. I wish we had allowed more time for the visit and we would have taken the boat ride to see more of the lake and park. The boat had been totally booked the day we were there so I suggest you get reservations.,"September 8, 2018",Vast Park,54,"Oklahoma City, Oklahoma",5
Voyageurs National Park,"We took the Kettle Falls Tour from the Kabetogama Visitor center. It was a great way to see some of the park and learn about it, especially combined with the information at the visitor center.","August 31, 2018",Great tour,7,"Round Rock, Texas",5
Voyageurs National Park,What a great trip! We rented a houseboat for a week and toured the park with our family. The campsites were well maintained and away from everything. Bring Deet. ,"July 17, 2018",Nature at its best - and a night sky to remember!,14,"Milwaukee, Wisconsin",5
Voyageurs National Park,"Voyageurs is the place for people who want to experience the Minnesota-Canada border waters without the hassles of a canoe trip. As a former BWCA guide I really enjoyed the park, which can teach the Boundary Waters a few things about campsite management. Sites have bear lockers, tent pads and better fire rings. What surprised us most was the lack of damage to sites. No stripped arch trees, human beaver marks on trees and beer cans in the latrine. Fishing is good, but the area is heavily fished. Get a Canadian license if you can. Much less pressure. The power boats can be aggressive, especially in narrows. The my boat's bigger than yours contest can reach absurd extremes. If you stay off the beaten path and go to more remote bays you will find yourself often alone and in fish country. The fishing maps sold on many sites are great navigation aids, but if you try to fish many of the recommended spots you will get run down and you won't catch fish.","June 15, 2018",A National Treasure,3,"Minneapolis, Minnesota",5
Voyageurs National Park,"Peace, quiet camping and boating fishing, tours, fishing water activities for children and wonderful fresh air to breathe, you must see this park you will love it positive you will","January 2, 2018","Peace, quiet camping and boating fishing",15,"Arlington, Virginia",5
Voyageurs National Park,"Voyageurs National Park is heaven for anyone who loves water and water activities. There are boat docks and boat tours, and there are campsites which are only accessible by water. There is fishing and camping for all levels of visitors. In October there are no mosquitoes; which we heard can be fierce earlier in the summer. The three visitor centers are well staffed and have exhibits that delight children. We saw signs for all kinds of rentals; canoe, kayak, boat, etc. Learn about the intrepid voyageurs who opened up this area and kept Europe supplied with furs.","October 31, 2017","If you love water, you will love this park",59,"Provo, Utah",5
Voyageurs National Park,We booked a boat tour on Rainy Lake at Voyageurs National Park. The visitors center and staff were great. The boat tour lasted 2 1/2 hours and was fantastic. Our Ranger Eric was knowledgeable and our pilot was John who did a superb job getting us close to bald eagles and other sights. ,"August 25, 2017",Beautiful Park,64,"San Antonio, Texas",4
