national_park,review_body,review_date,review_title,helpful_vote,user_location,user_rating
Wind Cave National Park,"We didn't even realize this was on our route so we didn't take the cave tour. My husband was affraid that I couldn't do it with my bad knee, but I would have liked to! This was just another beautiful national park that we need to protect! I would definitely recommend traveling through it!","September 26, 2019",Beautiful Place to visit!,13,"Carthage, Missouri",4
Wind Cave National Park,We did not hae any trouble finding this National Park because I checked the website for directions. don't follow GPS. There are currently no cave tours because of elevator maintenance issues. It is still definitely worth the trip just for the drive and the visitors center is very good.,"September 25, 2019",Beautiful drive and nice visitor center but currently no cave tours,90,"Independence, Missouri",5
Wind Cave National Park,"The elevator was out and there were no cave tours being offered when we were there. They said it would be May 2020 before the elevator is fixed. But it is still a beautiful park that has a lot to offer. The visitors center has a museum describing how and when the cave was found. It also talks about the youngest cave guide who died in his early twenties. There is a walk to the scared area of the cave and it explains why the Indians believed the buffalo came from the cave. As for buffalo, be prepared to see a lot of them and to stay very far away from them.","September 21, 2019",No cave tour,91,oklahoma,5
Wind Cave National Park,"My husband and I went to Wild Cave National Park mid-week in late August. The elevator did not work so we could not take a tour of the cave. We went to the visitor center and listened to a lady ranger talk about the cave. We enjoyed the 15 minute talk and a small museum. There is a gift shop as well. The drive through the park was nice. We saw a couple bison. There was not much else to do. Yesterday, I read that the Jewel Cave elevators are not working. The Jewel Cave elevators worked about 4 weeks ago. I wonder what is going on with the elevators.","September 20, 2019",No cave tour because elevator is broken,631,"Austin, Texas",3
Wind Cave National Park,"We love going through caves so we were disappointed that the elevator is down and thus, no cave access. This was announced on the web page but we had made a last minute decision to stop here and so were unaware of this.There are some lovely prairie hikes and we saw bison and prairie dogs. The gentleman in the gift shop is both helpful and fun to chat with! I’d rate it higher than a 3 but is is a National Park partially based on a cave and you can’t visit the cave so it’s a 3 - sorry. ","September 18, 2019",Beautiful prairie no access to the cave,90,"Albuquerque, New Mexico",3
Wind Cave National Park,"Yes the cave itself is closed for elevator maintenance, but there is so much more to see and do! Driving in we were delighted to see all of the prairie dogs peeking out of their holes and scurrying across the road. We rolled down our windows so we could hear their chattering and stopped several times for pictures. We also saw a herd of buffalo. The visitor center has an excellent film about the cave and several interesting exhibits.You can walk to the entrance of the cave and we sat for quite awhile listening to the wind blowing out of the small entrance. There is also a one mile trail and a pavilion where on the hour a native speaker tells the story of this cave from the perspective of the Lakota People. So we will look forward to going into the cave at another time, but are very glad that we visited this special place.","September 16, 2019",Still Special and worth a stop!,64,"Canby, Minnesota",5
Wind Cave National Park,Not solo but with my sister. Cave is closed for elevator repair but still a lot available. Park office is open for your passport stamps and souvenirs. Thanks to employee who went out of his way to help me get a stamp at the last minute. ,"September 11, 2019",Road trip,17,"Springfield, Missouri",5
Wind Cave National Park,"Not much to say except disappointment is all we saw at Wind Cave, considering the most important thing to see is the cave it is not possible without the elevator. We started watching this event unfold in June as we prepared our cross country trip. I follow the National Park Service various parks especially the ones we plan to visit. The elevator failed in June, with promising news every week or so it was mended. We began our trip in August with not indicating issues with said elevator. Fast forward and 2000 miles later and low and behold the elevator is still broken and we stand before the ranger at the visitor center in abject disgust. It would have been nice to have seen a posting on FB or at least a hand written sign on the entrance telling us our visit was for naught. NPS needs to communicate this issue better, by the way don’t plan on the elevator being in service anytime in the near future, we certainly will not be back.","August 24, 2019",Disappointed,0,"Richmond, Virginia",1
Wind Cave National Park,"Unfortunately the elevators for the tours were down for repairs so a cave tour was not an option. Despite that my visit was worth the drive down from where I was staying in Custer. I heard two great ranger talks, one on the history of the cave and park, the other on exploring the cave and the cave features. ","August 22, 2019",Wind Cave NP,1,"Malvern, Pennsylvania",4
Wind Cave National Park,"The elevators are out of service until the end of September so that was very disappointing. However, it is well worth your trip. The video is a must see as well as the ranger talk outside one of the entrances to the cave. There is no admission fee. A must see if you are in the area.","August 21, 2019",Still amazing despite limited access.,25,"Peekskill, New York",4
