national_park,review_body,review_date,review_title,helpful_vote,user_location,user_rating
Wrangell-St. Elias National Park & Preserve Visitor Center,the displays and information arenot just well laidout and informitive but interactive no 'you can't touch that' jobsworth but staff who know there stuff ,"October 13, 2019",another must visit,3,,5
Wrangell-St. Elias National Park & Preserve Visitor Center,Gorgeous park. McCarthy is a gem and you must see Kennecott: unique! Everything here is outstanding... nature does jot make it better anywhere else in the world!,"August 16, 2019",Breathtaking ,38,"Montreal, Canada",5
Wrangell-St. Elias National Park & Preserve Visitor Center,"Stopped here on the way to Kennicott. this was a very nice visitors center. Many displays, film, and a book store. Glad to have stopped here.","August 6, 2019",Trip to Alaska,43,,5
Wrangell-St. Elias National Park & Preserve Visitor Center,"Wonderful exhibits and ranger guided little walk. This park is so huge and not like any other national park I’ve visited. There aren’t a lot of trails, so be sure to catch the movie about the park at the visitor center. ","August 4, 2019","Great views, rangers",34,,4
Wrangell-St. Elias National Park & Preserve Visitor Center,"We arrived late in the evening on a very rainy day. We thought about skipping Wrangell St Elias and driving on to another park. But the ranger convinced us to stay. It was so amazing to see someone so motivated and in love with this park. He told us to do at least a dayhike on the nex day and recommended the ""open mic night"" in the Golden Saloon in McCarthy. And is was so worth it! @Ranger: If you read this: Thank you so much for your advice! We´ll definitely come back next year and do some overnight hikes!","August 1, 2019","Highly motivated staff, great place!",3,"Cologne, Germany",5
Wrangell-St. Elias National Park & Preserve Visitor Center,"Wrangell-St. Elias National Park & Preserve is located in central Alaska which was established in 1980. The Park covers a total of 13,175,799 acres (20,587,186 sq. mi; 53,320.57 sq. km). This area is larger than 6 Yellowstone Nat'l Parks. Interestingly, sport hunting is prohibited in the park and permitted in the preserve. The park contains active volcanoes (Mt. Wrangell and Mount Churchill). In addition, there are multiple glaciers (Malaspina Glacier, Hubbard Glacier, Nabesna Glacier). The park scenery is spectacular.","July 23, 2019","Wrangell-St. Elias National Park & Preserve, Alaska",217,"Mississauga, Canada",4
Wrangell-St. Elias National Park & Preserve Visitor Center,"We try to visit as many National Parks as possible when we travel. Wrangler-St Elias is the largest National Park in the United States. There are only 2 roads into the park and they are both unpaved so you cannot take your rental car. However, as you drive the Richardson Hwy you get beautiful views of the mountains of the park.Also as you pass through Copper Center a little south of Glennallen you have an opportunity to go to the Visitor’s Center. They have several buildings including a display of animals, a theater and a bookstore with a ranger station. From the building you can walk down a path to an overlook to view the beautiful mountains.10 of the 15 tallest mountains in North America are in this park.Even though we didn’t get up close and personal we are very happy that we skirted this park and got to see the beautiful mountains.","July 18, 2019",Beautiful Mountains,201,"Bethlehem, Pennsylvania",5
Wrangell-St. Elias National Park & Preserve Visitor Center,Young man working there was very excited about his job. Told us anything we would need to know. The place was set up well to tell you the story.,"June 3, 2019",very helpful,123,"Queensland, Australia",5
Wrangell-St. Elias National Park & Preserve Visitor Center,Travelled there during our stay with Princess Cruises when we were staying at Copper River Lodge. It is in the middle of wilderness with some interesting facts and information with the surrounding area. Did see eagles and many signs of moose.,"November 25, 2018",Visitor Center,4,ontario,4
Wrangell-St. Elias National Park & Preserve Visitor Center,"We visited in 2010 on a 2 week land/water trip. The park is the largest in the US, Alaska will take your breath away. Everything is so large and most of it undisturbed. We used Princess tours and it was great!","November 11, 2018",Well worth your time..,8,"Beloit, Wisconsin",5
